ticker,market_cap,timeframe,hv1y_date,hv1y_volume,days_since_hv1y,hv1y_occ_1y,total_hv1y_count,is_hv1y_also_hve,hv1y_to_hve_ratio,all_hv1y_details
TX,8906479123.0,monthly,2026-08-01,8527342.0,0,6,6,False,0.3608968097442886,"[{'date': Timestamp('2026-08-01 00:00:00'), 'volume': 8527342.0}, {'date': Timestamp('2026-05-01 00:00:00'), 'volume': 5559210.0}, {'date': Timestamp('2026-04-01 00:00:00'), 'volume': 5120900.0}, {'date': Timestamp('2026-01-01 00:00:00'), 'volume': 4355100.0}, {'date': Timestamp('2025-12-01 00:00:00'), 'volume': 3529600.0}, {'date': Timestamp('2025-11-01 00:00:00'), 'volume': 3255600.0}]"
ITGR,3188020172.810997,monthly,2026-08-01,26668243.0,0,3,3,False,0.7424633198398601,"[{'date': Timestamp('2026-08-01 00:00:00'), 'volume': 26668243.0}, {'date': Timestamp('2026-03-01 00:00:00'), 'volume': 17894500.0}, {'date': Timestamp('2025-11-01 00:00:00'), 'volume': 15706400.0}]"
BELFA,4291331386.026283,monthly,2026-08-01,2203887.0,0,6,6,True,1.0,"[{'date': Timestamp('2026-08-01 00:00:00'), 'volume': 2203887.0}, {'date': Timestamp('2026-04-01 00:00:00'), 'volume': 1708300.0}, {'date': Timestamp('2026-03-01 00:00:00'), 'volume': 1558400.0}, {'date': Timestamp('2026-01-01 00:00:00'), 'volume': 1335300.0}, {'date': Timestamp('2025-12-01 00:00:00'), 'volume': 577000.0}, {'date': Timestamp('2025-11-01 00:00:00'), 'volume': 538900.0}]"
CLBK,2170654777.113546,monthly,2026-08-01,66127939.0,0,7,7,True,1.0,"[{'date': Timestamp('2026-08-01 00:00:00'), 'volume': 66127939.0}, {'date': Timestamp('2026-07-17 00:00:00'), 'volume': 7387353.0}, {'date': Timestamp('2026-05-01 00:00:00'), 'volume': 6574170.0}, {'date': Timestamp('2026-03-01 00:00:00'), 'volume': 6243900.0}, {'date': Timestamp('2026-02-01 00:00:00'), 'volume': 3826800.0}, {'date': Timestamp('2025-12-01 00:00:00'), 'volume': 2356500.0}, {'date': Timestamp('2025-11-01 00:00:00'), 'volume': 2305000.0}]"
CHYM,7742308911.675972,monthly,2026-08-01,129322562.0,0,3,3,True,1.0,"[{'date': Timestamp('2026-08-01 00:00:00'), 'volume': 129322562.0}, {'date': Timestamp('2026-03-01 00:00:00'), 'volume': 120353300.0}, {'date': Timestamp('2025-11-01 00:00:00'), 'volume': 97837100.0}]"
RNW,2254383196.4740973,monthly,2026-08-01,45299093.0,0,3,3,True,1.0,"[{'date': Timestamp('2026-08-01 00:00:00'), 'volume': 45299093.0}, {'date': Timestamp('2025-12-01 00:00:00'), 'volume': 42944300.0}, {'date': Timestamp('2025-11-01 00:00:00'), 'volume': 21288200.0}]"
FA,3056790242.695704,monthly,2026-08-01,38023052.0,0,3,3,True,1.0,"[{'date': Timestamp('2026-08-01 00:00:00'), 'volume': 38023052.0}, {'date': Timestamp('2026-03-01 00:00:00'), 'volume': 29312500.0}, {'date': Timestamp('2025-11-01 00:00:00'), 'volume': 18087300.0}]"
CLBT,3432291945.425178,monthly,2026-08-01,62376265.0,0,4,4,True,1.0,"[{'date': Timestamp('2026-08-01 00:00:00'), 'volume': 62376265.0}, {'date': Timestamp('2026-05-01 00:00:00'), 'volume': 40310583.0}, {'date': Timestamp('2026-03-01 00:00:00'), 'volume': 37802200.0}, {'date': Timestamp('2025-11-01 00:00:00'), 'volume': 28397000.0}]"
CAI,5229593062.780748,monthly,2026-08-01,63832908.0,0,4,4,True,1.0,"[{'date': Timestamp('2026-08-01 00:00:00'), 'volume': 63832908.0}, {'date': Timestamp('2026-03-01 00:00:00'), 'volume': 60025600.0}, {'date': Timestamp('2025-12-01 00:00:00'), 'volume': 56194600.0}, {'date': Timestamp('2025-11-01 00:00:00'), 'volume': 32852700.0}]"
LMAT,2185901654.7835617,monthly,2026-08-01,6523916.0,0,4,4,True,1.0,"[{'date': Timestamp('2026-08-01 00:00:00'), 'volume': 6523916.0}, {'date': Timestamp('2026-03-01 00:00:00'), 'volume': 6022400.0}, {'date': Timestamp('2025-12-01 00:00:00'), 'volume': 3956600.0}, {'date': Timestamp('2025-11-01 00:00:00'), 'volume': 3714600.0}]"
