ticker,timeframe,hve_date,hve_volume,days_since_hve,hve_occ_1y,total_hve_count,all_hve_details,latest_date,latest_volume,latest_close,volume_ratio,data_points
ASGN,monthly,2026-04-30,31640647,0,2,5,"[{'date': Timestamp('2026-04-30 00:00:00'), 'volume': np.int64(31640647)}, {'date': Timestamp('2026-03-31 00:00:00'), 'volume': np.int64(23465370)}, {'date': Timestamp('2020-03-31 00:00:00'), 'volume': np.int64(14782100)}, {'date': Timestamp('2020-02-29 00:00:00'), 'volume': np.int64(7042400)}, {'date': Timestamp('2020-01-31 00:00:00'), 'volume': np.int64(4228700)}]",2026-04-30,31640647,21.100000381469727,1.0,76
FSEA,monthly,2026-05-31,1538780,0,1,7,"[{'date': Timestamp('2026-05-31 00:00:00'), 'volume': np.int64(1538780)}, {'date': Timestamp('2023-01-31 00:00:00'), 'volume': np.int64(1379888)}, {'date': Timestamp('2022-05-31 00:00:00'), 'volume': np.int64(194491)}, {'date': Timestamp('2020-05-31 00:00:00'), 'volume': np.int64(185548)}, {'date': Timestamp('2020-03-31 00:00:00'), 'volume': np.int64(166323)}, {'date': Timestamp('2020-02-29 00:00:00'), 'volume': np.int64(39702)}, {'date': Timestamp('2020-01-31 00:00:00'), 'volume': np.int64(20310)}]",2026-05-31,1538780,16.709999084472656,1.0,77
KVYO,monthly,2026-05-31,141250761,0,6,11,"[{'date': Timestamp('2026-05-31 00:00:00'), 'volume': np.int64(141250761)}, {'date': Timestamp('2026-04-30 00:00:00'), 'volume': np.int64(91305000)}, {'date': Timestamp('2026-03-31 00:00:00'), 'volume': np.int64(80055800)}, {'date': Timestamp('2026-01-31 00:00:00'), 'volume': np.int64(73627100)}, {'date': Timestamp('2025-10-31 00:00:00'), 'volume': np.int64(67275100)}, {'date': Timestamp('2025-05-31 00:00:00'), 'volume': np.int64(66009900)}, {'date': Timestamp('2025-04-30 00:00:00'), 'volume': np.int64(45959600)}, {'date': Timestamp('2024-11-30 00:00:00'), 'volume': np.int64(36945200)}, {'date': Timestamp('2024-08-31 00:00:00'), 'volume': np.int64(35280200)}, {'date': Timestamp('2024-03-31 00:00:00'), 'volume': np.int64(32372900)}, {'date': Timestamp('2023-09-30 00:00:00'), 'volume': np.int64(31864500)}]",2026-05-31,141250761,15.109999656677246,1.0,33
VSH,monthly,2026-05-31,86106610,0,1,8,"[{'date': Timestamp('2026-05-31 00:00:00'), 'volume': np.int64(86106610)}, {'date': Timestamp('2025-04-30 00:00:00'), 'volume': np.int64(61997500)}, {'date': Timestamp('2024-12-31 00:00:00'), 'volume': np.int64(61437000)}, {'date': Timestamp('2024-11-30 00:00:00'), 'volume': np.int64(46346700)}, {'date': Timestamp('2023-09-30 00:00:00'), 'volume': np.int64(35295300)}, {'date': Timestamp('2020-03-31 00:00:00'), 'volume': np.int64(33832300)}, {'date': Timestamp('2020-02-29 00:00:00'), 'volume': np.int64(23080400)}, {'date': Timestamp('2020-01-31 00:00:00'), 'volume': np.int64(22961300)}]",2026-05-31,86106610,40.15999984741211,1.0,77
HUBS,monthly,2026-05-31,34703922,0,3,6,"[{'date': Timestamp('2026-05-31 00:00:00'), 'volume': np.int64(34703922)}, {'date': Timestamp('2026-04-30 00:00:00'), 'volume': np.int64(31536100)}, {'date': Timestamp('2026-03-31 00:00:00'), 'volume': np.int64(28436100)}, {'date': Timestamp('2020-03-31 00:00:00'), 'volume': np.int64(26691400)}, {'date': Timestamp('2020-02-29 00:00:00'), 'volume': np.int64(11665400)}, {'date': Timestamp('2020-01-31 00:00:00'), 'volume': np.int64(10604500)}]",2026-05-31,34703922,203.38999938964844,1.0,77
ATII,monthly,2026-05-31,5957838,0,2,3,"[{'date': Timestamp('2026-05-31 00:00:00'), 'volume': np.int64(5957838)}, {'date': Timestamp('2026-04-30 00:00:00'), 'volume': np.int64(5701100)}, {'date': Timestamp('2025-04-30 00:00:00'), 'volume': np.int64(5138900)}]",2026-05-31,5957838,11.229999542236328,1.0,14
MBBC,monthly,2026-05-31,351462,0,3,5,"[{'date': Timestamp('2026-05-31 00:00:00'), 'volume': np.int64(351462)}, {'date': Timestamp('2026-04-30 00:00:00'), 'volume': np.int64(255600)}, {'date': Timestamp('2025-05-31 00:00:00'), 'volume': np.int64(240800)}, {'date': Timestamp('2025-04-30 00:00:00'), 'volume': np.int64(169433)}, {'date': Timestamp('2021-04-30 00:00:00'), 'volume': np.int64(150645)}]",2026-05-31,351462,13.75,1.0,62
WEST,monthly,2026-05-31,18769785,0,1,5,"[{'date': Timestamp('2026-05-31 00:00:00'), 'volume': np.int64(18769785)}, {'date': Timestamp('2022-08-31 00:00:00'), 'volume': np.int64(14420400)}, {'date': Timestamp('2022-04-30 00:00:00'), 'volume': np.int64(6664200)}, {'date': Timestamp('2021-11-30 00:00:00'), 'volume': np.int64(2067200)}, {'date': Timestamp('2021-10-31 00:00:00'), 'volume': np.int64(837600)}]",2026-05-31,18769785,8.460000038146973,1.0,56
DOCS,monthly,2026-05-31,95960201,0,1,5,"[{'date': Timestamp('2026-05-31 00:00:00'), 'volume': np.int64(95960201)}, {'date': Timestamp('2022-05-31 00:00:00'), 'volume': np.int64(76523700)}, {'date': Timestamp('2021-11-30 00:00:00'), 'volume': np.int64(73790000)}, {'date': Timestamp('2021-08-31 00:00:00'), 'volume': np.int64(49123800)}, {'date': Timestamp('2021-06-30 00:00:00'), 'volume': np.int64(32938000)}]",2026-05-31,95960201,19.86000061035156,1.0,60
FVCB,monthly,2026-05-31,3644460,0,1,6,"[{'date': Timestamp('2026-05-31 00:00:00'), 'volume': np.int64(3644460)}, {'date': Timestamp('2022-06-30 00:00:00'), 'volume': np.int64(3494375)}, {'date': Timestamp('2021-06-30 00:00:00'), 'volume': np.int64(3317375)}, {'date': Timestamp('2020-03-31 00:00:00'), 'volume': np.int64(1166375)}, {'date': Timestamp('2020-02-29 00:00:00'), 'volume': np.int64(833750)}, {'date': Timestamp('2020-01-31 00:00:00'), 'volume': np.int64(623125)}]",2026-05-31,3644460,15.649999618530272,1.0,77
