ticker,date,volume
AAPL,2026-05-22,42964901
ABNB,2026-05-22,4173979
ADBE,2026-05-22,4130996
ADI,2026-05-22,5303478
ADP,2026-05-22,2248980
ADSK,2026-05-22,1992732
AEP,2026-05-22,5244851
AMAT,2026-05-22,5682855
AMGN,2026-05-22,2001113
AMZN,2026-05-22,36591491
APP,2026-05-22,3203025
ARM,2026-05-22,21796620
AVGO,2026-05-22,16865279
AXON,2026-05-22,1100057
BIIB,2026-05-22,1475348
BKNG,2026-05-22,7470505
BKR,2026-05-22,6403792
CCEP,2026-05-22,2343319
CDNS,2026-05-22,1757241
CDW,2026-05-22,1514625
CEG,2026-05-22,2366008
CHTR,2026-05-22,2568785
CMCSA,2026-05-22,27771397
COST,2026-05-22,2149696
CPRT,2026-05-22,16708684
CRWD,2026-05-22,2646075
CSCO,2026-05-22,22700582
CSGP,2026-05-22,5411021
CSX,2026-05-22,12087359
CTAS,2026-05-22,1863765
CTSH,2026-05-22,8986131
DASH,2026-05-22,4162772
DDOG,2026-05-22,4179198
DXCM,2026-05-22,9081092
EA,2026-05-22,1331369
EXC,2026-05-22,7847190
FANG,2026-05-22,1495880
FAST,2026-05-22,8230103
FTNT,2026-05-22,4266227
GEHC,2026-05-22,5108152
GFS,2026-05-22,11010369
GILD,2026-05-22,4920772
GOOG,2026-05-22,16837344
HON,2026-05-22,4732464
IDXX,2026-05-22,430734
INTC,2026-05-22,102449015
INTU,2026-05-22,22353424
ISRG,2026-05-22,2088407
KDP,2026-05-22,9058246
KHC,2026-05-22,13152091
KLAC,2026-05-22,820898
LIN,2026-05-22,1655652
LRCX,2026-05-22,9162398
LULU,2026-05-22,2918864
MAR,2026-05-22,908573
MCHP,2026-05-22,8596076
MDLZ,2026-05-22,5378306
MELI,2026-05-22,494359
META,2026-05-22,13475662
MNST,2026-05-22,4306892
MRVL,2026-05-22,21505925
MSFT,2026-05-22,31393100
MSTR,2026-05-22,10526929
MU,2026-05-22,42461460
NFLX,2026-05-22,28613824
NXPI,2026-05-22,3492789
ODFL,2026-05-22,1154276
ON,2026-05-22,6802541
ORLY,2026-05-22,4694962
PANW,2026-05-22,6323485
PAYX,2026-05-22,2315535
PCAR,2026-05-22,3370484
PDD,2026-05-22,5838925
PEP,2026-05-22,6123142
PLTR,2026-05-22,24311782
PYPL,2026-05-22,10925179
QCOM,2026-05-22,28163721
REGN,2026-05-22,1178558
ROP,2026-05-22,836110
ROST,2026-05-22,3791145
SBUX,2026-05-22,8342775
SHOP,2026-05-22,6949142
SNPS,2026-05-22,1423271
TEAM,2026-05-22,4864854
TMUS,2026-05-22,3774664
TSLA,2026-05-22,42636688
TTD,2026-05-22,10601999
TTWO,2026-05-22,4202721
VRSK,2026-05-22,1727863
VRTX,2026-05-22,1395240
WBD,2026-05-22,15192660
WDAY,2026-05-22,9182578
XEL,2026-05-22,6243272
ZS,2026-05-22,2595986
