Symbol,timeframe,HVD_date_1,HVD_vol_1,HVD_date_2,HVD_vol_2,HVD_date_3,HVD_vol_3,HVD_date_4,HVD_vol_4,HVD_date_5,HVD_vol_5,HVD_date_6,HVD_vol_6,HVD_date_7,HVD_vol_7,HVD_date_8,HVD_vol_8,HVD_date_9,HVD_vol_9,HVD_date_10,HVD_vol_10
LULU,weekly,2023-10-22,47834900,2023-06-04,19750200,2023-04-02,24271500,2023-01-15,16788600,2022-12-11,16936100,2022-04-03,17087500,2020-09-13,18562600,2020-06-14,18004600,2020-03-29,18206700,2020-03-22,20470100
ABNB,weekly,2023-09-17,105569000,2023-05-14,84092100,2023-02-19,87376600,2022-11-06,75721700,2022-08-07,60257900,2022-05-08,64258400,2021-05-30,60429400,2021-05-23,92836200,2020-12-20,79299000,2020-12-13,97428300
ARM,weekly,2023-11-26,34501300,2023-11-19,20621400,2023-11-12,34141900,2023-10-29,27876400,2023-10-22,20777900,2023-10-15,30568200,2023-10-08,26744900,2023-10-01,42622500,2023-09-24,92691100,2023-09-17,205287600
PANW,weekly,2023-11-19,83263000,2023-06-18,156693400,2023-05-28,90290000,2023-02-26,97632400,2022-08-28,80787000,2022-05-22,96163800,2022-02-27,97369800,2021-08-29,131082600,2020-08-30,82159800,2020-03-01,139036200
MRVL,weekly,2023-08-27,99031100,2023-06-11,82774000,2023-06-04,132833600,2023-05-28,168088900,2023-03-19,93505700,2022-01-30,84427800,2021-12-05,92936700,2021-03-14,95465100,2021-03-07,90755300,2020-03-08,81565500
AXON,weekly,2023-08-13,7026000,2023-05-14,8251800,2023-05-07,21783800,2023-03-05,9831000,2021-11-21,6213500,2020-06-28,12951300,2020-06-21,9868900,2020-06-14,7979000,2020-06-07,12642100,2020-05-10,6293500
GEHC,weekly,2023-11-05,23701300,2023-10-01,20268300,2023-09-17,20281300,2023-07-30,19348600,2023-07-23,18799300,2023-06-18,21658600,2023-06-11,49044500,2023-04-30,16648300,2023-01-15,30763200,2023-01-08,49885800
GFS,weekly,2023-02-19,17761200,2022-12-18,37632000,2022-11-13,17238200,2022-08-14,22266500,2022-04-03,18539400,2022-03-20,17293500,2022-02-13,19625500,2022-01-30,16955300,2021-11-07,24918800,2021-10-31,23258300
WBD,weekly,2023-11-12,199684000,2022-12-18,321579900,2022-11-13,210335200,2022-11-06,170541100,2022-08-14,166606000,2022-08-07,169012500,2022-04-24,176979800,2022-04-17,214086500,2021-05-23,176700100,2021-04-04,159714100
TEAM,weekly,2023-03-05,16245100,2023-02-05,18485000,2022-12-25,22231800,2022-12-18,41104800,2022-12-11,18196500,2022-11-13,22260800,2022-11-06,25925400,2022-08-14,15327600,2022-05-15,17847100,2022-01-30,19731800
META,weekly,2023-03-19,209082400,2023-02-05,340828600,2022-11-13,382385600,2022-11-06,419674200,2022-10-30,513033000,2022-07-31,213761000,2022-05-01,282175400,2022-02-13,365374100,2022-02-06,375523700,2021-10-31,221901000
ON,weekly,2023-11-05,101237100,2022-06-19,137658400,2022-06-12,57568400,2022-02-13,63753900,2021-11-07,58762300,2020-06-21,57710000,2020-03-29,59569200,2020-03-22,75090600,2020-03-15,61973900,2020-02-09,94516900
KDP,weekly,2023-09-17,71648800,2023-07-30,60723800,2023-06-18,67992200,2023-04-30,63164700,2022-06-19,194142800,2022-06-12,63505400,2022-06-05,62090500,2022-05-22,68021600,2020-11-22,65855400,2020-10-18,77907300
WDAY,weekly,2022-12-04,21080800,2022-08-28,23097200,2022-06-05,19160000,2022-05-29,28131700,2022-05-15,21386400,2022-03-06,19516500,2020-11-22,22214600,2020-08-30,26203500,2020-05-31,19303700,2020-03-22,23990600
APP,weekly,2023-11-12,33906900,2023-08-13,36428800,2023-05-14,28790300,2023-02-12,33331200,2022-12-18,26823100,2022-12-11,26764400,2022-11-13,30136200,2022-08-14,28222700,2022-05-15,36660600,2021-12-05,34620500
SHOP,weekly,2022-07-31,229699100,2022-06-19,204578000,2022-05-22,276395000,2022-05-15,344064000,2022-05-08,332094000,2022-02-20,242562000,2022-01-30,205586000,2020-05-10,235108000,2020-04-26,327348000,2020-02-16,210681000
NFLX,weekly,2023-07-23,82259700,2022-10-23,135616000,2022-07-24,139657400,2022-05-01,108523600,2022-04-24,250416100,2022-02-06,74656600,2022-01-30,96467100,2022-01-23,80755900,2020-07-19,93039400,2020-04-26,79529400
PDD,weekly,2023-09-03,107268400,2023-03-26,91835000,2022-12-04,109604100,2022-10-30,155558900,2022-09-04,178233600,2022-06-12,119136300,2022-04-03,110996200,2022-03-27,229720600,2022-03-20,245098500,2020-11-15,92020900
DASH,weekly,2023-02-19,54770600,2022-11-13,37528200,2022-11-06,62143400,2022-10-16,37902300,2022-08-07,48136500,2022-05-15,50994700,2022-05-08,49883800,2022-02-20,78040300,2021-03-14,39552200,2020-12-13,39441900
PYPL,weekly,2023-08-06,131377900,2023-05-14,194490100,2022-08-07,117578300,2022-05-01,125267500,2022-03-20,117810900,2022-02-27,122893300,2022-02-20,132862900,2022-02-13,145360300,2022-02-06,259015600,2021-11-14,149461600
CEG,weekly,2022-11-13,16726000,2022-09-25,15730600,2022-09-18,17185700,2022-07-31,17754200,2022-06-26,16738300,2022-06-19,19651000,2022-03-20,19932300,2022-03-06,17881700,2022-02-13,27009900,2022-02-06,39414300
