Symbol,timeframe,HVE_date_1,HVE_vol_1,HVE_date_2,HVE_vol_2,HVE_date_3,HVE_vol_3,HVE_date_4,HVE_vol_4,HVE_date_5,HVE_vol_5,HVE_date_6,HVE_vol_6,HVE_date_7,HVE_vol_7,HVE_date_8,HVE_vol_8,HVE_date_9,HVE_vol_9,HVE_date_10,HVE_vol_10
LULU,weekly,2023-10-22,47834900,2023-04-02,24271500,2020-03-22,20470100,2020-03-15,13521300,2020-03-08,12127700,2020-03-01,11227700,2020-01-19,9504500,2020-01-12,7031900,2020-01-05,4912200,,
ABNB,weekly,2023-09-17,105569000,2020-12-13,97428300,,,,,,,,,,,,,,,,
ARM,weekly,2023-09-17,205287600,,,,,,,,,,,,,,,,,,
PANW,weekly,2023-06-18,156693400,2020-03-01,139036200,2020-01-12,29539800,2020-01-05,16687800,,,,,,,,,,,,
MRVL,weekly,2023-05-28,168088900,2021-03-14,95465100,2021-03-07,90755300,2020-03-08,81565500,2020-03-01,80872000,2020-01-19,69662800,2020-01-12,41508900,2020-01-05,25941300,,,,
AXON,weekly,2023-05-07,21783800,2020-06-28,12951300,2020-06-07,12642100,2020-05-10,6293500,2020-03-22,5434000,2020-03-01,5277900,2020-01-12,4528900,2020-01-05,3988100,,,,
GEHC,weekly,2023-01-08,49885800,2022-12-25,3809100,2022-12-18,3625700,,,,,,,,,,,,,,
GFS,weekly,2022-12-18,37632000,2021-11-07,24918800,2021-10-31,23258300,,,,,,,,,,,,,,
WBD,weekly,2022-12-18,321579900,2022-04-17,214086500,2021-05-23,176700100,2021-04-04,159714100,2021-03-28,158980400,2021-01-31,102184800,2021-01-10,56775800,2020-03-01,51308100,2020-02-02,20286400,2020-01-12,19750100
TEAM,weekly,2022-12-18,41104800,2022-11-06,25925400,2022-01-30,19731800,2022-01-16,14078100,2022-01-09,13837300,2020-03-15,13399000,2020-01-26,12899500,2020-01-12,9992700,2020-01-05,4669300,,
META,weekly,2022-10-30,513033000,2022-02-06,375523700,2021-10-31,221901000,2020-05-24,183866200,2020-03-22,183359800,2020-03-15,153135600,2020-02-02,140541200,2020-01-12,70208500,2020-01-05,42743300,,
ON,weekly,2022-06-19,137658400,2020-02-09,94516900,2020-02-02,35507700,2020-01-12,33976700,2020-01-05,15249700,,,,,,,,,,
KDP,weekly,2022-06-19,194142800,2020-10-18,77907300,2020-08-23,51945600,2020-03-08,50594900,2020-01-26,21877800,2020-01-19,17568700,2020-01-12,17211600,2020-01-05,5480200,,,,
WDAY,weekly,2022-05-29,28131700,2020-08-30,26203500,2020-03-22,23990600,2020-03-15,15984600,2020-03-01,14413300,2020-01-12,11890300,2020-01-05,4781300,,,,,,
APP,weekly,2022-05-15,36660600,2021-12-05,34620500,2021-11-14,17458700,2021-04-18,15643700,,,,,,,,,,,,
SHOP,weekly,2022-05-15,344064000,2022-05-08,332094000,2020-04-26,327348000,2020-02-16,210681000,2020-02-02,92793000,2020-01-26,90838000,2020-01-19,84743000,2020-01-12,83775000,2020-01-05,53775000,,
NFLX,weekly,2022-04-24,250416100,2022-01-30,96467100,2020-07-19,93039400,2020-04-26,79529400,2020-01-26,72220300,2020-01-19,29729900,2020-01-12,26898400,2020-01-05,16317500,,,,
PDD,weekly,2022-03-20,245098500,2020-11-15,92020900,2020-08-23,83235200,2020-05-24,67428600,2020-03-15,64926300,2020-03-01,58390900,2020-02-16,35800400,2020-02-09,34265700,2020-01-19,33766400,2020-01-12,30176200
DASH,weekly,2022-02-20,78040300,2021-03-14,39552200,2020-12-13,39441900,,,,,,,,,,,,,,
PYPL,weekly,2022-02-06,259015600,2021-11-14,149461600,2021-10-24,106304500,2020-11-08,85412600,2020-05-10,79594900,2020-03-22,77303600,2020-03-15,74248800,2020-03-01,66752200,2020-02-02,45792600,2020-01-19,37291000
CEG,weekly,2022-02-06,39414300,2022-01-23,612800,,,,,,,,,,,,,,,,
TTD,weekly,2021-05-16,178015000,2020-05-10,159701000,2020-03-22,148804000,2020-03-01,144210000,2020-02-09,102182000,2020-01-12,101052000,2020-01-05,84433000,,,,,,
NXPI,weekly,2021-03-21,87713300,2020-05-31,56563900,2020-03-22,39489500,2020-03-15,29647600,2020-03-01,24622800,2020-02-09,18757100,2020-02-02,14749900,2020-01-19,11782700,2020-01-12,11066100,2020-01-05,5687100
VRSK,weekly,2021-03-07,12325900,2021-02-28,11642200,2020-03-15,8480100,2020-03-01,6206000,2020-01-12,4547500,2020-01-05,2861400,,,,,,,,
PLTR,weekly,2021-02-21,964540100,2020-11-29,610582800,2020-10-04,517900300,,,,,,,,,,,,,,
CRWD,weekly,2020-09-06,88487300,2020-06-07,71935400,2020-01-12,56408400,2020-01-05,24588500,,,,,,,,,,,,
TMUS,weekly,2020-06-28,175697800,2020-04-05,54899200,2020-02-16,46749400,2020-02-09,19947000,2020-01-12,14181800,2020-01-05,9281500,,,,,,,,
ZS,weekly,2020-06-07,39536200,2020-05-31,33267200,2020-03-29,24029300,2020-02-23,22724500,2020-01-19,16355900,2020-01-12,14767200,2020-01-05,5283500,,,,,,
DDOG,weekly,2020-05-17,68808900,2020-03-15,40660100,2020-03-01,22058400,2020-02-16,17357500,2020-01-12,14891500,2020-01-05,6428700,,,,,,,,
DXCM,weekly,2020-05-17,126044000,2020-05-10,44861200,2020-04-19,37021200,2020-03-22,36359200,2020-03-15,32434400,2020-02-23,27162000,2020-02-16,25436800,2020-01-19,18308800,2020-01-12,17337200,2020-01-05,9515200
GOOG,weekly,2020-03-22,392004000,2020-03-15,330242000,2020-03-01,286304000,2020-02-09,236154000,2020-02-02,163338000,2020-01-12,161692000,2020-01-05,92114000,,,,,,
CHTR,weekly,2020-03-22,17754000,2020-03-15,14856600,2020-03-08,14481200,2020-03-01,10924600,2020-02-02,7587200,2020-01-19,6558000,2020-01-12,4780900,2020-01-05,3812500,,,,
