Symbol,timeframe,HVD_date_1,HVD_vol_1,HVD_date_2,HVD_vol_2,HVD_date_3,HVD_vol_3,HVD_date_4,HVD_vol_4,HVD_date_5,HVD_vol_5,HVD_date_6,HVD_vol_6,HVD_date_7,HVD_vol_7,HVD_date_8,HVD_vol_8,HVD_date_9,HVD_vol_9,HVD_date_10,HVD_vol_10
DDOG,daily,2023-11-07,29134800,2023-08-08,26640900,2023-05-04,15351900,2022-06-02,15399700,2022-02-10,15866100,2021-12-17,17400800,2020-11-11,25348600,2020-09-30,28819000,2020-08-07,18906500,2020-05-12,24947300
LULU,daily,2023-10-17,28064700,2023-10-16,11454200,2023-06-02,9317200,2023-03-29,11502000,2023-01-09,8292900,2022-12-09,9306000,2022-09-02,8780300,2022-03-30,8082000,2021-09-09,7789600,2020-09-09,8543100
ABNB,daily,2023-09-15,74788500,2023-05-10,34191000,2023-02-15,32481900,2022-11-02,29191400,2022-06-24,28797400,2021-12-17,24062400,2021-11-05,27330500,2021-05-17,39755000,2020-12-11,26980800,2020-12-10,70447500
ARM,daily,2023-11-22,15090000,2023-11-09,15354500,2023-10-23,9979300,2023-09-25,12896500,2023-09-21,15010900,2023-09-20,16369500,2023-09-19,18308600,2023-09-18,34571900,2023-09-15,74753100,2023-09-14,130534500
TXN,daily,2023-07-21,17251600,2023-03-17,12963300,2022-10-26,12964700,2022-09-16,13417800,2022-01-26,12852700,2021-07-22,12673900,2020-03-18,16413900,2020-03-17,16243500,2020-03-13,16040100,2020-03-12,15158500
ISRG,daily,2023-10-20,7002500,2023-07-21,9157600,2023-04-19,6178200,2023-01-25,5863600,2022-10-19,5873000,2022-07-22,6588300,2022-04-22,6845300,2021-04-21,6293700,2020-03-18,6621300,2020-01-24,6266400
MDLZ,daily,2023-10-06,19041700,2023-07-21,22069200,2022-12-16,17584900,2022-01-21,18880800,2021-09-17,16980400,2021-06-18,16415000,2021-03-19,17758000,2020-03-20,16245900,2020-03-10,16742300,2020-01-30,18286100
CDNS,daily,2023-07-21,5338800,2023-06-23,7001700,2023-06-16,5007100,2023-04-25,5320600,2022-10-25,5082600,2022-10-13,4676600,2022-02-23,4882500,2021-04-27,6075300,2020-03-12,4756600,2020-02-28,4698200
VRSK,daily,2023-07-21,3315200,2023-06-16,4248200,2023-03-01,2572900,2022-05-04,2613000,2022-03-04,2617100,2022-02-23,2524100,2021-03-02,2617300,2021-03-01,2963400,2021-02-25,3663200,2021-02-24,3606000
PANW,daily,2023-08-21,40537600,2023-07-12,35574000,2023-06-16,109647000,2023-05-24,34073000,2023-02-22,42277200,2022-08-23,36726000,2022-05-20,35400000,2021-12-17,35245200,2021-08-24,66796200,2020-02-25,59718600
PAYX,daily,2025-09-30,6937462,2023-07-21,5885800,2023-05-31,16804900,2023-03-17,7237500,2021-03-19,7898700,2020-06-19,6158300,2020-04-03,6192900,2020-03-25,5912500,2020-03-20,5751200,2020-03-17,7262400
