Symbol,timeframe,HVD_date_1,HVD_vol_1,HVD_date_2,HVD_vol_2,HVD_date_3,HVD_vol_3,HVD_date_4,HVD_vol_4,HVD_date_5,HVD_vol_5,HVD_date_6,HVD_vol_6,HVD_date_7,HVD_vol_7,HVD_date_8,HVD_vol_8,HVD_date_9,HVD_vol_9,HVD_date_10,HVD_vol_10
PEP,daily,2023-07-21,15022100,2023-05-31,20414600,2022-12-16,15708100,2022-05-31,13610000,2021-03-19,16114400,2020-05-15,20338200,2020-03-23,13926800,2020-03-18,15250800,2020-03-17,14242300,2020-02-28,14164000
AVGO,daily,2023-11-27,96962000,2023-06-01,80792000,2023-05-31,89998000,2023-05-30,116912000,2023-05-26,82500000,2023-03-17,79303000,2021-03-19,108602000,2020-03-18,98993000,2020-03-16,76935000,2020-03-13,84714000
MRVL,daily,2023-08-25,32505500,2023-05-31,37896700,2023-05-30,51926500,2023-05-26,94307300,2023-05-25,37900300,2023-03-03,38293200,2021-12-03,51023700,2021-03-04,33121300,2020-12-18,31269000,2020-10-29,41594500
NVDA,daily,2023-08-24,1156044000,2023-05-25,1543911000,2023-02-23,1117995000,2022-09-01,1178865000,2021-11-04,1153631000,2020-09-14,1201744000,2020-09-04,1463684000,2020-05-27,1175892000,2020-03-24,1101644000,2020-02-28,1133252000
INTU,daily,2026-05-22,22353424,2023-07-21,4574000,2023-05-31,6180600,2023-05-24,6664400,2022-11-30,4902300,2022-11-01,4241900,2022-05-31,4297700,2022-05-25,5277100,2021-12-17,4330300,2021-12-01,5184800
AXON,daily,2023-06-16,3200200,2023-05-31,3270500,2023-05-10,3724200,2023-05-03,17765900,2023-02-28,4875300,2021-11-16,3145200,2020-06-26,7776900,2020-06-02,3639900,2020-06-01,4979100,2020-05-08,3492100
GOOG,daily,2023-02-09,97798600,2022-02-02,89750000,2021-02-03,82364000,2020-10-30,86582000,2020-06-26,85354000,2020-03-25,81630000,2020-03-23,80882000,2020-03-18,84668000,2020-03-16,85048000,2020-03-12,84534000
EA,daily,2023-02-01,14492300,2022-08-26,9512600,2025-09-30,8930135,2022-05-11,7986700,2022-01-18,8758900,2021-10-06,8344300,2020-11-30,10085200,2020-11-09,7097200,2020-11-06,12151100,2020-03-23,8149000
CTSH,daily,2023-09-15,9871500,2023-08-03,10687900,2023-07-21,9160400,2023-06-23,9775100,2023-03-10,10747000,2023-01-20,10647300,2023-01-12,11756000,2021-06-03,9907400,2021-05-06,10853300,2026-05-22,8986131
GEHC,daily,2023-10-31,7555100,2023-09-15,6711100,2023-07-21,7717700,2023-06-23,7973000,2023-06-08,15048600,2023-06-06,23800600,2023-04-25,7291400,2023-01-11,9219400,2023-01-05,8850600,2023-01-04,33338500
TEAM,daily,2023-05-05,7392800,2023-02-28,9810700,2023-02-03,7322800,2022-12-16,17456200,2022-12-14,6887800,2022-11-07,7110600,2022-11-04,15573100,2022-08-05,6815200,2020-07-31,6939500,2020-01-24,8033700
WBD,daily,2023-11-08,80193400,2023-09-01,62845900,2022-12-16,158082500,2022-11-04,60325100,2022-08-05,67899700,2022-04-13,65233900,2022-04-11,70016200,2021-05-17,89513200,2021-03-29,65944200,2021-03-26,106071700
CMCSA,daily,2023-07-21,52588600,2023-05-31,53653200,2022-12-16,68862200,2022-09-16,52294500,2022-07-29,54134700,2021-09-14,54749300,2020-03-25,57834100,2020-03-13,66243400,2020-03-12,63254500,2020-02-28,62186700
GFS,daily,2023-07-21,6481900,2023-02-14,6877400,2022-12-16,25953400,2022-08-12,7078500,2022-08-08,5421300,2022-08-01,6242900,2022-02-09,6095600,2021-12-17,5666900,2021-11-01,9946500,2021-10-28,18618900
BKR,daily,2023-07-21,23644200,2022-12-16,53992500,2022-09-16,35834500,2022-07-20,29797900,2022-06-17,28201900,2022-03-18,24795600,2021-11-30,31133200,2021-10-20,23532100,2021-09-17,30925500,2020-02-28,28759000
CHTR,daily,2025-09-30,4552185,2023-10-27,3721200,2022-12-16,3718500,2022-12-14,5720000,2022-04-29,4820200,2022-02-24,4139700,2021-12-17,4075500,2020-03-18,4954800,2020-03-17,3736000,2020-03-05,4485300
CRWD,daily,2023-06-01,15842100,2023-03-08,24696900,2022-11-30,38648000,2022-03-10,24135400,2020-09-03,21225900,2020-09-02,32009800,2020-06-26,17438500,2020-06-04,16371200,2020-06-03,21051500,2020-01-06,21725400
ASML,daily,2023-09-15,2841400,2023-07-20,2918800,2022-11-10,3518000,2022-10-21,2756600,2022-10-13,2782200,2022-07-05,2778300,2022-01-24,2833100,2020-03-18,3131900,2020-03-13,2637200,2020-03-12,2779800
META,daily,2023-02-02,150475700,2022-11-09,107677300,2022-11-01,110189600,2022-10-31,121361400,2022-10-28,95928300,2022-10-27,232316600,2022-04-28,100890600,2022-02-08,94729700,2022-02-04,89342200,2022-02-03,188119900
LRCX,daily,2023-04-20,40480000,2022-10-20,58751000,2022-10-17,51439000,2022-10-13,45293000,2022-10-11,53132000,2022-10-10,39506000,2020-06-26,42337000,2020-05-01,57151000,2020-03-20,39045000,2020-01-30,39431000
KLAC,daily,2022-10-13,4588800,2022-10-11,3561200,2022-09-16,4219300,2022-01-24,3310800,2021-12-17,3228000,2021-06-25,3921200,2020-06-19,3331000,2020-05-15,3709900,2020-02-28,3695100,2020-02-27,3589700
CSGP,daily,2023-06-30,32327100,2023-02-22,9931300,2022-12-16,24253000,2022-09-16,54034900,2022-02-23,16502600,2021-03-05,13143000,2021-03-04,10247000,2021-02-16,10810000,2020-07-17,15359000,2020-05-21,13003000
CSX,daily,2023-07-21,48304200,2022-12-16,33977100,2022-09-16,48494400,2022-09-15,34773800,2022-05-19,33489200,2022-01-21,34378800,2020-03-16,33835800,2020-03-13,36818700,2020-03-12,36770100,2020-02-28,34584300
ADBE,daily,2023-09-15,9774500,2023-06-16,13343800,2023-06-15,9682200,2022-12-16,11940700,2022-09-16,14948100,2022-09-15,27840200,2022-06-17,9475100,2022-03-23,13979800,2021-12-16,10961200,2020-03-13,8935200
LIN,daily,2023-03-17,5702300,2023-02-24,14737800,2023-02-07,5990100,2022-06-24,23958800,2021-09-17,6512400,2021-06-25,23412000,2020-03-16,7079300,2020-03-13,6386900,2020-03-12,6340400,2020-03-10,5604100
KDP,daily,2023-09-15,40430900,2023-07-21,23786200,2022-09-16,33297800,2022-06-17,143326600,2022-06-06,23883000,2022-05-31,35586700,2020-11-17,29406700,2020-10-16,56689800,2020-05-29,23927000,2020-03-05,23735700
AMGN,daily,2023-07-21,9381100,2023-03-17,7817000,2022-12-16,8789000,2022-06-17,13114500,2022-03-18,7617100,2022-02-08,8394800,2021-08-04,6952800,2021-04-28,7550800,2021-03-19,12589900,2020-08-28,12838400
ON,daily,2023-10-31,22213200,2023-10-30,39759800,2023-06-16,28125300,2022-06-17,93180900,2022-06-06,21894800,2022-02-07,20500400,2021-11-01,23265200,2020-10-08,22188100,2020-02-04,22432000,2020-02-03,34726900
WDAY,daily,2026-05-22,9182578,2023-11-29,9168700,2023-09-28,9196300,2022-11-30,8712600,2022-08-26,9891000,2022-05-27,13368400,2021-08-27,7411600,2021-07-27,7730300,2020-11-20,12274600,2020-08-28,11256800
ROST,daily,2023-11-17,9016500,2022-11-18,11725200,2022-06-24,10913200,2022-05-23,12789900,2022-05-20,34575500,2020-03-24,8351500,2020-03-20,10008700,2020-03-19,7958700,2020-03-18,8149600,2020-03-17,7862800
TTWO,daily,2023-11-08,8062400,2023-05-18,12476000,2022-11-08,19320500,2022-05-23,7573700,2022-05-20,19700700,2022-05-17,8128000,2022-01-11,7451600,2022-01-10,9883100,2020-05-21,7409600,2020-02-07,8808000
COST,daily,2022-12-01,6970400,2022-05-18,9511600,2021-03-05,8102800,2020-09-25,7338500,2020-03-24,7124200,2020-03-18,6701800,2020-03-17,7170600,2020-03-12,7307600,2020-03-02,7563800,2020-02-28,7091800
MSTR,daily,2022-11-09,27419000,2022-11-08,31238000,2022-06-13,36775000,2022-05-13,25234000,2022-05-12,46929000,2022-05-11,36188000,2021-06-22,25670000,2021-02-10,22973000,2021-02-09,23197000,2021-01-07,22844000
SHOP,daily,2023-05-04,88927300,2022-10-27,85884000,2022-07-27,79941500,2022-05-12,94274000,2022-05-06,102696000,2022-05-05,113608000,2022-02-16,99250000,2022-01-24,77556000,2020-04-21,110507000,2020-02-12,97794000
SBUX,daily,2022-05-04,30199700,2021-10-29,27419600,2020-06-11,26422200,2020-03-24,28286200,2020-03-23,24905800,2020-03-20,28420600,2020-03-19,25167400,2020-03-18,28770600,2020-03-17,25045200,2020-03-12,25170600
AMD,daily,2023-08-02,173372000,2022-10-07,163786300,2022-05-20,164126800,2022-05-17,164227200,2022-05-04,225394100,2022-02-11,164723200,2022-02-02,180065000,2021-08-04,225368700,2021-07-29,164091800,2020-07-24,205314500
IDXX,daily,2023-11-01,1532000,2023-07-21,1621900,2022-05-06,1527800,2022-05-04,2104500,2021-02-18,1574200,2020-05-29,1514700,2020-03-20,1539200,2020-03-19,1852300,2020-03-18,1569300,2020-02-28,1614600
ROP,daily,2023-11-30,1441800,2023-05-31,2362400,2023-03-17,1642200,2022-10-26,1385600,2022-06-17,1620300,2022-05-31,2166300,2022-04-29,2822200,2021-02-17,1517100,2020-10-28,1514600,2020-10-27,1415000
NFLX,daily,2023-01-20,284303000,2022-10-19,466853000,2022-07-20,539203000,2022-07-19,281787000,2022-04-22,375151000,2022-04-21,535016000,2022-04-20,1333875000,2022-01-24,323460000,2022-01-21,589043000,2021-01-20,326375000
PDD,daily,2022-10-24,73112000,2022-08-29,75110900,2022-03-24,43293900,2022-03-23,52480900,2022-03-22,55714600,2022-03-21,52251800,2022-03-18,43263700,2022-03-16,79707700,2022-03-15,56774300,2021-08-24,42178200
DASH,daily,2023-02-17,23601400,2022-11-04,20529800,2022-08-05,18313000,2022-07-06,14984000,2022-05-06,19772400,2022-02-17,47405700,2021-09-17,14845700,2021-05-14,15264700,2021-03-09,20400000,2020-12-09,25373700
PYPL,daily,2023-08-03,51260800,2023-05-10,46309100,2023-05-09,68702600,2022-11-04,41464900,2022-08-03,53766800,2022-04-28,42836600,2022-02-03,52101200,2022-02-02,136264000,2021-11-09,63995100,2021-10-21,42508900
CEG,daily,2022-07-28,8460600,2022-06-24,6473700,2022-06-17,6478700,2022-05-31,7389300,2022-03-18,9663900,2022-02-08,7277500,2022-02-07,9432500,2022-02-04,6757800,2022-02-03,8425500,2022-02-02,23860900
GOOGL,daily,2023-02-09,119455000,2023-02-08,94743500,2022-02-02,123200000,2021-07-28,95130000,2021-02-03,97882000,2020-10-30,99878000,2020-06-26,97640000,2020-04-29,108358000,2020-03-16,96520000,2020-02-04,95880000
EXC,daily,2023-03-17,28178200,2023-02-28,22622100,2022-12-16,18680200,2022-12-06,19809300,2022-02-03,25588400,2022-02-02,29696500,2021-05-19,21836290,2020-06-19,18706325,2020-03-17,19085987,2020-02-28,20859797
ODFL,daily,2023-07-21,4589200,2023-05-31,4858200,2023-04-26,4978200,2023-02-01,5320200,2022-12-16,4261600,2022-05-31,4180600,2022-04-27,4109000,2022-04-05,4405600,2022-01-21,13531000,2021-05-27,5651000
FTNT,daily,2023-11-03,38074400,2023-08-04,32831500,2022-08-04,19687500,2021-12-17,48309500,2020-10-30,21500500,2020-08-07,20981500,2020-05-07,26798000,2020-03-24,26132500,2020-03-20,20209500,2020-03-19,23454000
CDW,daily,2023-11-30,2377000,2023-04-19,5335800,2021-12-17,8374300,2020-03-16,2461000,2020-03-13,2292400,2020-03-12,2756300,2020-03-11,2858800,2020-03-09,2728900,2020-02-28,2984800,2020-01-17,2357000
APP,daily,2023-11-09,14358800,2023-08-10,19545600,2023-05-11,15089800,2023-02-09,14681600,2022-11-10,10644800,2022-09-16,10604500,2022-06-24,16578600,2022-05-12,15940600,2021-12-03,29157000,2021-04-15,11444400
ADSK,daily,2023-07-21,4587900,2023-02-24,4971500,2022-11-30,4608700,2022-11-23,6274800,2021-11-24,10904600,2021-09-02,5475100,2021-08-26,5486100,2020-03-20,4515800,2020-03-18,4762400,2020-03-12,5014100
QCOM,daily,2023-08-03,29239600,2022-04-28,31111100,2022-02-03,36120200,2021-11-16,33338200,2021-11-05,27226600,2021-11-04,48321500,2021-02-04,46141800,2020-11-05,27910900,2020-07-30,42122500,2020-05-15,29597800
XEL,daily,2023-09-15,9226000,2023-07-21,10530000,2022-02-15,10095000,2021-10-15,15991200,2021-04-16,12014700,2021-03-19,9200400,2020-03-20,9148900,2020-03-17,8959300,2020-03-10,8897400,2020-03-09,9885200
ADI,daily,2023-05-25,9915900,2023-05-24,10367100,2022-03-18,9901900,2021-09-20,10189700,2021-09-17,13056400,2021-08-31,9136300,2021-08-25,19156400,2021-08-23,13465500,2021-08-04,10201100,2020-07-13,14320000
MU,daily,2023-03-29,51939800,2022-03-30,70087000,2021-12-21,58363600,2021-08-12,72492400,2021-07-01,53299000,2021-01-08,51272100,2020-09-30,55392600,2020-05-27,56071500,2020-03-26,62450700,2020-03-25,54091000
AZN,daily,2022-02-18,34981700,2021-07-22,48604900,2021-07-20,65540200,2021-07-19,41068100,2021-07-16,28642800,2021-07-15,27055800,2020-12-18,25875200,2020-12-14,54898600,2020-07-20,56346600,2020-07-17,24319500
HON,daily,2022-03-18,9282265,2022-02-03,9209374,2021-07-20,29959563,2021-03-19,10727559,2020-11-09,8207047,2020-08-28,13805520,2020-06-26,10880873,2020-03-23,8700624,2020-03-17,9044813,2020-02-28,10141144
BIIB,daily,2022-09-28,16232000,2022-01-12,7511100,2021-12-29,6869700,2021-06-08,12209300,2021-06-07,17954100,2020-11-09,9252600,2020-11-04,14591500,2020-06-19,7723100,2020-04-22,6650100,2020-02-05,10159200
TTD,daily,2023-11-10,42618700,2022-08-10,42341000,2021-06-24,35328600,2021-05-11,36805000,2021-05-10,87309000,2020-11-06,44645000,2020-06-03,38466000,2020-05-13,35310000,2020-05-08,52253000,2020-02-28,52216000
FAST,daily,2023-10-12,29080000,2023-07-21,19073800,2021-03-19,31366400,2020-03-20,19137000,2020-03-18,20620400,2020-03-16,19092400,2020-03-12,19858600,2020-03-11,21831800,2020-03-09,24785800,2020-01-17,25703600
ADP,daily,2023-05-31,7408400,2023-03-17,8927500,2022-03-18,6168400,2022-01-26,5686900,2021-05-27,5650500,2021-03-19,10171500,2020-07-30,8449300,2020-05-20,5466000,2020-03-20,6257600,2020-03-12,5497200
NXPI,daily,2022-06-24,14800200,2022-06-09,10137500,2021-06-25,13139800,2021-03-19,53102200,2021-03-18,8297300,2021-03-15,12102100,2020-06-19,22349900,2020-05-29,42770800,2020-03-18,10744500,2020-03-17,9133800
TRI,daily,2023-02-09,1778854,2022-11-23,1418692,2022-05-25,1585002,2022-02-22,1569690,2021-05-14,1707303,2021-05-04,1590009,2021-02-23,2392285,2020-08-19,2075554,2020-03-18,1573831,2020-03-12,2091732
PCAR,daily,2023-07-21,9949800,2023-04-21,10063200,2023-01-24,11576700,2022-12-16,7423200,2022-07-15,9470400,2022-01-25,7207800,2021-12-17,7793850,2021-09-20,8808450,2021-07-29,7510650,2021-01-21,12132150
BKNG,daily,2026-05-22,7470505,2022-03-08,1207000,2022-03-07,1089300,2022-02-24,1518100,2020-11-09,1649300,2020-05-26,1201000,2020-05-18,1322000,2020-03-20,1146500,2020-03-13,1153100,2020-03-12,1282100
VRTX,daily,2023-05-31,5592300,2022-11-30,6633400,2021-12-01,7044400,2021-06-25,5671600,2021-06-15,4608900,2021-06-11,13725100,2021-02-02,6292900,2020-10-16,5956100,2020-10-15,17493000,2020-05-29,5392900
PLTR,daily,2023-06-07,227244100,2023-05-09,223573300,2023-02-14,216055200,2021-05-11,203230500,2021-02-19,320063700,2021-02-18,313175100,2021-01-25,191345300,2020-11-27,207834000,2020-11-25,202563700,2020-09-30,338584400
AMAT,daily,2023-11-17,18912700,2021-05-12,18648200,2021-03-31,18589500,2021-03-24,20252500,2021-02-19,21054100,2020-09-08,20934800,2020-08-14,23421900,2020-05-15,20755900,2020-03-18,18870000,2020-02-13,21742700
AEP,daily,2023-10-05,8103100,2023-07-21,8462300,2023-03-17,8072300,2022-06-17,8000800,2021-03-19,9525500,2021-01-14,8042700,2020-12-18,14359200,2020-07-27,22455700,2020-05-15,8018100,2020-03-12,7534000
INTC,daily,2023-06-16,110240300,2023-05-31,136243800,2023-01-27,148548200,2022-07-29,125292400,2021-10-22,109971900,2021-01-13,124070700,2020-12-18,119298400,2020-10-23,97322500,2020-07-27,107526500,2020-07-24,182269900
CSCO,daily,2023-11-16,79057800,2022-12-16,66125400,2022-05-31,64821200,2022-05-19,97674600,2021-11-18,70834000,2021-03-19,65366800,2020-08-13,91849500,2020-06-26,106928300,2020-03-11,63594300,2020-02-28,80188000
TMUS,daily,2023-09-15,19544200,2023-06-02,37260200,2022-02-03,16349300,2020-06-26,25367800,2020-06-25,55407300,2020-06-24,66903100,2020-06-23,22929100,2020-05-19,21394500,2020-04-02,22956100,2020-02-11,25874400
ZS,daily,2023-11-28,11013400,2023-05-08,14225300,2023-03-03,12153800,2022-09-09,11398000,2022-02-25,12093100,2020-12-03,15382800,2020-06-02,10192100,2020-06-01,17087800,2020-05-29,22768800,2020-02-21,13200700
REGN,daily,2022-09-08,3731500,2020-10-05,4843300,2020-06-19,2668600,2020-05-29,6675100,2020-05-28,7869500,2020-05-27,5902600,2020-05-26,3742000,2020-03-17,3856500,2020-02-25,3568800,2020-02-24,2959700
MCHP,daily,2020-08-05,14825200,2020-06-03,17451000,2020-05-27,20745600,2020-03-25,17580800,2020-03-24,17734800,2020-03-23,19436000,2020-03-17,14931000,2020-03-12,20688400,2020-03-11,18819600,2020-01-03,20029800
DXCM,daily,2023-10-27,14954600,2022-05-25,11797200,2021-06-25,13446400,2020-10-28,22844400,2020-05-12,12266400,2020-05-11,94684000,2020-05-08,14540000,2020-05-07,15350400,2020-04-17,15599600,2020-02-14,13438400
MELI,daily,2023-08-03,1593900,2023-07-10,1409200,2022-08-04,1851200,2022-02-23,1932800,2022-01-24,1375700,2022-01-10,1372300,2021-12-02,1516800,2020-05-06,2359100,2020-03-12,1437400,2020-02-11,1452100
GILD,daily,2020-04-30,39332600,2020-04-29,78230200,2020-04-23,65439700,2020-04-17,94348500,2020-03-20,35110200,2020-03-19,46268200,2020-02-27,51482500,2020-02-25,39199200,2020-02-24,42905000,2020-02-03,35527100
CCEP,daily,2020-11-30,4490400,2020-11-10,4384700,2020-11-09,6210900,2020-05-29,7268900,2020-04-07,5290200,2020-04-01,6206000,2020-03-30,4392000,2020-03-26,4906000,2020-03-25,10565900,2020-03-19,5000800
ORLY,daily,2023-06-23,25740000,2022-04-28,29757000,2021-06-25,24586500,2020-03-26,24033000,2020-03-25,32574000,2020-03-24,43822500,2020-03-23,28507500,2020-03-12,24249000,2020-02-28,25341000,2020-02-06,32776500
CTAS,daily,2023-07-21,7308800,2020-05-14,9572400,2020-03-26,6924000,2020-03-25,6708800,2020-03-23,6571600,2020-03-20,10294800,2020-03-18,7657200,2020-03-17,7512800,2020-03-16,6964000,2020-03-12,7770800
MAR,daily,2020-11-09,14217300,2020-05-18,11003400,2020-04-07,11850400,2020-04-06,12186100,2020-04-03,10622200,2020-03-23,12931800,2020-03-20,18154700,2020-03-19,17497700,2020-03-18,25881800,2020-03-17,12101600
MNST,daily,2022-08-05,13870400,2022-05-06,13271400,2020-03-24,15504600,2020-03-13,15497200,2020-03-12,15201000,2020-03-11,13025400,2020-03-10,16962000,2020-03-04,13059800,2020-02-28,14429200,2020-02-27,14253000
FANG,daily,2022-12-16,12724100,2022-06-17,9385900,2021-11-30,15960100,2021-03-19,9425400,2020-11-30,16587200,2020-11-09,10946900,2020-04-03,9649600,2020-04-02,10438900,2020-03-10,11259800,2020-03-09,19434300
AAPL,daily,2020-09-04,332607200,2020-08-24,345937600,2020-08-21,338054800,2020-07-31,374336800,2020-03-23,336752800,2020-03-20,401693200,2020-03-13,370732000,2020-03-12,418474000,2020-03-02,341397200,2020-02-28,426510000
MSFT,daily,2022-12-16,86102000,2022-01-26,90428900,2022-01-24,85731500,2020-03-20,84866200,2020-03-19,85922700,2020-03-16,87905900,2020-03-13,92727400,2020-03-12,93226400,2020-02-28,97012700,2020-02-27,93174900
SNPS,daily,2023-06-23,4197700,2023-05-31,3080100,2023-05-30,2692400,2023-05-25,2576300,2022-10-11,2919900,2022-04-13,2916700,2021-06-25,2959100,2020-02-28,3129100,2020-02-21,2777000,2020-02-20,4667200
CPRT,daily,2023-04-21,15001600,2020-04-23,19805200,2020-03-20,16990400,2020-03-16,14602800,2020-03-13,15887600,2020-03-12,17070000,2020-03-10,14366400,2020-03-09,14483600,2020-02-28,16210000,2020-02-20,28744800
KHC,daily,2023-11-30,23929000,2023-07-21,22388400,2022-09-16,30286300,2022-06-02,27694500,2022-05-26,24785300,2021-11-22,22906700,2021-11-18,21735600,2021-02-18,22518600,2020-02-14,23915700,2020-02-13,37333600
TSLA,daily,2020-12-18,666378600,2020-07-13,584781000,2020-05-01,487977000,2020-04-14,458647500,2020-02-06,598212000,2020-02-05,726357000,2020-02-04,914082000,2020-02-03,705975000,2020-01-22,470535000,2020-01-08,467164500
AMZN,daily,2022-10-28,223133400,2022-04-29,272662000,2022-02-04,253456000,2022-02-03,225532000,2021-07-30,199312000,2020-04-16,240764000,2020-03-19,207998000,2020-03-17,218342000,2020-03-12,226924000,2020-01-31,311346000
