Symbol,timeframe,HVE_date_1,HVE_vol_1,HVE_date_2,HVE_vol_2,HVE_date_3,HVE_vol_3,HVE_date_4,HVE_vol_4,HVE_date_5,HVE_vol_5,HVE_date_6,HVE_vol_6,HVE_date_7,HVE_vol_7,HVE_date_8,HVE_vol_8,HVE_date_9,HVE_vol_9,HVE_date_10,HVE_vol_10
XEL,monthly,2023-09-30,101553800,2023-08-31,92610600,2021-03-31,89833000,2020-04-30,69768600,2020-01-31,61710500,,,,,,,,,,
PANW,monthly,2023-06-30,341692800,2022-03-31,248377800,2022-02-28,218218200,2020-05-31,192873600,2020-04-30,160987200,2020-01-31,108636000,,,,,,,,
GEHC,monthly,2023-06-30,105631400,2023-03-31,45387100,2023-02-28,43608700,2022-12-31,8702000,,,,,,,,,,,,
AVGO,monthly,2023-06-30,737363000,2021-03-31,724725000,2020-06-30,652276000,2020-04-30,619989000,2020-01-31,585943000,,,,,,,,,,
INTU,monthly,2023-05-31,49565300,2022-03-31,48113100,2021-12-31,38812800,2021-03-31,37258300,2020-09-30,29782500,2020-04-30,29428200,2020-01-31,26141100,,,,,,
CTSH,monthly,2023-03-31,99061800,2022-12-31,95956600,2022-11-30,91266300,2020-04-30,90480100,2020-01-31,64017300,,,,,,,,,,
INTC,monthly,2023-03-31,1193573500,2021-01-31,962555600,2020-12-31,883810300,2020-07-31,808654500,2020-04-30,617557900,2020-01-31,534150100,,,,,,,,
ROP,monthly,2023-03-31,15449000,2022-06-30,14591800,2021-03-31,14395700,2021-02-28,14159000,2020-04-30,13224100,2020-01-31,9828700,,,,,,,,
TEAM,monthly,2022-12-31,94128100,2022-11-30,78256400,2022-08-31,45673600,2020-07-31,44955100,2020-01-31,41879800,,,,,,,,,,
ASML,monthly,2022-11-30,29733000,2022-03-31,27823700,2021-03-31,25840500,2020-07-31,21054500,2020-04-30,17361100,2020-01-31,15385800,,,,,,,,
ADSK,monthly,2022-11-30,45085500,2022-03-31,44518100,2020-04-30,44125100,2020-01-31,29717800,,,,,,,,,,,,
TRI,monthly,2022-11-30,13646385,2021-03-31,12392269,2020-05-31,12220373,2020-04-30,11415112,2020-01-31,10058442,,,,,,,,,,
TTWO,monthly,2022-11-30,68610800,2020-05-31,57358600,2020-04-30,45607900,2020-01-31,25444300,,,,,,,,,,,,
CMCSA,monthly,2022-09-30,646211100,2021-12-31,540633900,2020-04-30,486736800,2020-01-31,462380600,,,,,,,,,,,,
ADBE,monthly,2022-09-30,124381600,2022-03-31,98677500,2020-09-30,84762100,2020-04-30,73060300,2020-01-31,44249000,,,,,,,,,,
CSGP,monthly,2022-09-30,123268900,2021-03-31,93908000,2020-07-31,75162000,2020-04-30,73042000,2020-01-31,44892000,,,,,,,,,,
KHC,monthly,2022-06-30,210320600,2022-02-28,187769800,2021-02-28,172728500,2020-04-30,158549700,2020-01-31,124873200,,,,,,,,,,
LIN,monthly,2022-06-30,72953800,2021-06-30,66488000,2020-04-30,47435900,2020-01-31,34481000,,,,,,,,,,,,
KDP,monthly,2022-06-30,366342600,2020-10-31,163733200,2020-05-31,115763700,2020-01-31,73497400,,,,,,,,,,,,
ROST,monthly,2022-06-30,79733200,2020-06-30,78221000,2020-04-30,75979300,2020-01-31,39850200,,,,,,,,,,,,
WDAY,monthly,2022-06-30,73605900,2022-03-31,58709200,2020-05-31,55036600,2020-04-30,54260900,2020-01-31,36295800,,,,,,,,,,
IDXX,monthly,2022-06-30,13326600,2020-04-30,12555100,2020-01-31,10700900,,,,,,,,,,,,,,
AMGN,monthly,2022-06-30,76166000,2022-03-31,73373300,2021-03-31,71752500,2020-04-30,61802200,2020-01-31,51442800,,,,,,,,,,
ODFL,monthly,2022-04-30,54925000,2020-09-30,42795400,2020-04-30,38746200,2020-01-31,32130000,,,,,,,,,,,,
MDLZ,monthly,2022-03-31,211083100,2021-03-31,210129500,2020-04-30,170906500,2020-01-31,153494600,,,,,,,,,,,,
BKR,monthly,2022-03-31,351123900,2021-10-31,238057900,2021-03-31,215688600,2020-06-30,164117400,2020-04-30,151608700,2020-01-31,119582300,,,,,,,,
HON,monthly,2022-03-31,84788800,2021-07-31,83377600,2020-06-30,82960300,2020-05-31,77403600,2020-04-30,74347000,2020-01-31,54513600,,,,,,,,
VRSK,monthly,2022-03-31,34780500,2021-03-31,32720300,2020-06-30,21387500,2020-04-30,19854000,2020-01-31,15096600,,,,,,,,,,
MU,monthly,2022-03-31,646507100,2020-04-30,595404300,2020-01-31,511028800,,,,,,,,,,,,,,
GFS,monthly,2022-03-31,65145800,2021-11-30,60681800,2021-10-31,23258300,,,,,,,,,,,,,,
CSX,monthly,2022-03-31,439268800,2020-04-30,323410500,2020-01-31,267287700,,,,,,,,,,,,,,
META,monthly,2022-02-28,1128039600,2021-10-31,588382500,2020-06-30,548043800,2020-04-30,541334600,2020-01-31,347314600,,,,,,,,,,
PYPL,monthly,2022-02-28,671591400,2021-11-30,434862600,2021-10-31,250443900,2021-02-28,233954600,2020-05-31,209230900,2020-04-30,198491000,2020-01-31,162176700,,,,,,
CHTR,monthly,2022-02-28,37314500,2021-12-31,29921100,2021-03-31,29713000,2020-01-31,26563900,,,,,,,,,,,,
CEG,monthly,2022-02-28,97310100,,,,,,,,,,,,,,,,,,
EXC,monthly,2022-02-28,248579948,2020-06-30,202362576,2020-01-31,176663076,,,,,,,,,,,,,,
DASH,monthly,2022-02-28,151700000,2021-03-31,94488000,2020-12-31,92026800,,,,,,,,,,,,,,
QCOM,monthly,2021-11-30,323236400,2021-02-28,261880200,2020-06-30,222750600,2020-04-30,215838800,2020-01-31,202806800,,,,,,,,,,
PCAR,monthly,2021-09-30,85113450,2020-04-30,74843100,2020-01-31,56083650,,,,,,,,,,,,,,
ADI,monthly,2021-09-30,111734100,2020-07-31,83041400,2020-04-30,57048600,2020-01-31,43304900,,,,,,,,,,,,
AZN,monthly,2021-07-31,387383900,2020-12-31,301070200,2020-07-31,232665600,2020-06-30,123291100,2020-05-31,102351600,2020-04-30,89272400,2020-01-31,55336100,,,,,,
BIIB,monthly,2021-06-30,79201500,2020-04-30,46775300,2020-01-31,31459000,,,,,,,,,,,,,,
PEP,monthly,2021-03-31,161735400,2020-05-31,127004500,2020-04-30,115317200,2020-01-31,89890800,,,,,,,,,,,,
CSCO,monthly,2021-03-31,580029400,2020-06-30,571339300,2020-05-31,491568200,2020-04-30,488969500,2020-01-31,379259100,,,,,,,,,,
KLAC,monthly,2021-03-31,38026600,2020-05-31,33887000,2020-04-30,27100800,2020-01-31,23822800,,,,,,,,,,,,
AEP,monthly,2021-03-31,79938600,2020-07-31,79177700,2020-05-31,67544800,2020-04-30,61847700,2020-01-31,52596200,,,,,,,,,,
SNPS,monthly,2021-03-31,26583100,2020-04-30,23381800,2020-01-31,19513100,,,,,,,,,,,,,,
AMAT,monthly,2021-03-31,240480900,2020-09-30,205465300,2020-04-30,196887700,2020-01-31,141444900,,,,,,,,,,,,
COST,monthly,2021-03-31,92432000,2020-04-30,74411200,2020-01-31,43480800,,,,,,,,,,,,,,
ABNB,monthly,2020-12-31,231751600,,,,,,,,,,,,,,,,,,
AAPL,monthly,2020-09-30,3885245100,2020-04-30,3265299200,2020-01-31,2934370400,,,,,,,,,,,,,,
TMUS,monthly,2020-06-30,270165500,2020-05-31,119972800,2020-04-30,118762000,2020-01-31,52805300,,,,,,,,,,,,
CDW,monthly,2020-06-30,24637600,2020-04-30,22659000,2020-01-31,22636400,,,,,,,,,,,,,,
ZS,monthly,2020-06-30,95934100,2020-04-30,68258600,2020-01-31,50544500,,,,,,,,,,,,,,
ADP,monthly,2020-05-31,54382000,2020-04-30,51382500,2020-01-31,39541300,,,,,,,,,,,,,,
LRCX,monthly,2020-05-31,502768000,2020-04-30,471633000,2020-01-31,355595000,,,,,,,,,,,,,,
DXCM,monthly,2020-05-31,225900800,2020-04-30,124221200,2020-01-31,65490800,,,,,,,,,,,,,,
CPRT,monthly,2020-04-30,213928400,2020-01-31,115314000,,,,,,,,,,,,,,,,
MSFT,monthly,2020-04-30,984705000,2020-01-31,558530000,,,,,,,,,,,,,,,,
EA,monthly,2020-04-30,72981400,2020-01-31,51708200,,,,,,,,,,,,,,,,
CTAS,monthly,2020-04-30,80148400,2020-01-31,38076800,,,,,,,,,,,,,,,,
CDNS,monthly,2020-04-30,52998900,2020-01-31,28838600,,,,,,,,,,,,,,,,
FTNT,monthly,2020-04-30,215025000,2020-01-31,117975000,,,,,,,,,,,,,,,,
GILD,monthly,2020-04-30,570239600,2020-01-31,193156700,,,,,,,,,,,,,,,,
MCHP,monthly,2020-04-30,141025400,2020-01-31,137771400,,,,,,,,,,,,,,,,
PAYX,monthly,2020-04-30,63239200,2020-01-31,28995800,,,,,,,,,,,,,,,,
FAST,monthly,2020-04-30,211227200,2020-01-31,197287200,,,,,,,,,,,,,,,,
FANG,monthly,2020-04-30,121178500,2020-01-31,43798600,,,,,,,,,,,,,,,,
ORLY,monthly,2020-04-30,273001500,2020-01-31,192534000,,,,,,,,,,,,,,,,
TXN,monthly,2020-04-30,139932100,2020-01-31,111666800,,,,,,,,,,,,,,,,
GOOGL,monthly,2020-04-30,1124224000,2020-01-31,673594000,,,,,,,,,,,,,,,,
GOOG,monthly,2020-04-30,926702000,2020-01-31,673832000,,,,,,,,,,,,,,,,
MAR,monthly,2020-04-30,138688600,2020-01-31,34128300,,,,,,,,,,,,,,,,
SBUX,monthly,2020-04-30,282837600,2020-01-31,170390700,,,,,,,,,,,,,,,,
CCEP,monthly,2020-04-30,43121700,2020-01-31,17858000,,,,,,,,,,,,,,,,
