Symbol,timeframe,HVE_date_1,HVE_vol_1,HVE_date_2,HVE_vol_2,HVE_date_3,HVE_vol_3,HVE_date_4,HVE_vol_4,HVE_date_5,HVE_vol_5,HVE_date_6,HVE_vol_6,HVE_date_7,HVE_vol_7,HVE_date_8,HVE_vol_8,HVE_date_9,HVE_vol_9,HVE_date_10,HVE_vol_10
LRCX,daily,2022-10-20,58751000,2020-05-01,57151000,2020-01-30,39431000,2020-01-17,19299000,2020-01-14,17319000,2020-01-07,15595000,2020-01-02,15064000,,,,,,
KLAC,daily,2022-10-13,4588800,2022-09-16,4219300,2021-06-25,3921200,2020-05-15,3709900,2020-02-28,3695100,2020-02-27,3589700,2020-02-05,3113100,2020-02-04,1735900,2020-01-17,1604700,2020-01-14,1279600
CSGP,daily,2022-09-16,54034900,2022-02-23,16502600,2020-07-17,15359000,2020-05-21,13003000,2020-02-12,7351000,2020-02-03,4035000,2020-01-23,3579000,2020-01-02,3162000,,,,
CSX,daily,2022-09-16,48494400,2020-03-13,36818700,2020-03-12,36770100,2020-02-28,34584300,2020-01-17,31339800,2020-01-16,21106500,2020-01-06,14636400,2020-01-03,9978900,2020-01-02,8490300,,
ADBE,daily,2022-09-15,27840200,2022-03-23,13979800,2021-12-16,10961200,2020-03-13,8935200,2020-03-12,7230200,2020-02-28,6463400,2020-02-27,4737700,2020-02-25,4188100,2020-02-24,3924000,2020-02-20,3789300
LIN,daily,2022-06-24,23958800,2021-06-25,23412000,2020-03-16,7079300,2020-03-13,6386900,2020-03-12,6340400,2020-03-10,5604100,2020-02-28,5555300,2020-02-27,3685500,2020-02-05,2970400,2020-02-03,2911500
KDP,daily,2022-06-17,143326600,2020-10-16,56689800,2020-05-29,23927000,2020-03-05,23735700,2020-03-04,9166200,2020-01-22,8292600,2020-01-10,7271400,2020-01-09,4952100,2020-01-08,1931800,2020-01-02,1924300
AMGN,daily,2022-06-17,13114500,2020-08-28,12838400,2020-03-13,6903900,2020-01-31,5968900,2020-01-24,5019900,2020-01-21,3094200,2020-01-17,2582800,2020-01-14,2239100,2020-01-08,2214700,2020-01-02,2088000
ON,daily,2022-06-17,93180900,2020-02-03,34726900,2020-01-07,10547700,2020-01-06,8584400,2020-01-02,5651000,,,,,,,,,,
WDAY,daily,2022-05-27,13368400,2020-11-20,12274600,2020-08-28,11256800,2020-05-28,8411200,2020-03-20,6111600,2020-03-17,4817200,2020-03-16,4695800,2020-02-28,4273100,2020-02-27,3573800,2020-02-20,3219700
ROST,daily,2022-05-20,34575500,2020-03-20,10008700,2020-03-18,8149600,2020-03-17,7862800,2020-03-12,5273900,2020-01-31,5115000,2020-01-27,2677900,2020-01-09,2185800,2020-01-07,1961900,2020-01-02,1722500
TTWO,daily,2022-05-20,19700700,2022-01-10,9883100,2020-02-07,8808000,2020-02-06,3333700,2020-02-05,2982300,2020-01-17,1948900,2020-01-14,1768800,2020-01-06,1678700,2020-01-02,1114200,,
