Symbol,timeframe,HVD_date_1,HVD_vol_1,HVD_date_2,HVD_vol_2,HVD_date_3,HVD_vol_3,HVD_date_4,HVD_vol_4,HVD_date_5,HVD_vol_5,HVD_date_6,HVD_vol_6,HVD_date_7,HVD_vol_7,HVD_date_8,HVD_vol_8,HVD_date_9,HVD_vol_9,HVD_date_10,HVD_vol_10
XEL,monthly,2023-11-30,80734300,2023-09-30,101553800,2023-08-31,92610600,2023-06-30,89686200,2023-03-31,80022800,2022-11-30,74179800,2022-06-30,72121500,2022-02-28,74570000,2021-10-31,85276800,2021-03-31,89833000
PANW,monthly,2023-11-30,231491800,2023-08-31,264242600,2023-06-30,341692800,2023-05-31,234666000,2023-02-28,214213000,2022-11-30,232576000,2022-08-31,216183600,2022-03-31,248377800,2022-02-28,218218200,2020-05-31,192873600
GEHC,monthly,2023-11-30,57464300,2023-09-30,68112900,2023-08-31,60771000,2023-06-30,105631400,2023-05-31,43219800,2023-03-31,45387100,2023-02-28,43608700,2022-12-31,8702000,,,,
AVGO,monthly,2023-11-30,605942000,2023-06-30,737363000,2023-05-31,702882000,2023-03-31,602645000,2022-09-30,573525000,2021-12-31,602756000,2021-03-31,724725000,2020-06-30,652276000,2020-04-30,619989000,2020-01-31,585943000
INTU,monthly,2023-06-30,34934700,2023-05-31,49565300,2023-03-31,41492500,2022-11-30,47579800,2022-08-31,34213600,2022-06-30,36361400,2022-03-31,48113100,2021-12-31,38812800,2021-11-30,34023000,2021-03-31,37258300
CTSH,monthly,2023-08-31,86443400,2023-06-30,84338900,2023-03-31,99061800,2023-02-28,84301700,2022-12-31,95956600,2022-11-30,91266300,2021-06-30,85328000,2020-10-31,83055600,2020-05-31,80345900,2020-04-30,90480100
INTC,monthly,2023-09-30,841397800,2023-06-30,1065468900,2023-05-31,968066700,2023-03-31,1193573500,2023-02-28,880323200,2022-09-30,889075300,2022-08-31,899717100,2022-03-31,849288700,2021-01-31,962555600,2020-12-31,883810300
ROP,monthly,2023-03-31,15449000,2022-09-30,12191300,2022-06-30,14591800,2022-04-30,13390400,2021-03-31,14395700,2021-02-28,14159000,2020-10-31,12559600,2020-06-30,12655800,2020-05-31,12907900,2020-04-30,13224100
TEAM,monthly,2023-05-31,56888600,2023-03-31,41516400,2023-02-28,55159000,2022-12-31,94128100,2022-11-30,78256400,2022-08-31,45673600,2022-03-31,44823300,2020-10-31,43361300,2020-07-31,44955100,2020-01-31,41879800
ASML,monthly,2023-09-30,22594700,2023-05-31,21406100,2023-03-31,22213700,2022-11-30,29733000,2022-07-31,27559400,2022-04-30,23283600,2022-03-31,27823700,2021-10-31,22306700,2021-03-31,25840500,2020-07-31,21054500
ADSK,monthly,2023-03-31,35380000,2022-11-30,45085500,2022-06-30,35544800,2022-03-31,44518100,2022-02-28,39017400,2021-11-30,38976100,2021-09-30,36261700,2021-03-31,34336300,2020-06-30,40642700,2020-04-30,44125100
TRI,monthly,2023-11-30,10753800,2023-05-31,10722622,2023-02-28,10726088,2022-11-30,13646385,2022-06-30,10442387,2022-02-28,10815839,2021-03-31,12392269,2020-06-30,11529037,2020-05-31,12220373,2020-04-30,11415112
TTWO,monthly,2023-11-30,42422000,2023-05-31,48538000,2023-02-28,42191400,2022-11-30,68610800,2022-08-31,52665900,2022-06-30,49016000,2022-03-31,41983200,2020-06-30,46963300,2020-05-31,57358600,2020-04-30,45607900
CMCSA,monthly,2022-12-31,529045300,2022-11-30,500206500,2022-09-30,646211100,2022-08-31,486333400,2022-06-30,508205300,2022-03-31,472123000,2021-12-31,540633900,2021-03-31,462415200,2020-04-30,486736800,2020-01-31,462380600
ADBE,monthly,2023-06-30,108598900,2023-05-31,86414400,2023-03-31,82830400,2022-09-30,124381600,2022-06-30,71835200,2022-03-31,98677500,2021-12-31,84153000,2021-03-31,75495000,2020-09-30,84762100,2020-04-30,73060300
CSGP,monthly,2023-06-30,97686200,2022-12-31,63510200,2022-09-30,123268900,2022-03-31,65574400,2022-02-28,64371200,2021-03-31,93908000,2021-02-28,71556000,2020-07-31,75162000,2020-05-31,71584000,2020-04-30,73042000
KHC,monthly,2023-11-30,180338300,2023-09-30,172267900,2023-08-31,169664300,2023-05-31,177691500,2022-09-30,197549600,2022-06-30,210320600,2022-02-28,187769800,2021-11-30,169101500,2021-03-31,172220300,2021-02-28,172728500
LIN,monthly,2023-03-31,52695000,2023-02-28,69270000,2022-07-31,45668000,2022-06-30,72953800,2022-03-31,60980200,2022-02-28,47322600,2021-06-30,66488000,2020-07-31,46178700,2020-06-30,47304100,2020-04-30,47435900
KDP,monthly,2023-11-30,167856100,2023-09-30,173110400,2023-08-31,170953300,2023-06-30,202006600,2023-05-31,201178400,2023-03-31,199203900,2022-11-30,163471100,2022-09-30,162420700,2022-06-30,366342600,2020-10-31,163733200
ROST,monthly,2023-08-31,58241500,2023-03-31,60971300,2022-11-30,71244800,2022-08-31,59766400,2022-06-30,79733200,2022-03-31,68027300,2021-03-31,66990600,2020-07-31,67807500,2020-06-30,78221000,2020-04-30,75979300
WDAY,monthly,2023-05-31,53351100,2023-03-31,46070400,2022-11-30,56063000,2022-09-30,58412700,2022-08-31,67586700,2022-07-31,46816200,2022-06-30,73605900,2022-03-31,58709200,2020-05-31,55036600,2020-04-30,54260900
IDXX,monthly,2023-11-30,11086700,2022-11-30,11439200,2022-09-30,11447400,2022-08-31,12926000,2022-06-30,13326600,2022-03-31,11390300,2021-03-31,11634000,2020-06-30,12299800,2020-05-31,11677200,2020-04-30,12555100
AMGN,monthly,2023-03-31,59933300,2022-11-30,64904800,2022-06-30,76166000,2022-03-31,73373300,2022-02-28,68319900,2021-12-31,64541000,2021-11-30,64392700,2021-03-31,71752500,2020-06-30,60932000,2020-04-30,61802200
ODFL,monthly,2023-06-30,40503400,2023-02-28,35785200,2022-11-30,37385800,2022-09-30,37653400,2022-06-30,37106000,2022-04-30,54925000,2021-03-31,35407000,2020-09-30,42795400,2020-06-30,37483600,2020-04-30,38746200
MDLZ,monthly,2023-03-31,155012900,2022-09-30,161562100,2022-06-30,153987300,2022-04-30,152965300,2022-03-31,211083100,2021-12-31,154040700,2021-04-30,159238400,2021-03-31,210129500,2020-04-30,170906500,2020-01-31,153494600
BKR,monthly,2022-09-30,232162400,2022-08-31,198354600,2022-07-31,196885500,2022-06-30,221266400,2022-04-30,234008300,2022-03-31,351123900,2021-10-31,238057900,2021-09-30,193018800,2021-04-30,196931400,2021-03-31,215688600
HON,monthly,2023-03-31,72869500,2022-03-31,84788800,2022-02-28,78223600,2021-12-31,73928300,2021-07-31,83377600,2021-03-31,71165300,2020-07-31,69677900,2020-06-30,82960300,2020-05-31,77403600,2020-04-30,74347000
VRSK,monthly,2023-06-30,28293400,2023-05-31,24306600,2023-03-31,30494200,2022-11-30,24354000,2022-03-31,34780500,2022-02-28,23294100,2021-12-31,21405000,2021-03-31,32720300,2021-02-28,21240300,2020-06-30,21387500
MU,monthly,2023-03-31,422899600,2022-03-31,646507100,2021-12-31,457934400,2021-06-30,420930800,2021-03-31,543971500,2020-09-30,454161000,2020-06-30,519296700,2020-05-31,493363200,2020-04-30,595404300,2020-01-31,511028800
GFS,monthly,2023-02-28,41861000,2022-12-31,60103000,2022-11-30,44871300,2022-08-31,59657700,2022-07-31,47920400,2022-06-30,42373800,2022-03-31,65145800,2022-02-28,54639600,2021-12-31,40853100,2021-11-30,60681800
CSX,monthly,2023-09-30,290215400,2023-03-31,331596600,2022-11-30,305744900,2022-09-30,397013200,2022-08-31,298211600,2022-07-31,311864500,2022-06-30,342660700,2022-03-31,439268800,2020-10-31,274562100,2020-04-30,323410500
META,monthly,2023-03-31,690053000,2023-02-28,772170900,2022-12-31,653019800,2022-11-30,1063791200,2022-09-30,635014800,2022-06-30,685975600,2022-04-30,672255000,2022-03-31,733274500,2022-02-28,1128039600,2021-10-31,588382500
PYPL,monthly,2023-11-30,342022900,2023-08-31,423926800,2023-06-30,392696400,2023-05-31,491541300,2022-11-30,344025000,2022-08-31,340392900,2022-04-30,372294900,2022-03-31,434443300,2022-02-28,671591400,2021-11-30,434862600
CHTR,monthly,2023-08-31,27786000,2022-12-31,36347200,2022-09-30,34407300,2022-06-30,28592800,2022-04-30,31378800,2022-03-31,35037800,2022-02-28,37314500,2021-12-31,29921100,2021-03-31,29713000,2020-01-31,26563900
CEG,monthly,2023-06-30,54448100,2023-05-31,55270100,2023-03-31,52787800,2022-09-30,55838600,2022-08-31,49790900,2022-07-31,51654600,2022-06-30,58936000,2022-04-30,51063800,2022-03-31,72203600,2022-02-28,97310100
EXC,monthly,2023-03-31,197101400,2022-11-30,178642900,2022-03-31,181482400,2022-02-28,248579948,2021-03-31,189966374,2020-10-31,193699759,2020-07-31,178740277,2020-06-30,202362576,2020-05-31,176147562,2020-01-31,176663076
DASH,monthly,2023-11-30,108217800,2023-02-28,134262400,2022-11-30,141153400,2022-09-30,110129100,2022-08-31,146127300,2022-07-31,99082600,2022-06-30,120811200,2022-03-31,122770500,2022-02-28,151700000,2021-03-31,94488000
QCOM,monthly,2023-05-31,221713000,2022-06-30,212613700,2022-04-30,250536000,2022-03-31,243057800,2022-02-28,241774300,2021-11-30,323236400,2021-03-31,254633200,2021-02-28,261880200,2020-06-30,222750600,2020-04-30,215838800
