ticker,timeframe,hve_date,hve_volume,days_since_hve,hve_occ_1y,total_hve_count,all_hve_details,latest_date,latest_volume,latest_close,volume_ratio,data_points
TAVI,weekly,2026-05-24,1229812,0,1,5,"[{'date': Timestamp('2026-05-24 00:00:00'), 'volume': np.int64(1229812)}, {'date': Timestamp('2025-03-09 00:00:00'), 'volume': np.int64(984900)}, {'date': Timestamp('2025-02-16 00:00:00'), 'volume': np.int64(956400)}, {'date': Timestamp('2025-01-12 00:00:00'), 'volume': np.int64(713000)}, {'date': Timestamp('2024-12-22 00:00:00'), 'volume': np.int64(679000)}]",2026-05-24,1229812,10.630000114440918,1.0,75
HAS,weekly,2026-05-24,32030397,0,1,10,"[{'date': Timestamp('2026-05-24 00:00:00'), 'volume': np.int64(32030397)}, {'date': Timestamp('2024-05-26 00:00:00'), 'volume': np.int64(19958400)}, {'date': Timestamp('2023-03-12 00:00:00'), 'volume': np.int64(19129600)}, {'date': Timestamp('2023-01-29 00:00:00'), 'volume': np.int64(17839700)}, {'date': Timestamp('2020-03-15 00:00:00'), 'volume': np.int64(13360300)}, {'date': Timestamp('2020-03-08 00:00:00'), 'volume': np.int64(12481600)}, {'date': Timestamp('2020-02-23 00:00:00'), 'volume': np.int64(10328400)}, {'date': Timestamp('2020-02-09 00:00:00'), 'volume': np.int64(10251300)}, {'date': Timestamp('2020-01-12 00:00:00'), 'volume': np.int64(6551800)}, {'date': Timestamp('2020-01-05 00:00:00'), 'volume': np.int64(4464700)}]",2026-05-24,32030397,88.0999984741211,1.0,334
JOUT,weekly,2026-05-24,942176,0,2,7,"[{'date': Timestamp('2026-05-24 00:00:00'), 'volume': np.int64(942176)}, {'date': Timestamp('2025-06-22 00:00:00'), 'volume': np.int64(648400)}, {'date': Timestamp('2024-06-23 00:00:00'), 'volume': np.int64(586900)}, {'date': Timestamp('2023-12-10 00:00:00'), 'volume': np.int64(528900)}, {'date': Timestamp('2023-03-12 00:00:00'), 'volume': np.int64(505000)}, {'date': Timestamp('2020-03-08 00:00:00'), 'volume': np.int64(466100)}, {'date': Timestamp('2020-01-05 00:00:00'), 'volume': np.int64(267400)}]",2026-05-24,942176,43.560001373291016,1.0,334
TGS,weekly,2026-05-24,5638439,0,3,9,"[{'date': Timestamp('2026-05-24 00:00:00'), 'volume': np.int64(5638439)}, {'date': Timestamp('2025-10-26 00:00:00'), 'volume': np.int64(5367800)}, {'date': Timestamp('2025-09-07 00:00:00'), 'volume': np.int64(4792200)}, {'date': Timestamp('2020-03-08 00:00:00'), 'volume': np.int64(4077700)}, {'date': Timestamp('2020-03-01 00:00:00'), 'volume': np.int64(3776100)}, {'date': Timestamp('2020-02-23 00:00:00'), 'volume': np.int64(3631900)}, {'date': Timestamp('2020-01-26 00:00:00'), 'volume': np.int64(2157800)}, {'date': Timestamp('2020-01-12 00:00:00'), 'volume': np.int64(2111600)}, {'date': Timestamp('2020-01-05 00:00:00'), 'volume': np.int64(1568800)}]",2026-05-24,5638439,29.06999969482422,1.0,334
ALC,weekly,2026-05-24,24760621,0,2,9,"[{'date': Timestamp('2026-05-24 00:00:00'), 'volume': np.int64(24760621)}, {'date': Timestamp('2025-08-24 00:00:00'), 'volume': np.int64(21451200)}, {'date': Timestamp('2025-04-13 00:00:00'), 'volume': np.int64(14119000)}, {'date': Timestamp('2020-03-29 00:00:00'), 'volume': np.int64(13028400)}, {'date': Timestamp('2020-03-15 00:00:00'), 'volume': np.int64(11922700)}, {'date': Timestamp('2020-03-01 00:00:00'), 'volume': np.int64(8809300)}, {'date': Timestamp('2020-01-19 00:00:00'), 'volume': np.int64(6378800)}, {'date': Timestamp('2020-01-12 00:00:00'), 'volume': np.int64(3843000)}, {'date': Timestamp('2020-01-05 00:00:00'), 'volume': np.int64(3536200)}]",2026-05-24,24760621,67.77999877929688,1.0,334
CAG,weekly,2026-05-24,120717535,0,4,9,"[{'date': Timestamp('2026-05-24 00:00:00'), 'volume': np.int64(120717535)}, {'date': Timestamp('2026-03-22 00:00:00'), 'volume': np.int64(96897800)}, {'date': Timestamp('2025-08-24 00:00:00'), 'volume': np.int64(94306800)}, {'date': Timestamp('2025-07-06 00:00:00'), 'volume': np.int64(81590500)}, {'date': Timestamp('2022-03-13 00:00:00'), 'volume': np.int64(51367600)}, {'date': Timestamp('2020-03-15 00:00:00'), 'volume': np.int64(45448500)}, {'date': Timestamp('2020-03-08 00:00:00'), 'volume': np.int64(36133800)}, {'date': Timestamp('2020-02-23 00:00:00'), 'volume': np.int64(35475200)}, {'date': Timestamp('2020-01-05 00:00:00'), 'volume': np.int64(28408700)}]",2026-05-24,120717535,13.5600004196167,1.0,334
INV,weekly,2026-05-24,22025720,0,6,14,"[{'date': Timestamp('2026-05-24 00:00:00'), 'volume': np.int64(22025720)}, {'date': Timestamp('2026-04-26 00:00:00'), 'volume': np.int64(19626600)}, {'date': Timestamp('2026-01-18 00:00:00'), 'volume': np.int64(14750500)}, {'date': Timestamp('2026-01-11 00:00:00'), 'volume': np.int64(11348300)}, {'date': Timestamp('2025-11-23 00:00:00'), 'volume': np.int64(11016600)}, {'date': Timestamp('2025-08-10 00:00:00'), 'volume': np.int64(7659700)}, {'date': Timestamp('2023-10-08 00:00:00'), 'volume': np.int64(3181000)}, {'date': Timestamp('2023-02-12 00:00:00'), 'volume': np.int64(1827400)}, {'date': Timestamp('2022-05-29 00:00:00'), 'volume': np.int64(970000)}, {'date': Timestamp('2022-05-08 00:00:00'), 'volume': np.int64(705000)}, {'date': Timestamp('2022-04-10 00:00:00'), 'volume': np.int64(566500)}, {'date': Timestamp('2021-12-19 00:00:00'), 'volume': np.int64(546200)}, {'date': Timestamp('2021-12-12 00:00:00'), 'volume': np.int64(1000)}, {'date': Timestamp('2021-12-05 00:00:00'), 'volume': np.int64(200)}]",2026-05-24,22025720,6.639999866485596,1.0,234
VGT,weekly,2026-05-24,42068957,0,6,9,"[{'date': Timestamp('2026-05-24 00:00:00'), 'volume': np.int64(42068957)}, {'date': Timestamp('2026-04-19 00:00:00'), 'volume': np.int64(26485600)}, {'date': Timestamp('2026-03-29 00:00:00'), 'volume': np.int64(25697600)}, {'date': Timestamp('2026-03-08 00:00:00'), 'volume': np.int64(24468000)}, {'date': Timestamp('2026-03-01 00:00:00'), 'volume': np.int64(17701600)}, {'date': Timestamp('2026-02-15 00:00:00'), 'volume': np.int64(14689600)}, {'date': Timestamp('2020-03-15 00:00:00'), 'volume': np.int64(12658600)}, {'date': Timestamp('2020-03-01 00:00:00'), 'volume': np.int64(11592000)}, {'date': Timestamp('2020-01-05 00:00:00'), 'volume': np.int64(3928800)}]",2026-05-24,42068957,115.75,1.0,334
SHMD,weekly,2026-05-24,14253783,0,4,7,"[{'date': Timestamp('2026-05-24 00:00:00'), 'volume': np.int64(14253783)}, {'date': Timestamp('2025-10-26 00:00:00'), 'volume': np.int64(10070300)}, {'date': Timestamp('2025-10-19 00:00:00'), 'volume': np.int64(763900)}, {'date': Timestamp('2025-10-12 00:00:00'), 'volume': np.int64(519100)}, {'date': Timestamp('2025-02-02 00:00:00'), 'volume': np.int64(443400)}, {'date': Timestamp('2024-05-12 00:00:00'), 'volume': np.int64(442600)}, {'date': Timestamp('2024-05-05 00:00:00'), 'volume': np.int64(124500)}]",2026-05-24,14253783,7.489999771118164,1.0,108
CTSH,weekly,2026-05-24,71673148,0,4,11,"[{'date': Timestamp('2026-05-24 00:00:00'), 'volume': np.int64(71673148)}, {'date': Timestamp('2026-03-01 00:00:00'), 'volume': np.int64(56762100)}, {'date': Timestamp('2026-02-15 00:00:00'), 'volume': np.int64(53779700)}, {'date': Timestamp('2025-12-14 00:00:00'), 'volume': np.int64(44202400)}, {'date': Timestamp('2024-03-17 00:00:00'), 'volume': np.int64(39032600)}, {'date': Timestamp('2023-01-08 00:00:00'), 'volume': np.int64(35671100)}, {'date': Timestamp('2020-03-08 00:00:00'), 'volume': np.int64(33907000)}, {'date': Timestamp('2020-02-23 00:00:00'), 'volume': np.int64(27939500)}, {'date': Timestamp('2020-02-02 00:00:00'), 'volume': np.int64(25972200)}, {'date': Timestamp('2020-01-12 00:00:00'), 'volume': np.int64(15562100)}, {'date': Timestamp('2020-01-05 00:00:00'), 'volume': np.int64(15469300)}]",2026-05-24,71673148,52.75,1.0,334
