ticker,timeframe,hv1y_date,hv1y_volume,days_since_hv1y,hv1y_occ_1y,total_hv1y_count,is_hv1y_also_hve,hv1y_to_hve_ratio,all_hv1y_details
TIGR,daily,2026-05-22,72401400,0,7,7,False,0.5955654266148436,"[{'date': Timestamp('2026-05-22 00:00:00'), 'volume': np.int64(72401400)}, {'date': Timestamp('2025-06-25 00:00:00'), 'volume': np.int64(36504800)}, {'date': Timestamp('2025-05-30 00:00:00'), 'volume': np.int64(9446900)}, {'date': Timestamp('2025-05-29 00:00:00'), 'volume': np.int64(5682100)}, {'date': Timestamp('2025-05-28 00:00:00'), 'volume': np.int64(3084900)}, {'date': Timestamp('2025-05-27 00:00:00'), 'volume': np.int64(2310000)}, {'date': Timestamp('2025-05-22 00:00:00'), 'volume': np.int64(1867700)}]"
RGTI,daily,2026-05-22,203290100,0,4,4,False,0.5209145994130521,"[{'date': Timestamp('2026-05-22 00:00:00'), 'volume': np.int64(203290100)}, {'date': Timestamp('2025-07-16 00:00:00'), 'volume': np.int64(192877500)}, {'date': Timestamp('2025-06-11 00:00:00'), 'volume': np.int64(178367000)}, {'date': Timestamp('2025-05-22 00:00:00'), 'volume': np.int64(165197100)}]"
HLIT,daily,2026-05-22,12679000,0,11,11,True,1.0,"[{'date': Timestamp('2026-05-22 00:00:00'), 'volume': np.int64(12679000)}, {'date': Timestamp('2026-05-12 00:00:00'), 'volume': np.int64(7935300)}, {'date': Timestamp('2025-06-27 00:00:00'), 'volume': np.int64(3324500)}, {'date': Timestamp('2025-06-20 00:00:00'), 'volume': np.int64(2271100)}, {'date': Timestamp('2025-06-18 00:00:00'), 'volume': np.int64(1139800)}, {'date': Timestamp('2025-06-13 00:00:00'), 'volume': np.int64(872900)}, {'date': Timestamp('2025-06-03 00:00:00'), 'volume': np.int64(859600)}, {'date': Timestamp('2025-06-02 00:00:00'), 'volume': np.int64(708900)}, {'date': Timestamp('2025-05-30 00:00:00'), 'volume': np.int64(654300)}, {'date': Timestamp('2025-05-23 00:00:00'), 'volume': np.int64(613500)}, {'date': Timestamp('2025-05-22 00:00:00'), 'volume': np.int64(480800)}]"
CABO,daily,2026-05-22,427600,0,5,5,False,0.32960764665073616,"[{'date': Timestamp('2026-05-22 00:00:00'), 'volume': np.int64(427600)}, {'date': Timestamp('2025-08-01 00:00:00'), 'volume': np.int64(417100)}, {'date': Timestamp('2025-06-17 00:00:00'), 'volume': np.int64(410700)}, {'date': Timestamp('2025-06-12 00:00:00'), 'volume': np.int64(321200)}, {'date': Timestamp('2025-05-22 00:00:00'), 'volume': np.int64(287400)}]"
FUTU,daily,2026-05-22,61222200,0,5,5,True,1.0,"[{'date': Timestamp('2026-05-22 00:00:00'), 'volume': np.int64(61222200)}, {'date': Timestamp('2025-07-18 00:00:00'), 'volume': np.int64(6483500)}, {'date': Timestamp('2025-05-29 00:00:00'), 'volume': np.int64(6235800)}, {'date': Timestamp('2025-05-27 00:00:00'), 'volume': np.int64(2536700)}, {'date': Timestamp('2025-05-22 00:00:00'), 'volume': np.int64(1416500)}]"
NBXG,daily,2026-05-22,771300,0,4,4,False,0.11024241038248242,"[{'date': Timestamp('2026-05-22 00:00:00'), 'volume': np.int64(771300)}, {'date': Timestamp('2026-02-06 00:00:00'), 'volume': np.int64(732300)}, {'date': Timestamp('2025-06-24 00:00:00'), 'volume': np.int64(585300)}, {'date': Timestamp('2025-05-22 00:00:00'), 'volume': np.int64(339600)}]"
PRS,daily,2026-05-22,488600,0,5,5,False,0.5303951367781155,"[{'date': Timestamp('2026-05-22 00:00:00'), 'volume': np.int64(488600)}, {'date': Timestamp('2026-03-31 00:00:00'), 'volume': np.int64(179000)}, {'date': Timestamp('2025-05-30 00:00:00'), 'volume': np.int64(137700)}, {'date': Timestamp('2025-05-28 00:00:00'), 'volume': np.int64(40700)}, {'date': Timestamp('2025-05-22 00:00:00'), 'volume': np.int64(37700)}]"
AZO,daily,2026-05-22,512000,0,6,6,False,0.6182828160850139,"[{'date': Timestamp('2026-05-22 00:00:00'), 'volume': np.int64(512000)}, {'date': Timestamp('2025-12-09 00:00:00'), 'volume': np.int64(380000)}, {'date': Timestamp('2025-06-27 00:00:00'), 'volume': np.int64(367900)}, {'date': Timestamp('2025-05-27 00:00:00'), 'volume': np.int64(322900)}, {'date': Timestamp('2025-05-23 00:00:00'), 'volume': np.int64(151200)}, {'date': Timestamp('2025-05-22 00:00:00'), 'volume': np.int64(105500)}]"
ASMB,daily,2026-05-22,893900,0,11,11,False,0.14136196776365179,"[{'date': Timestamp('2026-05-22 00:00:00'), 'volume': np.int64(893900)}, {'date': Timestamp('2025-09-19 00:00:00'), 'volume': np.int64(753100)}, {'date': Timestamp('2025-08-08 00:00:00'), 'volume': np.int64(480900)}, {'date': Timestamp('2025-08-07 00:00:00'), 'volume': np.int64(145400)}, {'date': Timestamp('2025-06-30 00:00:00'), 'volume': np.int64(91800)}, {'date': Timestamp('2025-06-20 00:00:00'), 'volume': np.int64(75900)}, {'date': Timestamp('2025-06-10 00:00:00'), 'volume': np.int64(59100)}, {'date': Timestamp('2025-06-02 00:00:00'), 'volume': np.int64(39800)}, {'date': Timestamp('2025-05-30 00:00:00'), 'volume': np.int64(18500)}, {'date': Timestamp('2025-05-28 00:00:00'), 'volume': np.int64(18000)}, {'date': Timestamp('2025-05-22 00:00:00'), 'volume': np.int64(10300)}]"
AKTX,daily,2026-05-22,33808000,0,16,16,True,1.0,"[{'date': Timestamp('2026-05-22 00:00:00'), 'volume': np.int64(33808000)}, {'date': Timestamp('2025-12-02 00:00:00'), 'volume': np.int64(16389100)}, {'date': Timestamp('2025-11-04 00:00:00'), 'volume': np.int64(5560300)}, {'date': Timestamp('2025-09-24 00:00:00'), 'volume': np.int64(3676900)}, {'date': Timestamp('2025-09-17 00:00:00'), 'volume': np.int64(3429800)}, {'date': Timestamp('2025-09-02 00:00:00'), 'volume': np.int64(572200)}, {'date': Timestamp('2025-08-08 00:00:00'), 'volume': np.int64(114500)}, {'date': Timestamp('2025-08-04 00:00:00'), 'volume': np.int64(79200)}, {'date': Timestamp('2025-07-21 00:00:00'), 'volume': np.int64(70500)}, {'date': Timestamp('2025-06-12 00:00:00'), 'volume': np.int64(64900)}, {'date': Timestamp('2025-06-11 00:00:00'), 'volume': np.int64(42900)}, {'date': Timestamp('2025-06-10 00:00:00'), 'volume': np.int64(39300)}, {'date': Timestamp('2025-05-30 00:00:00'), 'volume': np.int64(24400)}, {'date': Timestamp('2025-05-28 00:00:00'), 'volume': np.int64(16900)}, {'date': Timestamp('2025-05-23 00:00:00'), 'volume': np.int64(13600)}, {'date': Timestamp('2025-05-22 00:00:00'), 'volume': np.int64(1800)}]"
TWN,daily,2026-05-22,128500,0,7,7,False,0.5281545417180435,"[{'date': Timestamp('2026-05-22 00:00:00'), 'volume': np.int64(128500)}, {'date': Timestamp('2026-02-24 00:00:00'), 'volume': np.int64(109800)}, {'date': Timestamp('2025-10-02 00:00:00'), 'volume': np.int64(68600)}, {'date': Timestamp('2025-06-02 00:00:00'), 'volume': np.int64(52300)}, {'date': Timestamp('2025-05-30 00:00:00'), 'volume': np.int64(46100)}, {'date': Timestamp('2025-05-23 00:00:00'), 'volume': np.int64(43400)}, {'date': Timestamp('2025-05-22 00:00:00'), 'volume': np.int64(15800)}]"
HYLN,daily,2026-05-22,20125800,0,3,3,False,0.29212491563187193,"[{'date': Timestamp('2026-05-22 00:00:00'), 'volume': np.int64(20125800)}, {'date': Timestamp('2025-05-28 00:00:00'), 'volume': np.int64(19040700)}, {'date': Timestamp('2025-05-22 00:00:00'), 'volume': np.int64(3195600)}]"
LION,daily,2026-05-22,11242700,0,6,6,True,1.0,"[{'date': Timestamp('2026-05-22 00:00:00'), 'volume': np.int64(11242700)}, {'date': Timestamp('2026-04-17 00:00:00'), 'volume': np.int64(9918100)}, {'date': Timestamp('2025-09-11 00:00:00'), 'volume': np.int64(9382900)}, {'date': Timestamp('2025-05-28 00:00:00'), 'volume': np.int64(6739100)}, {'date': Timestamp('2025-05-23 00:00:00'), 'volume': np.int64(2468200)}, {'date': Timestamp('2025-05-22 00:00:00'), 'volume': np.int64(2118500)}]"
NIE,daily,2026-05-22,336400,0,7,7,False,0.6097516766358528,"[{'date': Timestamp('2026-05-22 00:00:00'), 'volume': np.int64(336400)}, {'date': Timestamp('2025-09-29 00:00:00'), 'volume': np.int64(169800)}, {'date': Timestamp('2025-06-27 00:00:00'), 'volume': np.int64(158900)}, {'date': Timestamp('2025-06-23 00:00:00'), 'volume': np.int64(111000)}, {'date': Timestamp('2025-05-30 00:00:00'), 'volume': np.int64(97300)}, {'date': Timestamp('2025-05-27 00:00:00'), 'volume': np.int64(54000)}, {'date': Timestamp('2025-05-22 00:00:00'), 'volume': np.int64(42500)}]"
UTI,daily,2026-05-22,3352000,0,7,7,False,0.7925099300170229,"[{'date': Timestamp('2026-05-22 00:00:00'), 'volume': np.int64(3352000)}, {'date': Timestamp('2025-08-07 00:00:00'), 'volume': np.int64(3033300)}, {'date': Timestamp('2025-07-02 00:00:00'), 'volume': np.int64(1595700)}, {'date': Timestamp('2025-06-27 00:00:00'), 'volume': np.int64(1446200)}, {'date': Timestamp('2025-06-09 00:00:00'), 'volume': np.int64(1343500)}, {'date': Timestamp('2025-05-27 00:00:00'), 'volume': np.int64(1111300)}, {'date': Timestamp('2025-05-22 00:00:00'), 'volume': np.int64(1111200)}]"
