Symbol,market_cap,timeframe,HVD_date_1,HVD_vol_1,HVD_date_2,HVD_vol_2,HVD_date_3,HVD_vol_3,HVD_date_4,HVD_vol_4,HVD_date_5,HVD_vol_5,HVD_date_6,HVD_vol_6,HVD_date_7,HVD_vol_7,HVD_date_8,HVD_vol_8,HVD_date_9,HVD_vol_9,HVD_date_10,HVD_vol_10,HVD_date_11,HVD_vol_11,HVD_date_12,HVD_vol_12,HVD_date_13,HVD_vol_13,HVD_date_14,HVD_vol_14,HVD_date_15,HVD_vol_15,HVD_date_16,HVD_vol_16,HVD_date_17,HVD_vol_17,HVD_date_18,HVD_vol_18,HVD_date_19,HVD_vol_19,HVD_date_20,HVD_vol_20
MATW,850266450.066439,monthly,2026-08-01,9533242,2026-03-01,4757700,2026-01-01,4875400,2025-12-01,6125900,2025-11-01,6896600,2025-10-01,5240700,2025-08-01,4390600,2025-06-01,4540100,2025-05-01,6197100,2025-04-01,5679100,2025-03-01,4340900,2025-02-01,6834100,2024-06-01,4296000.0,2024-02-01,4043500.0,2020-12-01,4314800.0,2020-09-01,4335200.0,2020-08-01,4295300.0,2020-07-01,7250200.0,2020-06-01,6461100.0,2020-03-01,5720000.0
CCB,1177970457.9621162,monthly,2026-08-01,4228298,2026-05-01,2526254,2026-04-01,3212700,2026-03-01,3435800,2026-02-01,1924700,2026-01-01,2826300,2025-12-01,2421000,2025-11-01,1987400,2025-10-01,2613100,2025-09-01,2571000,2025-08-01,3002000,2025-07-01,2875700,2025-06-01,2442700.0,2025-05-01,1953600.0,2025-04-01,2314300.0,2025-03-01,3114900.0,2025-02-01,2241100.0,2025-01-01,2554700.0,2024-12-01,2894000.0,2023-03-01,2114600.0
TCI,430669929.4515123,monthly,2026-08-01,728277,2026-04-01,152100,2026-03-01,181800,2024-07-01,158300,2024-05-01,170500,2024-04-01,153900,2023-12-01,149100,2023-09-01,135700,2023-06-01,132000,2023-04-01,141700,2023-01-01,136200,2022-12-01,198700,2022-10-01,157400.0,2022-09-01,185100.0,2022-08-01,139300.0,2022-06-01,239400.0,2021-09-01,182300.0,2021-08-01,145500.0,2021-06-01,275300.0,2021-05-01,193200.0
RDVT,850485779.7317681,monthly,2026-08-01,4280101,2026-05-01,2461514,2026-04-01,2163900,2026-03-01,3021200,2026-01-01,2114400,2025-12-01,2515600,2025-09-01,2189100,2025-08-01,2055700,2025-07-01,1774400,2025-06-01,2421700,2025-05-01,3765200,2025-03-01,1762900,2025-02-01,2402700.0,2024-11-01,1949000.0,2024-03-01,1620200.0,2022-06-01,2760600.0,2021-06-01,1727400.0,2020-06-01,3032800.0,2020-04-01,1604700.0,2020-03-01,3186300.0
AHCO,1399997303.1137724,monthly,2026-08-01,71372226,2026-03-01,37562900,2025-06-01,29438200,2025-05-01,30332300,2025-04-01,33889000,2025-03-01,38527900,2025-02-01,34998600,2024-12-01,34793000,2024-08-01,29441500,2024-02-01,32096600,2023-09-01,29455400,2023-08-01,36135700,2023-06-01,33215600.0,2023-03-01,34475200.0,2022-09-01,31696300.0,2022-08-01,67473900.0,2022-05-01,33618500.0,2021-05-01,29954200.0,2021-04-01,32806400.0,2021-03-01,33321600.0
AMSF,631252289.3496703,monthly,2026-08-01,5306959,2026-05-01,3304029,2026-04-01,4442100,2026-03-01,5219500,2026-01-01,2961400,2025-12-01,3806600,2025-10-01,3034200,2025-09-01,2832300,2025-07-01,3074900,2025-06-01,3186400,2024-12-01,2887300,2024-10-01,2915300,2024-06-01,3034200.0,2024-04-01,2854600.0,2024-03-01,3796800.0,2024-02-01,2570600.0,2023-12-01,2616700.0,2023-06-01,2730800.0,2020-04-01,2611900.0,2020-03-01,2977600.0
TCBK,1720299839.9529412,monthly,2026-07-01,4418711,2026-04-01,2583500,2026-03-01,3983000,2025-12-01,3042500,2025-11-01,2486900,2025-04-01,2947500,2025-03-01,2439800,2024-12-01,2800700,2024-11-01,2526500,2024-08-01,2660700,2024-07-01,3339900,2024-03-01,3285200,2024-02-01,2491000.0,2023-03-01,3232400.0,2022-06-01,4168500.0,2022-05-01,2853100.0,2021-06-01,2479500.0,2020-06-01,2985100.0,2020-04-01,2520900.0,2020-03-01,3532300.0
FAC,1221670282.9381256,monthly,2026-08-01,3162024,2026-07-31,270322,2026-07-17,356564,2026-07-01,5354653,2026-06-01,13011000,2026-05-01,6073200,2026-04-01,5550700,2026-03-01,1465500,2026-02-01,1659100,2026-01-01,4276800,2025-12-01,10025300,2025-11-01,131100,2025-10-01,2309400.0,2025-09-01,1067600.0,2025-08-01,2367200.0,2025-07-01,1718500.0,2025-06-01,859600.0,,,,,,
CUB,314375314.0,monthly,2026-08-01,1262823,2026-06-01,4798848,2026-05-01,269762,2026-03-01,301800,2026-02-01,310000,2026-01-01,417300,2025-12-01,845200,2025-10-01,286400,2025-08-01,1515700,2025-07-01,279200,2025-06-01,1176700,2025-05-01,2063700,2025-04-01,2004200.0,2025-03-01,466800.0,2025-02-01,656800.0,2024-12-01,1192500.0,2024-11-01,306600.0,2024-10-01,1378000.0,2024-09-01,668500.0,2024-08-01,4385100.0
VIA,1421051747.437866,monthly,2026-08-01,9462801,2026-07-31,689857,2026-07-17,442465,2026-07-01,6732394,2026-06-01,29095200,2026-05-01,14609700,2026-04-01,10592400,2026-03-01,23070000,2026-02-01,12026900,2026-01-01,10390200,2025-12-01,14663500,2025-11-01,4778800,2025-10-01,4083500.0,2025-09-01,11689200.0,,,,,,,,,,,,
