Symbol,timeframe,HVE_date_1,HVE_vol_1,HVE_date_2,HVE_vol_2,HVE_date_3,HVE_vol_3,HVE_date_4,HVE_vol_4,HVE_date_5,HVE_vol_5,HVE_date_6,HVE_vol_6,HVE_date_7,HVE_vol_7,HVE_date_8,HVE_vol_8,HVE_date_9,HVE_vol_9,HVE_date_10,HVE_vol_10
APLE,daily,2023-09-15,42325100,2021-06-25,25727200,2020-03-23,8792300,2020-03-20,8114700,2020-03-18,6588400,2020-02-27,6113500,2020-02-25,5274600,2020-02-24,2937900,2020-01-31,2682800,2020-01-06,2367500
APLD,daily,2022-07-19,131949600,2022-07-18,6803000,2022-06-13,3404100,2022-04-13,3116200,,,,,,,,,,,,
ABBV,daily,2021-09-01,50943200,2021-05-27,26406000,2020-11-04,25849000,2020-03-18,23712800,2020-03-17,23205000,2020-03-13,21867700,2020-03-12,19935700,2020-02-07,19090300,2020-01-31,13870100,2020-01-27,13832000
