Symbol,market_cap,timeframe,HVD_date_1,HVD_vol_1,HVD_date_2,HVD_vol_2,HVD_date_3,HVD_vol_3,HVD_date_4,HVD_vol_4,HVD_date_5,HVD_vol_5,HVD_date_6,HVD_vol_6,HVD_date_7,HVD_vol_7,HVD_date_8,HVD_vol_8,HVD_date_9,HVD_vol_9,HVD_date_10,HVD_vol_10,HVD_date_11,HVD_vol_11,HVD_date_12,HVD_vol_12,HVD_date_13,HVD_vol_13,HVD_date_14,HVD_vol_14,HVD_date_15,HVD_vol_15,HVD_date_16,HVD_vol_16,HVD_date_17,HVD_vol_17,HVD_date_18,HVD_vol_18,HVD_date_19,HVD_vol_19,HVD_date_20,HVD_vol_20
NTSK,4156374432.4463553,monthly,2026-08-01,50809793,2026-07-31,3815431,2026-07-17,4963354,2026-07-01,32905837,2026-06-01,179600000,2026-05-01,79267100,2026-04-01,90020500,2026-03-01,117190600,2026-02-01,52835300,2026-01-01,55709400,2025-12-01,60315700,2025-11-01,33781100,2025-10-01,37610900.0,2025-09-01,79637600.0,,,,,,,,,,,,
WBI,3835784517.769763,monthly,2026-08-01,6209105,2026-07-31,550373,2026-07-17,794200,2026-07-01,7862426,2026-06-01,44557600,2026-05-01,12954000,2026-04-01,15090200,2026-03-01,28483800,2026-02-01,12740800,2026-01-01,11477800,2025-12-01,10057000,2025-11-01,8912400,2025-10-01,14500400.0,2025-09-01,24458000.0,,,,,,,,,,,,
STUB,4655422913.958333,monthly,2026-08-01,84330059,2026-07-31,2893451,2026-07-17,6348114,2026-07-01,47133036,2026-06-01,178726800,2026-05-01,124421000,2026-04-01,75433000,2026-03-01,121776200,2026-02-01,69899100,2026-01-01,62926400,2025-12-01,64233600,2025-11-01,93510100,2025-10-01,77741000.0,2025-09-01,112557700.0,,,,,,,,,,,,
AGYS,2889332947.1641884,monthly,2026-05-01,8400947,2026-04-01,5578100,2026-03-01,6710200,2026-01-01,6785200,2025-10-01,6190800,2025-07-01,5977700,2025-06-01,5592100,2025-05-01,7114500,2025-04-01,5290700,2025-03-01,5767800,2025-02-01,8316100,2025-01-01,8217500,2024-07-01,5343700.0,2024-06-01,5247000.0,2024-05-01,5380600.0,2024-01-01,5032200.0,2020-07-01,5124100.0,2020-06-01,6160500.0,2020-04-01,5349400.0,2020-03-01,8263500.0
PDFS,2594907506.3627496,monthly,2026-08-01,5343597,2026-07-01,6004483,2026-05-01,16671672,2026-04-01,9909700,2026-03-01,7429100,2026-01-01,6029300,2025-12-01,5741200,2025-11-01,5977500,2025-10-01,5179100,2025-09-01,7000700,2025-08-01,6991800,2025-07-01,5816200,2025-06-01,4804600.0,2025-04-01,5232800.0,2025-03-01,5102200.0,2025-02-01,5286000.0,2023-11-01,6082500.0,2023-10-01,4782000.0,2023-03-01,5018700.0,2020-08-01,4946400.0
JHG,8001146005.018682,monthly,2026-05-01,38550577,2026-04-01,37170400,2026-03-01,96223500,2025-12-01,40013800,2025-10-01,39479700,2025-05-01,32502900,2025-04-01,36968900,2025-03-01,33618700,2023-03-01,33736500,2022-09-01,37706100,2022-06-01,32347900,2022-03-01,32094000,2021-02-01,45106000.0,2020-10-01,38489200.0,2020-09-01,34122500.0,2020-07-01,33050200.0,2020-06-01,56066900.0,2020-05-01,33163300.0,2020-03-01,47135000.0,2020-02-01,31873300.0
WK,2752653614.9255023,monthly,2026-05-01,22636599,2026-04-01,19972800,2026-03-01,16454900,2026-01-01,15170600,2025-12-01,13549400,2025-11-01,12420800,2025-10-01,17813900,2025-09-01,17612500,2025-08-01,20725500,2025-07-01,11535000,2025-05-01,13795700,2025-04-01,17962200,2025-03-01,13841700.0,2025-02-01,12706900.0,2025-01-01,14539800.0,2023-08-01,12500600.0,2022-05-01,11000100.0,2021-08-01,10263900.0,2020-06-01,11751500.0,2020-03-01,13259400.0
LFST,3986938111.663967,monthly,2026-08-01,62842658,2026-05-01,103397938,2026-04-01,81342500,2026-03-01,53051600,2025-12-01,49653200,2025-11-01,51002400,2025-09-01,42165200,2025-08-01,66414000,2025-07-01,52578800,2025-06-01,42635300,2025-05-01,41267500,2025-04-01,34164500,2025-03-01,47989200.0,2024-11-01,42264100.0,2024-08-01,39419100.0,2024-07-01,33852000.0,2024-05-01,49460900.0,2024-02-01,38343400.0,2021-08-01,41279600.0,2021-06-01,33846400.0
RXO,4472638977.582156,monthly,2026-05-01,58034801,2026-04-01,36409600,2026-03-01,42133800,2026-01-01,37265000,2025-12-01,44764900,2025-11-01,49602200,2025-10-01,38507200,2025-09-01,46678200,2025-08-01,42840200,2025-07-01,36253200,2025-06-01,34308800,2025-05-01,38348100,2025-04-01,44702900.0,2025-03-01,28739200.0,2025-02-01,27187500.0,2024-09-01,45334200.0,2023-06-01,34416200.0,2023-01-01,47334500.0,2022-12-01,26147900.0,2022-11-01,33714900.0
BFAM,3689832329.94799,monthly,2026-05-01,31290529,2026-04-01,13217600,2026-03-01,19046200,2025-12-01,14290600,2025-11-01,15398000,2025-10-01,19198900,2025-09-01,13247900,2025-08-01,14083000,2024-12-01,12188300,2024-11-01,16595600,2022-11-01,12110100,2022-05-01,15299800,2021-05-01,13175600.0,2020-09-01,12378100.0,2020-08-01,13246300.0,2020-07-01,11842000.0,2020-06-01,13941300.0,2020-05-01,13655200.0,2020-04-01,14848700.0,2020-03-01,22145100.0
FIG,9838372132.7791,monthly,2026-08-01,297312318,2026-07-31,15189221,2026-07-17,28779879,2026-07-01,196247423,2026-06-01,104758350,2026-05-01,372917120,2026-04-01,329369200,2026-03-01,282954600,2026-02-01,149854900,2026-01-01,166347300,2025-12-01,105780500,2025-11-01,196530900,2025-10-01,248096800.0,2025-09-01,222900800.0,2025-08-01,261319300.0,2025-07-01,64409000.0,,,,,,,,
HUBS,9499354003.402864,monthly,2026-08-01,30223415,2026-05-01,34703922,2026-04-01,31536100,2026-03-01,28436100,2026-02-01,20337800,2026-01-01,24557700,2025-11-01,19458600,2025-10-01,20757900,2025-08-01,22730300,2025-07-01,16450300,2025-04-01,16685600,2024-07-01,21528100,2024-05-01,18226200.0,2023-02-01,17368900.0,2022-11-01,19607500.0,2022-09-01,16493800.0,2022-05-01,20629200.0,2022-01-01,21549200.0,2020-04-01,19798400.0,2020-03-01,26691400.0
RELY,4710251330.582798,monthly,2026-08-01,42738577,2026-05-01,108785954,2026-04-01,68256300,2026-03-01,71773400,2026-01-01,58645200,2025-12-01,65571000,2025-11-01,105466600,2025-10-01,64002100,2025-09-01,74543400,2025-08-01,95755300,2025-07-01,81400500,2025-06-01,70278100,2025-05-01,64763900.0,2025-04-01,43671300.0,2025-03-01,57771700.0,2025-02-01,47599800.0,2024-11-01,46643900.0,2024-10-01,41973000.0,2024-07-01,48651600.0,2024-05-01,55243100.0
HESM,7766739072.001848,monthly,2026-05-01,45714134,2026-04-01,42947300,2026-03-01,30301700,2026-01-01,30540500,2025-12-01,26120500,2025-11-01,37666000,2025-10-01,34089600,2025-09-01,37679700,2025-08-01,30689900,2025-07-01,37475000,2025-06-01,28969700,2025-05-01,23970300,2025-04-01,22539300.0,2025-03-01,29743500.0,2025-02-01,25308800.0,2025-01-01,20964300.0,2024-05-01,22832200.0,2024-02-01,21388900.0,2023-09-01,21283800.0,2022-03-01,28628600.0
VSH,7669578222.385244,monthly,2026-08-01,53499674,2026-07-01,60252838,2026-06-01,64933032,2026-05-01,86106610,2026-04-01,57874400,2026-03-01,40666500,2026-01-01,47484200,2025-11-01,39805800,2025-10-01,37622600,2025-08-01,41600100,2025-05-01,37845700,2025-04-01,61997500,2025-03-01,46074200.0,2025-02-01,41243800.0,2024-12-01,61437000.0,2024-11-01,46346700.0,2024-09-01,35274000.0,2024-02-01,33012100.0,2023-09-01,35295300.0,2020-03-01,33832300.0
KVYO,4459269135.7590885,monthly,2026-08-01,97368427,2026-07-01,38233807,2026-06-01,40133656,2026-05-01,141250761,2026-04-01,91305000,2026-03-01,80055800,2026-02-01,48462000,2026-01-01,73627100,2025-12-01,46773000,2025-11-01,64720700,2025-10-01,67275100,2025-09-01,65159100,2025-08-01,55502300.0,2025-06-01,38571400.0,2025-05-01,66009900.0,2025-04-01,45959600.0,2025-03-01,32188800.0,2024-11-01,36945200.0,2024-08-01,35280200.0,2024-03-01,32372900.0
PRIM,5051676610.981758,monthly,2026-05-01,42772165,2026-04-01,15131700,2026-03-01,18360900,2026-01-01,14527000,2025-12-01,29913500,2025-11-01,16476500,2025-10-01,17406600,2025-09-01,18816100,2025-08-01,20678000,2025-07-01,18327300,2025-06-01,15908700,2025-05-01,24258200,2025-04-01,17664300.0,2025-03-01,21901400.0,2025-02-01,19159800.0,2025-01-01,14484500.0,2024-11-01,16742200.0,2024-07-01,14772700.0,2024-06-01,14163600.0,2021-03-01,17002800.0
SEM,2045058663.5347428,monthly,2026-04-01,33042000,2026-03-01,83528500,2025-10-01,30411400,2025-05-01,36859800,2024-12-01,30867300,2024-11-01,32539327,2024-08-01,30343559,2022-06-01,36092704,2022-05-01,35223168,2022-03-01,35817088,2022-01-01,35001189,2021-12-01,33430643,2021-06-01,38803394.0,2021-03-01,40773536.0,2020-07-01,30009106.0,2020-06-01,33718325.0,2020-05-01,36098455.0,2020-04-01,44772474.0,2020-03-01,55684642.0,2020-02-01,36860344.0
SPXX,2475157400.0,monthly,2026-08-01,2461440,2026-07-01,2542151,2026-06-01,1491158,2026-05-01,3558291,2026-04-01,6886000,2026-03-01,1635500,2025-04-01,1412700,2025-03-01,1617900,2025-02-01,1420400,2022-09-01,1526800,2022-05-01,1519900,2022-01-01,1723600,2021-01-01,1809000.0,2020-11-01,1546400.0,2020-09-01,1814100.0,2020-08-01,1704800.0,2020-07-01,1452700.0,2020-06-01,1513200.0,2020-04-01,2056600.0,2020-03-01,3488600.0
QLYS,4341200505.586625,monthly,2026-08-01,9515485,2026-05-01,13014350,2026-04-01,19752900,2026-03-01,14411600,2025-12-01,9150500,2025-11-01,9530200,2024-11-01,12677500,2024-08-01,9941900,2024-05-01,10866800,2024-03-01,9102700,2024-02-01,13047100,2022-03-01,9307700,2021-03-01,11763000.0,2021-02-01,12983500.0,2020-12-01,12413400.0,2020-09-01,9113700.0,2020-06-01,17859200.0,2020-05-01,11007100.0,2020-04-01,11704000.0,2020-03-01,11859100.0
LION,4766391545.891276,monthly,2026-08-01,37563809,2026-07-01,18202589,2026-06-01,14469430,2026-05-01,55645662,2026-04-01,80724200,2026-03-01,50613300,2026-02-01,20283700,2026-01-01,51236800,2025-12-01,74308400,2025-11-01,37455200,2025-10-01,47515600,2025-09-01,60981800,2025-08-01,47400500.0,2025-07-01,51467500.0,2025-06-01,49456500.0,2025-05-01,54236700.0,2024-04-01,22622100.0,2024-03-01,15558700.0,2024-01-01,21419500.0,2023-03-01,17209800.0
SITE,5167668927.074267,monthly,2026-05-01,13989847,2026-04-01,16391900,2026-03-01,12858900,2026-01-01,13987500,2025-12-01,10449200,2025-11-01,12576700,2025-10-01,14686100,2025-09-01,11455700,2025-08-01,11096900,2025-07-01,14560700,2025-05-01,10701200,2025-04-01,14442700,2025-03-01,10552700.0,2024-07-01,13672700.0,2024-06-01,9652500.0,2023-11-01,9211100.0,2022-05-01,9724700.0,2021-06-01,14875100.0,2020-04-01,9815500.0,2020-03-01,14172900.0
AESI,2123394888.4014423,monthly,2026-08-01,39017791,2026-07-01,23092848,2026-05-01,70435597,2026-04-01,145954000,2026-03-01,71394500,2026-01-01,49435200,2025-12-01,54286800,2025-11-01,75928900,2025-10-01,60056000,2025-09-01,40089400,2025-08-01,31440300,2025-07-01,29274600,2025-06-01,39959700.0,2025-05-01,42618800.0,2025-04-01,38920200.0,2025-03-01,36158700.0,2025-02-01,34007600.0,2025-01-01,28990800.0,2024-11-01,34995900.0,2024-06-01,36627400.0
COHU,3022996223.469121,monthly,2026-07-01,11502674,2026-06-01,11865877,2026-05-01,21002175,2026-04-01,25443100,2026-03-01,13319300,2026-01-01,15931300,2025-11-01,12720500,2025-10-01,22657200,2025-09-01,19331300,2025-04-01,14530900,2025-03-01,13075500,2021-12-01,11680800,2021-11-01,11383700.0,2021-08-01,12997100.0,2021-07-01,12186000.0,2021-06-01,13340500.0,2021-04-01,13570800.0,2021-03-01,22659500.0,2021-01-01,11716200.0,2020-12-01,14138800.0
BMI,4111662889.630092,monthly,2026-05-01,8167635,2026-04-01,17576000,2026-03-01,8153700,2026-01-01,8339700,2025-12-01,4756400,2025-11-01,5623500,2025-10-01,9114200,2025-09-01,8128500,2025-08-01,6625200,2025-07-01,9721400,2025-05-01,5135800,2025-04-01,6710000,2025-03-01,5819400.0,2024-12-01,4404100.0,2024-10-01,4793600.0,2024-04-01,4682400.0,2024-01-01,4426000.0,2021-03-01,5060500.0,2021-01-01,5390100.0,2020-03-01,6446800.0
RLAY,4044972375.008413,monthly,2026-06-01,35315181,2026-05-01,64451956,2026-04-01,79390400,2026-03-01,57194400,2026-01-01,44372000,2025-12-01,47886300,2025-11-01,45303100,2025-10-01,43138900,2025-09-01,35092900,2025-07-01,56083900,2025-05-01,45684000,2025-04-01,58402200,2025-03-01,55586200.0,2025-01-01,57112500.0,2024-12-01,56089200.0,2024-10-01,33785900.0,2024-09-01,73773000.0,2023-04-01,47211800.0,2023-01-01,34592200.0,2022-09-01,37723100.0
MXL,8650139797.1483,monthly,2026-08-01,26396415,2026-07-01,25556097,2026-06-01,31117385,2026-05-01,79104211,2026-04-01,115671900,2026-01-01,25258400,2025-12-01,28602800,2025-10-01,37281800,2025-08-01,32198000,2025-07-01,37754400,2025-04-01,37499000,2025-03-01,32122700,2025-02-01,37165500.0,2025-01-01,45972400.0,2024-12-01,33879600.0,2024-10-01,37257100.0,2024-07-01,35586200.0,2023-08-01,26961300.0,2023-07-01,43386400.0,2022-05-01,28828900.0
ESE,8805329212.538292,monthly,2026-05-01,4630162,2026-04-01,7846600,2026-03-01,6168900,2026-01-01,3557200,2025-12-01,4848400,2025-11-01,4053300,2025-09-01,4956100,2025-08-01,5144300,2025-07-01,3219000,2025-06-01,4154700,2025-05-01,3751100,2025-04-01,3371800,2025-03-01,4078200.0,2024-07-01,3716300.0,2024-04-01,3137600.0,2023-06-01,3567900.0,2021-12-01,4027600.0,2021-06-01,3901900.0,2020-03-01,3800800.0,2020-02-01,3871300.0
WING,4541300568.260912,monthly,2026-05-01,22308927,2026-04-01,30470500,2026-03-01,24726700,2025-12-01,16684900,2025-11-01,20198800,2025-10-01,18970900,2025-09-01,19553800,2025-07-01,16962000,2025-05-01,17439900,2025-04-01,21311100,2025-03-01,17331500,2025-02-01,21047000,2023-02-01,15552300.0,2022-10-01,22406400.0,2022-09-01,15526900.0,2022-07-01,20200500.0,2022-05-01,17958100.0,2020-09-01,19150000.0,2020-06-01,17082800.0,2020-03-01,20896200.0
SXI,4125130973.142781,monthly,2026-07-01,1637870,2026-05-01,2850684,2026-04-01,4336400,2026-03-01,4251500,2026-01-01,2690300,2025-12-01,3443500,2025-11-01,2391100,2025-10-01,3323700,2025-09-01,1988400,2025-08-01,2836000,2025-07-01,2473900,2025-06-01,2575900,2025-05-01,1743000.0,2025-04-01,1747700.0,2023-06-01,1925200.0,2023-03-01,1691100.0,2021-08-01,1735800.0,2021-03-01,1641300.0,2020-09-01,1727700.0,2020-06-01,1986800.0
DCO,2680100450.316061,monthly,2026-08-01,2666527,2026-07-01,2594623,2026-05-01,3451169,2026-04-01,4603000,2026-03-01,3986100,2026-01-01,3055200,2025-10-01,3529900,2025-09-01,2691000,2025-08-01,2526000,2025-07-01,3152500,2025-06-01,3013300,2024-12-01,2958600,2024-11-01,2891400.0,2024-04-01,2799200.0,2024-01-01,2667100.0,2023-06-01,2383400.0,2023-05-01,3302200.0,2020-04-01,2287000.0,2020-03-01,3460800.0,2020-02-01,3442900.0
GRC,2357114066.375894,monthly,2026-07-01,1849961,2026-05-01,1750915,2026-04-01,4520100,2026-03-01,3740400,2026-01-01,1949100,2025-12-01,1906400,2025-10-01,2263700,2024-09-01,1786500,2024-07-01,2377600,2024-06-01,2873100,2024-05-01,2346800,2024-04-01,2278100,2022-10-01,2281600.0,2022-09-01,1752300.0,2022-06-01,1773100.0,2022-03-01,2620800.0,2021-06-01,2537300.0,2021-03-01,2136400.0,2020-06-01,2089400.0,2020-03-01,1854100.0
SRAD,4571090183.304499,monthly,2026-08-01,41276471,2026-06-01,15036553,2026-05-01,46839205,2026-04-01,107277200,2026-03-01,57430000,2026-02-01,20554300,2026-01-01,64401200,2025-12-01,31031100,2025-11-01,46020500,2025-10-01,55276700,2025-09-01,43979600,2025-08-01,40687100,2025-07-01,39951000.0,2025-06-01,39890400.0,2025-05-01,38903600.0,2025-04-01,58071700.0,2025-03-01,25296000.0,2025-01-01,20020100.0,2024-11-01,20875400.0,2021-09-01,27160500.0
KRC,4466366087.590509,monthly,2026-04-01,49974000,2026-03-01,47129600,2026-01-01,37806300,2025-12-01,30112700,2025-10-01,31028600,2025-09-01,33556000,2025-08-01,28202600,2025-07-01,41656600,2025-04-01,35997600,2025-03-01,36060400,2025-02-01,33627800,2024-02-01,26539400,2023-12-01,26884200.0,2023-05-01,27262400.0,2023-03-01,40717400.0,2021-06-01,26070600.0,2021-03-01,27559400.0,2021-01-01,26319000.0,2020-11-01,25678200.0,2020-03-01,27789400.0
VC,2751619708.2543497,monthly,2026-04-01,14892700,2026-03-01,12122500,2026-01-01,9941600,2025-12-01,8666600,2025-10-01,12138700,2025-07-01,11797800,2025-06-01,8098400,2025-04-01,9201700,2025-03-01,7983100,2025-02-01,7510800,2024-10-01,8159700,2023-11-01,7834600,2022-09-01,8026600.0,2022-04-01,9727000.0,2022-02-01,7893000.0,2020-06-01,7884500.0,2020-05-01,7584600.0,2020-04-01,7929700.0,2020-03-01,10940300.0,2020-02-01,8890700.0
TENB,3332419309.1676383,monthly,2026-08-01,31222939,2026-07-01,30786803,2026-05-01,58672251,2026-04-01,75882400,2026-03-01,60886400,2026-02-01,37866000,2026-01-01,34706600,2025-12-01,32670000,2025-10-01,28390600,2025-09-01,27382600,2025-08-01,30814300,2025-07-01,32643400,2025-06-01,40544700.0,2025-05-01,32717000.0,2022-05-01,27640600.0,2022-03-01,31726200.0,2021-03-01,28724500.0,2021-02-01,27879400.0,2020-07-01,28577800.0,2020-06-01,29561600.0
DBD,2942720604.9122515,monthly,2026-05-01,4667825,2026-04-01,15363600,2026-03-01,5847900,2026-01-01,4291500,2025-12-01,4979100,2025-11-01,4241900,2025-10-01,3571800,2025-09-01,3885400,2025-08-01,4548100,2025-07-01,5318000,2025-06-01,4943200,2025-04-01,3393900,2024-11-01,4792300.0,2024-10-01,3595300.0,2024-08-01,3653200.0,2024-07-01,4425200.0,2024-06-01,7734700.0,2024-05-01,5291900.0,2024-03-01,3473200.0,2023-12-01,7160900.0
KALU,3058471282.304958,monthly,2026-05-01,3397531,2026-04-01,6314800,2026-03-01,5086800,2026-01-01,3460100,2025-12-01,4609400,2025-10-01,4325000,2025-04-01,5423300,2024-10-01,4393600,2024-07-01,3577000,2024-04-01,4188300,2024-03-01,3984900,2023-12-01,3348500,2023-03-01,4659800.0,2022-12-01,3899500.0,2022-10-01,3366500.0,2022-09-01,3384900.0,2022-07-01,4467100.0,2022-06-01,3294200.0,2021-03-01,3364500.0,2020-03-01,3810300.0
EPRT,6621451102.817763,monthly,2026-04-01,51877200,2026-03-01,48607600,2026-01-01,37546800,2025-12-01,36932900,2025-11-01,34535700,2025-10-01,46260500,2025-09-01,38889200,2025-07-01,42992400,2025-06-01,41085200,2025-04-01,42143400,2025-03-01,48488700,2024-09-01,28987500,2024-08-01,29836000.0,2024-06-01,36135800.0,2024-03-01,38483300.0,2023-12-01,31641000.0,2023-10-01,33279500.0,2020-06-01,41739200.0,2020-04-01,35467400.0,2020-03-01,48685200.0
IFS,6440827299.187432,monthly,2026-05-01,3569803,2026-04-01,7242100,2026-03-01,5628200,2026-01-01,4269700,2025-12-01,4236900,2025-11-01,3630100,2025-10-01,4513800,2025-09-01,4229300,2025-08-01,4672600,2025-07-01,3637800,2025-06-01,5622300,2025-05-01,4709900,2025-04-01,4975200.0,2025-03-01,3620500.0,2025-02-01,4309700.0,2024-11-01,3669100.0,2024-10-01,3548500.0,2024-04-01,3906000.0,2024-02-01,3962200.0,2021-08-01,4240200.0
MZTI,3178758446.244996,monthly,2026-05-01,6454820,2026-04-01,6728500,2026-03-01,6601400,2025-12-01,3449100,2025-06-01,3324100,2025-05-01,3991300,2025-04-01,4302200,2025-03-01,3486000,2024-08-01,3685500,2023-06-01,3731700,2023-03-01,4109400,2022-12-01,3641000,2022-11-01,4610200.0,2022-10-01,4698300.0,2022-07-01,3314900.0,2020-06-01,3572900.0,2020-05-01,3939500.0,2020-04-01,3766800.0,2020-03-01,4688100.0,2020-02-01,3439800.0
