Symbol,market_cap,timeframe,HVD_date_1,HVD_vol_1,HVD_date_2,HVD_vol_2,HVD_date_3,HVD_vol_3,HVD_date_4,HVD_vol_4,HVD_date_5,HVD_vol_5,HVD_date_6,HVD_vol_6,HVD_date_7,HVD_vol_7,HVD_date_8,HVD_vol_8,HVD_date_9,HVD_vol_9,HVD_date_10,HVD_vol_10,HVD_date_11,HVD_vol_11,HVD_date_12,HVD_vol_12,HVD_date_13,HVD_vol_13,HVD_date_14,HVD_vol_14,HVD_date_15,HVD_vol_15,HVD_date_16,HVD_vol_16,HVD_date_17,HVD_vol_17,HVD_date_18,HVD_vol_18,HVD_date_19,HVD_vol_19,HVD_date_20,HVD_vol_20
BELFA,4291331386.026283,monthly,2026-08-01,2203887,2026-07-01,1264987,2026-06-01,755644,2026-05-01,908951,2026-04-01,1708300,2026-03-01,1558400,2026-02-01,406400,2026-01-01,1335300,2025-12-01,577000,2025-11-01,538900,2025-10-01,271600,2025-06-01,286500,2025-01-01,232200.0,2024-11-01,269600.0,2024-10-01,251800.0,2024-09-01,322100.0,2024-08-01,223400.0,2024-07-01,383000.0,2024-06-01,517700.0,2024-05-01,272700.0
CAI,5229593062.780748,monthly,2026-08-01,63832908,2026-07-31,3511207,2026-07-17,3294597,2026-07-01,25000222,2026-06-01,16612079,2026-05-01,54739355,2026-04-01,36716900,2026-03-01,60025600,2026-02-01,18779100,2026-01-01,53072700,2025-12-01,56194600,2025-11-01,32852700,2025-10-01,15652600.0,2025-09-01,14835600.0,2025-08-01,14863500.0,2025-07-01,12294400.0,2025-06-01,27860600.0,,,,,,
CLBT,3432291945.425178,monthly,2026-08-01,62376265,2026-05-01,40310583,2026-04-01,34098400,2026-03-01,37802200,2026-01-01,28218400,2025-11-01,28397000,2025-10-01,28220300,2025-09-01,39347100,2025-08-01,50180700,2025-07-01,32798800,2025-06-01,30841300,2025-05-01,29991000,2025-03-01,27956700.0,2025-02-01,54578900.0,2025-01-01,30753500.0,2024-11-01,37024700.0,2024-10-01,26332300.0,2024-08-01,38014500.0,2024-07-01,33143000.0,2024-06-01,26012600.0
CHYM,7742308911.675972,monthly,2026-08-01,129322562,2026-07-31,7283940,2026-07-17,7594655,2026-07-01,33985607,2026-06-01,21864485,2026-05-01,98582214,2026-04-01,70061800,2026-03-01,120353300,2026-02-01,25957800,2026-01-01,59150200,2025-12-01,84721200,2025-11-01,97837100,2025-10-01,61762800.0,2025-09-01,69168200.0,2025-08-01,49762000.0,2025-07-01,53723000.0,2025-06-01,94703900.0,,,,,,
DOCS,3818368359.29471,monthly,2026-08-01,131758626,2026-05-01,95960201,2026-04-01,64634100,2026-03-01,58377300,2026-02-01,63557400,2026-01-01,53538900,2025-12-01,62546300,2025-05-01,71069400,2025-03-01,52369100,2025-02-01,67117300,2024-11-01,54941500,2023-09-01,53259700,2023-08-01,64215700.0,2023-06-01,59240500.0,2022-11-01,65437700.0,2022-05-01,76523700.0,2022-03-01,56803900.0,2022-02-01,54059500.0,2021-12-01,57404200.0,2021-11-01,73790000.0
CLBK,2170654777.113546,monthly,2026-08-01,66127939,2026-07-31,4924816,2026-07-17,7387353,2026-05-01,6574170,2026-04-01,4939000,2026-03-01,6243900,2025-04-01,4581700,2023-06-01,5603800,2023-05-01,4344100,2023-03-01,6527100,2022-06-01,4416400,2021-06-01,6022700,2021-03-01,5218000.0,2020-12-01,4163900.0,2020-11-01,4135700.0,2020-10-01,4829500.0,2020-09-01,4882400.0,2020-06-01,5064300.0,2020-04-01,4856300.0,2020-03-01,7761100.0
FA,3056790242.695704,monthly,2026-08-01,38023052,2026-05-01,19073622,2026-04-01,21084900,2026-03-01,29312500,2025-11-01,18087300,2025-10-01,16954300,2025-09-01,17898700,2025-08-01,17554100,2025-07-01,17583600,2025-06-01,24981500,2025-05-01,25391400,2025-04-01,31696700,2025-03-01,27464300.0,2025-02-01,17667500.0,2024-12-01,18754600.0,2024-11-01,27359200.0,2024-10-01,15686100.0,2022-11-01,16012100.0,2021-11-01,28529600.0,2021-09-01,16478100.0
RNW,2254383196.4740973,monthly,2026-08-01,45299093,2025-12-01,42944300,2025-11-01,21288200,2025-10-01,33369000,2025-07-01,27746600,2025-02-01,21058400,2025-01-01,26375900,2024-12-01,32207200,2024-10-01,21109200,2024-07-01,26012500,2024-06-01,22645900,2024-05-01,33199100,2023-03-01,30636400.0,2023-02-01,21979900.0,2022-11-01,23236100.0,2022-10-01,29411900.0,2022-03-01,36494500.0,2021-11-01,21206500.0,2021-10-01,31746700.0,2021-02-01,30794900.0
LMAT,2185901654.7835617,monthly,2026-08-01,6523916,2026-05-01,4582602,2026-04-01,3487200,2026-03-01,6022400,2025-12-01,3956600,2025-11-01,3714600,2025-09-01,3933500,2025-08-01,4565900,2025-05-01,4721400,2025-04-01,4022300,2025-03-01,5934200,2025-02-01,3837700,2024-12-01,4459100.0,2023-10-01,3881300.0,2022-04-01,3623800.0,2021-07-01,3513400.0,2021-06-01,3742000.0,2021-03-01,3525700.0,2020-03-01,3924900.0,2020-02-01,3501700.0
PLBL,2868813795.871324,monthly,2026-08-01,2634168,2026-07-31,94021,2026-07-17,130869,2026-07-01,5934869,2026-06-01,123738,2026-05-01,79814,2026-04-01,249500,2026-03-01,70300,2026-02-01,49600,2026-01-01,177000,2025-12-01,48700,2025-11-01,104300,2025-10-01,757400.0,2025-09-01,624400.0,2025-08-01,1143200.0,,,,,,,,,,
NAVN,5803839429.936081,monthly,2026-08-01,22950969,2026-07-31,1264565,2026-07-17,2935253,2026-07-01,40516904,2026-06-01,119833600,2026-05-01,73619500,2026-04-01,55679900,2026-03-01,72173900,2026-02-01,32522000,2026-01-01,37890900,2025-12-01,47655600,2025-11-01,34319200,2025-10-01,20929500.0,,,,,,,,,,,,,,
CBC,7159477009.95563,monthly,2026-08-01,8602400,2026-07-31,439242,2026-07-17,488299,2026-07-01,5669066,2026-06-01,18621500,2026-05-01,12257800,2026-04-01,15253000,2026-03-01,16271000,2026-02-01,4895000,2026-01-01,4057700,2025-12-01,6237500,2025-11-01,2414700,,,,,,,,,,,,,,,,
BLLN,5435286567.312189,monthly,2026-08-01,11489056,2026-07-31,521056,2026-07-17,617975,2026-07-01,5549979,2026-06-01,17540000,2026-05-01,15914500,2026-04-01,8665300,2026-03-01,7255400,2026-02-01,4523600,2026-01-01,4867400,2025-12-01,4634700,2025-11-01,4463500,,,,,,,,,,,,,,,,
PTRN,4050233544.97017,monthly,2026-08-01,21866281,2026-07-31,969535,2026-07-17,1841093,2026-07-01,18088465,2026-06-01,53433500,2026-05-01,31698100,2026-04-01,12526500,2026-03-01,24706100,2026-02-01,17549600,2026-01-01,23225700,2025-12-01,18970500,2025-11-01,12198800,2025-10-01,19492000.0,2025-09-01,35542000.0,,,,,,,,,,,,
