Symbol,market_cap,timeframe,HVE_date_1,HVE_vol_1,HVE_date_2,HVE_vol_2,HVE_date_3,HVE_vol_3,HVE_date_4,HVE_vol_4,HVE_date_5,HVE_vol_5,HVE_date_6,HVE_vol_6,HVE_date_7,HVE_vol_7,HVE_date_8,HVE_vol_8,HVE_date_9,HVE_vol_9,HVE_date_10,HVE_vol_10
BELFA,4291331386.026283,monthly,2026-08-01,2203887,2026-04-01,1708300.0,2026-03-01,1558400.0,2026-01-01,1335300.0,2025-12-01,577000.0,2025-11-01,538900.0,2024-06-01,517700.0,2024-05-01,272700.0,2023-07-01,221800.0,2023-01-01,207800.0
CAI,5229593062.780748,monthly,2026-08-01,63832908,2026-03-01,60025600.0,2025-12-01,56194600.0,2025-11-01,32852700.0,2025-06-01,27860600.0,,,,,,,,,,
CLBT,3432291945.425178,monthly,2026-08-01,62376265,2025-02-01,54578900.0,2024-08-01,38014500.0,2024-07-01,33143000.0,2024-06-01,26012600.0,2024-03-01,21972800.0,2023-12-01,21658200.0,2021-04-01,17587400.0,2021-03-01,8510500.0,2021-01-01,7921900.0
CHYM,7742308911.675972,monthly,2026-08-01,129322562,2026-03-01,120353300.0,2025-11-01,97837100.0,2025-06-01,94703900.0,,,,,,,,,,,,
DOCS,3818368359.29471,monthly,2026-08-01,131758626,2026-05-01,95960201.0,2022-05-01,76523700.0,2021-11-01,73790000.0,2021-08-01,49123800.0,2021-06-01,32938000.0,,,,,,,,
CLBK,2170654777.113546,monthly,2026-08-01,66127939,2020-03-01,7761100.0,2020-02-01,3081100.0,,,,,,,,,,,,,,
FA,3056790242.695704,monthly,2026-08-01,38023052,2025-04-01,31696700.0,2021-11-01,28529600.0,2021-09-01,16478100.0,2021-06-01,14254900.0,,,,,,,,,,
RNW,2254383196.4740973,monthly,2026-08-01,45299093,2025-12-01,42944300.0,2022-03-01,36494500.0,2021-10-01,31746700.0,2021-02-01,30794900.0,,,,,,,,,,
LMAT,2185901654.7835617,monthly,2026-08-01,6523916,2026-03-01,6022400.0,2025-03-01,5934200.0,2024-12-01,4459100.0,2020-03-01,3924900.0,2020-02-01,3501700.0,,,,,,,,
PLBL,2868813795.871324,monthly,2026-07-01,5934869,2025-08-01,1143200.0,,,,,,,,,,,,,,,,
