Symbol,market_cap,timeframe,HVD_date_1,HVD_vol_1,HVD_date_2,HVD_vol_2,HVD_date_3,HVD_vol_3,HVD_date_4,HVD_vol_4,HVD_date_5,HVD_vol_5,HVD_date_6,HVD_vol_6,HVD_date_7,HVD_vol_7,HVD_date_8,HVD_vol_8,HVD_date_9,HVD_vol_9,HVD_date_10,HVD_vol_10,HVD_date_11,HVD_vol_11,HVD_date_12,HVD_vol_12,HVD_date_13,HVD_vol_13,HVD_date_14,HVD_vol_14,HVD_date_15,HVD_vol_15,HVD_date_16,HVD_vol_16,HVD_date_17,HVD_vol_17,HVD_date_18,HVD_vol_18,HVD_date_19,HVD_vol_19,HVD_date_20,HVD_vol_20
BELFA,4291331386.026283,monthly,2026-08-01,2203887,2026-07-01,1264987,2026-06-01,755644,2026-05-01,908951,2026-04-01,1708300,2026-03-01,1558400,2026-02-01,406400,2026-01-01,1335300,2025-12-01,577000,2025-11-01,538900,2025-10-01,271600,2025-06-01,286500,2025-01-01,232200.0,2024-11-01,269600.0,2024-10-01,251800.0,2024-09-01,322100.0,2024-08-01,223400.0,2024-07-01,383000.0,2024-06-01,517700.0,2024-05-01,272700.0
ONCH,221015619.9951172,monthly,2026-08-01,2113301,2026-07-31,526323,2026-07-10,7,2026-07-01,92307,2026-06-01,172400,2026-05-01,247200,2026-04-01,204000,2026-03-01,1574400,2026-02-01,1446400,2026-01-01,1427300,2025-12-01,752100,2025-11-01,717700,2025-10-01,571800.0,2025-09-01,483200.0,,,,,,,,,,,,
CAI,5229593062.780748,monthly,2026-08-01,63832908,2026-07-31,3511207,2026-07-17,3294597,2026-07-01,25000222,2026-06-01,16612079,2026-05-01,54739355,2026-04-01,36716900,2026-03-01,60025600,2026-02-01,18779100,2026-01-01,53072700,2025-12-01,56194600,2025-11-01,32852700,2025-10-01,15652600.0,2025-09-01,14835600.0,2025-08-01,14863500.0,2025-07-01,12294400.0,2025-06-01,27860600.0,,,,,,
GSHR,213540893.62877697,monthly,2026-08-01,1242124,2026-07-29,56,2026-07-07,8,2026-07-01,48708,2026-06-01,0,2026-05-01,164100,2026-04-01,157700,2026-03-01,271600,2026-02-01,245400,2026-01-01,147700,2025-12-01,426000,2025-11-01,183300,2025-10-01,177000.0,2025-09-01,52000.0,2025-08-01,346900.0,2025-07-01,204600.0,2025-06-01,584700.0,2025-05-01,731700.0,,,,
CLBT,3432291945.425178,monthly,2026-08-01,62376265,2026-05-01,40310583,2026-04-01,34098400,2026-03-01,37802200,2026-01-01,28218400,2025-11-01,28397000,2025-10-01,28220300,2025-09-01,39347100,2025-08-01,50180700,2025-07-01,32798800,2025-06-01,30841300,2025-05-01,29991000,2025-03-01,27956700.0,2025-02-01,54578900.0,2025-01-01,30753500.0,2024-11-01,37024700.0,2024-10-01,26332300.0,2024-08-01,38014500.0,2024-07-01,33143000.0,2024-06-01,26012600.0
MATW,850266450.066439,monthly,2026-08-01,9533242,2026-03-01,4757700,2026-01-01,4875400,2025-12-01,6125900,2025-11-01,6896600,2025-10-01,5240700,2025-08-01,4390600,2025-06-01,4540100,2025-05-01,6197100,2025-04-01,5679100,2025-03-01,4340900,2025-02-01,6834100,2024-06-01,4296000.0,2024-02-01,4043500.0,2020-12-01,4314800.0,2020-09-01,4335200.0,2020-08-01,4295300.0,2020-07-01,7250200.0,2020-06-01,6461100.0,2020-03-01,5720000.0
PAL,199666835.70563385,monthly,2026-08-01,11729235,2026-05-01,6741323,2026-04-01,8384100,2026-03-01,5696600,2025-12-01,4244100,2025-11-01,4629300,2025-10-01,4092500,2025-09-01,4179900,2025-06-01,3884600,2025-05-01,4208100,2025-04-01,7708600,2025-03-01,6637000,2025-02-01,7537000.0,2025-01-01,4302200.0,2024-11-01,5532300.0,2024-10-01,10448100.0,2024-09-01,6204900.0,2024-07-01,4537300.0,2024-06-01,5439700.0,2024-05-01,5824600.0
CHYM,7742308911.675972,monthly,2026-08-01,129322562,2026-07-31,7283940,2026-07-17,7594655,2026-07-01,33985607,2026-06-01,21864485,2026-05-01,98582214,2026-04-01,70061800,2026-03-01,120353300,2026-02-01,25957800,2026-01-01,59150200,2025-12-01,84721200,2025-11-01,97837100,2025-10-01,61762800.0,2025-09-01,69168200.0,2025-08-01,49762000.0,2025-07-01,53723000.0,2025-06-01,94703900.0,,,,,,
RBKB,194245964.9170052,monthly,2026-08-01,1507131,2026-07-31,320757,2026-03-01,280300,2026-02-01,242800,2025-12-01,221600,2025-10-01,202100,2025-07-01,264900,2025-06-01,944600,2025-05-01,201900,2024-09-01,229700,2024-02-01,225100,2023-12-01,525900,2023-07-01,266200.0,2023-05-01,307500.0,2022-12-01,287600.0,2022-03-01,268100.0,2021-05-01,300700.0,2021-02-01,226900.0,2020-09-01,205500.0,2020-08-01,225500.0
DOCS,3818368359.29471,monthly,2026-08-01,131758626,2026-05-01,95960201,2026-04-01,64634100,2026-03-01,58377300,2026-02-01,63557400,2026-01-01,53538900,2025-12-01,62546300,2025-05-01,71069400,2025-03-01,52369100,2025-02-01,67117300,2024-11-01,54941500,2023-09-01,53259700,2023-08-01,64215700.0,2023-06-01,59240500.0,2022-11-01,65437700.0,2022-05-01,76523700.0,2022-03-01,56803900.0,2022-02-01,54059500.0,2021-12-01,57404200.0,2021-11-01,73790000.0
