Symbol,market_cap,timeframe,HVE_date_1,HVE_vol_1,HVE_date_2,HVE_vol_2,HVE_date_3,HVE_vol_3,HVE_date_4,HVE_vol_4,HVE_date_5,HVE_vol_5,HVE_date_6,HVE_vol_6,HVE_date_7,HVE_vol_7,HVE_date_8,HVE_vol_8,HVE_date_9,HVE_vol_9,HVE_date_10,HVE_vol_10
XPRO,1619284587.3524354,monthly,2024-09-01,35282000,2024-07-01,29656500.0,2023-09-01,26637900.0,2021-12-01,25380200.0,2021-11-01,8783100.0,2021-10-01,8155717.0,2021-03-01,6560417.0,2020-09-01,5476501.0,2020-06-01,4415750.0,2020-03-01,3807653.0
GUT,578813416.0,monthly,2024-09-01,8569337,2021-03-01,8274997.0,2020-03-01,7467640.0,2020-02-01,3525849.0,,,,,,,,,,,,
FPH,602236849.4619884,monthly,2024-09-01,20728300,2020-03-01,9989900.0,2020-02-01,5908100.0,,,,,,,,,,,,,,
KF,311751499.5,monthly,2024-09-01,753900,2024-03-01,464500.0,2024-02-01,398200.0,2022-12-01,364800.0,2022-10-01,355200.0,2020-03-01,353100.0,2020-02-01,135700.0,,,,,,
WILC,448764903.21933967,monthly,2024-08-01,666300,2020-10-01,272300.0,2020-03-01,131100.0,2020-02-01,56600.0,,,,,,,,,,,,
GRAF,376049985.53097343,monthly,2024-08-01,3127400,,,,,,,,,,,,,,,,,,
SEG,346547719.62352943,monthly,2024-08-01,4424100,2024-07-01,79500.0,,,,,,,,,,,,,,,,
PCRX,992815026.1124332,monthly,2024-08-01,34501400,2024-07-01,33367900.0,2024-05-01,21923300.0,2020-03-01,21105800.0,2020-02-01,11597800.0,,,,,,,,,,
JBI,747430687.9349006,monthly,2024-08-01,69397800,2023-12-01,57404000.0,2023-08-01,47527800.0,2021-08-01,34418700.0,2021-01-01,24940700.0,2020-12-01,16942100.0,2020-10-01,4807300.0,2020-09-01,4538800.0,2020-03-01,3746100.0,2020-02-01,1583400.0
ANSC,474261727.42257214,monthly,2024-08-01,7362500,2024-02-01,6588700.0,2024-01-01,1656800.0,,,,,,,,,,,,,,
GPAT,391000004.0,monthly,2024-07-01,7884400,,,,,,,,,,,,,,,,,,
ATRC,1528344377.9338784,monthly,2024-07-01,22647500,2024-06-01,18291700.0,2024-05-01,17268400.0,2024-04-01,16413300.0,2024-03-01,15663600.0,2023-11-01,13795700.0,2020-05-01,13343200.0,2020-04-01,11509300.0,2020-03-01,9394100.0,2020-02-01,7707900.0
