Symbol,timeframe,HVD_date_1,HVD_vol_1,HVD_date_2,HVD_vol_2,HVD_date_3,HVD_vol_3,HVD_date_4,HVD_vol_4,HVD_date_5,HVD_vol_5,HVD_date_6,HVD_vol_6,HVD_date_7,HVD_vol_7,HVD_date_8,HVD_vol_8,HVD_date_9,HVD_vol_9,HVD_date_10,HVD_vol_10,HVD_date_11,HVD_vol_11,HVD_date_12,HVD_vol_12,HVD_date_13,HVD_vol_13,HVD_date_14,HVD_vol_14,HVD_date_15,HVD_vol_15,HVD_date_16,HVD_vol_16,HVD_date_17,HVD_vol_17,HVD_date_18,HVD_vol_18,HVD_date_19,HVD_vol_19,HVD_date_20,HVD_vol_20
AMD,daily,2025-10-08,159983500,2025-10-06,248859600,2023-08-02,173372000,2023-02-01,152548200,2022-10-07,163786300,2022-05-20,164126800,2022-05-17,164227200,2022-05-09,144523700,2022-05-06,144286600,2022-05-05,153129800,2022-05-04,225394100,2022-03-31,147004800,2022-02-11,164723200,2022-02-02,180065000,2021-08-04,225368700,2021-08-03,157723100,2021-07-29,164091800,2020-10-27,156669500,2020-08-04,155676100,2020-07-24,205314500
TXN,daily,2026-04-23,25659100,2026-02-03,15207600,2026-01-28,19603400,2025-12-19,19091700,2025-10-22,25834500,2025-09-19,16206700,2025-07-23,30755700,2025-05-12,16210400,2025-04-24,18950400,2025-04-11,21113300,2025-04-10,16019500,2025-04-09,21578500,2025-04-07,18337200,2025-01-24,15856600,2024-03-15,19078800,2023-12-15,16337400,2023-07-21,17251600,2020-03-18,16413900,2020-03-17,16243500,2020-03-13,16040100
NVDA,daily,2024-03-08,1142269000,2023-08-24,1156044000,2023-05-31,1002580000,2023-05-25,1543911000,2023-02-23,1117995000,2022-09-01,1178865000,2022-08-08,981859000,2022-05-26,996575000,2021-11-04,1153631000,2021-06-18,968856000,2020-09-14,1201744000,2020-09-04,1463684000,2020-08-21,999868000,2020-05-27,1175892000,2020-05-22,1038764000,2020-05-15,987660000,2020-03-24,1101644000,2020-02-28,1133252000,2020-02-25,1055496000,2020-02-14,1041924000
