ticker,check_date,new_volume,new_close,entered_top_n,rank,displaced_vol,displaced_date,days_since_top1
REGN,2026-05-22,1178558,642.59,True,1,,,0
MELI,2026-05-22,494359,1677.9,True,1,,,0
CHTR,2026-05-22,2568785,148.9,True,1,,,0
KLAC,2026-05-22,820898,1842.18,True,1,,,0
META,2026-05-22,13475662,607.38,True,1,,,0
MU,2026-05-22,42461460,762.1,True,1,,,0
COST,2026-05-22,2149696,1050.45,True,1,,,0
ADBE,2026-05-22,4130996,244.1,True,1,,,0
VRTX,2026-05-22,1395240,433.54,True,1,,,0
MSFT,2026-05-22,31393100,419.09,True,1,,,0
INTU,2026-05-22,22353424,307.07,True,1,,,0
ROP,2026-05-22,836110,324.08,True,1,,,0
LIN,2026-05-22,1655652,514.51,True,1,,,0
AMGN,2026-05-22,2001113,337.42,True,1,,,0
IDXX,2026-05-22,430734,553.07,True,1,,,0
LULU,2026-05-22,2918864,126.76,True,1,,,0
GOOG,2026-05-22,16837344,383.47,True,1,,,0
CEG,2026-05-22,2366008,285.83,True,1,,,0
APP,2026-05-22,3203025,485.89,True,1,,,0
ADP,2026-05-22,2248980,220.075,True,1,,,0
AMAT,2026-05-22,5682855,427.36,True,1,,,0
NXPI,2026-05-22,3492789,299.38,True,1,,,0
MAR,2026-05-22,908573,370.56,True,1,,,0
TMUS,2026-05-22,3774664,190.9,True,1,,,0
BIIB,2026-05-22,1475348,189.47,True,1,,,0
PDD,2026-05-22,5838925,97.79,True,1,,,0
QCOM,2026-05-22,28163721,213.41,True,1,,,0
AMZN,2026-05-22,36591491,268.46,True,1,,,0
AAPL,2026-05-22,42964901,304.99,True,1,,,0
ISRG,2026-05-22,2088407,439.8,True,1,,,0
CDW,2026-05-22,1514625,106.88,True,1,,,0
BKNG,2026-05-22,7470505,159.68,True,1,,,0
GILD,2026-05-22,4920772,130.5,True,1,,,0
ROST,2026-05-22,3791145,217.19,True,1,,,0
HON,2026-05-22,4732464,223.8,True,1,,,0
AEP,2026-05-22,5244851,129.61,True,1,,,0
ADI,2026-05-22,5303478,384.21,True,1,,,0
VRSK,2026-05-22,1727863,171.6,True,1,,,0
SNPS,2026-05-22,1423271,503.98,True,1,,,0
PEP,2026-05-22,6123142,148.85,True,1,,,0
PYPL,2026-05-22,10925179,44.3,True,1,,,0
LRCX,2026-05-22,9162398,302.24,True,1,,,0
ADSK,2026-05-22,1992732,240.19,True,1,,,0
AVGO,2026-05-22,16865279,414.57,True,1,,,0
CMCSA,2026-05-22,27771397,25.08,True,1,,,0
CCEP,2026-05-22,2343319,94.15,True,1,,,0
ODFL,2026-05-22,1154276,207.69,True,1,,,0
CTAS,2026-05-22,1863765,172.36,True,1,,,0
PCAR,2026-05-22,3370484,109.34,True,1,,,0
CTSH,2026-05-22,8986131,52.32,True,1,,,0
PAYX,2026-05-22,2315535,94.25,True,1,,,0
CDNS,2026-05-22,1757241,358.46,True,1,,,0
GEHC,2026-05-22,5108152,64.33,True,1,,,0
ABNB,2026-05-22,4173979,134.25,True,1,,,0
EA,2026-05-22,1331369,201.87,True,1,,,0
XEL,2026-05-22,6243272,80.2,True,1,,,0
WDAY,2026-05-22,9182578,121.85,True,1,,,0
BKR,2026-05-22,6403792,65.8,True,1,,,0
NFLX,2026-05-22,28613824,89.3,True,1,,,0
MRVL,2026-05-22,21505925,190.69,True,1,,,0
CSCO,2026-05-22,22700582,118.2,True,1,,,0
ORLY,2026-05-22,4694962,92.34,True,1,,,0
EXC,2026-05-22,7847190,45.35,True,1,,,0
FTNT,2026-05-22,4266227,129.46,True,1,,,0
AXON,2026-05-22,1100057,389.84,True,1,,,0
DXCM,2026-05-22,9081092,71.9,True,1,,,0
DASH,2026-05-22,4162772,159.27,True,1,,,0
MNST,2026-05-22,4306892,86.32,True,1,,,0
MDLZ,2026-05-22,5378306,61.5,True,1,,,0
PANW,2026-05-22,6323485,252.92,True,1,,,0
CSX,2026-05-22,12087359,45.9,True,1,,,0
CPRT,2026-05-22,16708684,34.4,True,1,,,0
ON,2026-05-22,6802541,109.61,True,1,,,0
GFS,2026-05-22,11010369,81.35,True,1,,,0
KDP,2026-05-22,9058246,28.78,True,1,,,0
SBUX,2026-05-22,8342775,104.13,True,1,,,0
FAST,2026-05-22,8230103,43.53,True,1,,,0
TSLA,2026-05-22,42636688,417.85,True,1,,,0
SHOP,2026-05-22,6949142,104.86,True,1,,,0
PLTR,2026-05-22,24311782,137.415,True,1,,,0
TTD,2026-05-22,10601999,21.28,True,1,,,0
FANG,2026-05-22,1495880,200.97,True,1,,,0
ARM,2026-05-22,21796620,298.23,True,1,,,0
DDOG,2026-05-22,4179198,218.04,True,1,,,0
MCHP,2026-05-22,8596076,91.11,True,1,,,0
CSGP,2026-05-22,5411021,33.93,True,1,,,0
ZS,2026-05-22,2595986,171.01,True,1,,,0
INTC,2026-05-22,102449015,118.5,True,1,,,0
WBD,2026-05-22,15192660,27.1,True,1,,,0
CRWD,2026-05-22,2646075,648.23,True,1,,,0
TEAM,2026-05-22,4864854,82.18,True,1,,,0
KHC,2026-05-22,13152091,23.54,True,1,,,0
TTWO,2026-05-22,4202721,238.08,True,1,,,0
MSTR,2026-05-22,10526929,164.85,True,1,,,0
