Symbol,Description,Pre-market change %,Pre-market volume,Average volume 30 days,Pre-market price,Pre-market price - Currency,Price,Price - Currency,Market capitalization,Market capitalization - Currency,Sector,Industry,Free float,Average daily range,Recent earnings date,Upcoming earnings date
STI,"Solidion Technology, Inc.",256.9444444444444,24766237,79051.36666666655,17.99,USD,5.04,USD,39038243,USD,Finance,Financial conglomerates,2473033.922557,0.3559642857142844,,
SPRC,SciSparc Ltd.,40.27484143763212,3179145,1293647.7666666666,13.27,USD,9.46,USD,5422877.999999999,USD,Health technology,Pharmaceuticals: major,573243,1.2236142857142847,,
ROLR,"High Roller Technologies, Inc.",11.605357142857155,1515765,621967.1333333333,6.2499,USD,5.6,USD,61426329,USD,Technology services,Packaged software,3687214.0110629997,0.49787142857142896,2026-03-10,2026-08-18
FOFO,"Hang Feng Technology Innovation Co., Ltd.",19.27162367223066,87388,339786,7.86,USD,6.59,USD,49893407,USD,Commercial services,Miscellaneous commercial services,3027295.5383,0.7369357142857118,,
OESX,"Orion Energy Systems, Inc.",13.486842105263165,5449,43060.09999999995,10.35,USD,9.12,USD,36962110.99999999,USD,Electronic technology,Semiconductors,3646224.39762,0.6977499999999921,2026-06-04,2026-08-12
BKCPF,BLOCKCHAIN CAP TOKENHUB PTE LTD,12.676056338028168,911,1916.6,40,USD,35.5,USD,,,Finance,Investment managers,,0.4457142857142955,,
MB,MasterBeef Group,13.235294117647065,130,14336.866666666667,7.7,USD,6.8,USD,116654008,USD,Consumer services,Restaurants,4690005.45,0.5780000000000083,,
ELPC,Companhia Paranaense de Energia (COPEL),14.524647887323946,100,327169.86666666664,13.01,USD,11.36,USD,8409949132.183499,USD,Utilities,Electric utilities,,0.25178571428571495,2026-05-05,2026-08-05
