ticker,market_cap,timeframe,hv1y_date,hv1y_volume,days_since_hv1y,hv1y_occ_1y,total_hv1y_count,is_hv1y_also_hve,hv1y_to_hve_ratio,all_hv1y_details
OPFI,1337076183.179487,weekly,2026-08-10,15185829.0,0,2,2,False,0.7490075759817703,"[{'date': Timestamp('2026-08-10 00:00:00'), 'volume': 15185829.0}, {'date': Timestamp('2025-08-18 00:00:00'), 'volume': 6390800.0}]"
IIIV,594661903.1119959,weekly,2026-08-10,3515007.0,0,5,5,True,1.0,"[{'date': Timestamp('2026-08-10 00:00:00'), 'volume': 3515007.0}, {'date': Timestamp('2026-02-02 00:00:00'), 'volume': 3356900.0}, {'date': Timestamp('2025-11-17 00:00:00'), 'volume': 2535500.0}, {'date': Timestamp('2025-09-15 00:00:00'), 'volume': 1388900.0}, {'date': Timestamp('2025-08-18 00:00:00'), 'volume': 1359300.0}]"
AVAH,1885759958.471698,weekly,2026-08-10,29901632.0,0,6,6,True,1.0,"[{'date': Timestamp('2026-08-10 00:00:00'), 'volume': 29901632.0}, {'date': Timestamp('2026-06-22 00:00:00'), 'volume': 18462800.0}, {'date': Timestamp('2026-05-11 00:00:00'), 'volume': 13808000.0}, {'date': Timestamp('2025-10-20 00:00:00'), 'volume': 13759300.0}, {'date': Timestamp('2025-09-15 00:00:00'), 'volume': 8049000.0}, {'date': Timestamp('2025-08-18 00:00:00'), 'volume': 7751400.0}]"
UVV,1340634817.1431258,weekly,2026-08-10,2860943.0,0,5,5,False,0.5557387334887335,"[{'date': Timestamp('2026-08-10 00:00:00'), 'volume': 2860943.0}, {'date': Timestamp('2026-05-25 00:00:00'), 'volume': 2119600.0}, {'date': Timestamp('2026-02-09 00:00:00'), 'volume': 1754000.0}, {'date': Timestamp('2025-09-13 00:00:00'), 'volume': 1708500.0}, {'date': Timestamp('2025-08-23 00:00:00'), 'volume': 951100.0}]"
ETON,977907131.8380244,weekly,2026-08-10,6127017.0,0,10,10,False,0.3850152384423484,"[{'date': Timestamp('2026-08-10 00:00:00'), 'volume': 6127017.0}, {'date': Timestamp('2026-07-27 00:00:00'), 'volume': 3525429.0}, {'date': Timestamp('2026-03-23 00:00:00'), 'volume': 2869800.0}, {'date': Timestamp('2026-03-16 00:00:00'), 'volume': 2428100.0}, {'date': Timestamp('2026-02-23 00:00:00'), 'volume': 2426400.0}, {'date': Timestamp('2025-11-03 00:00:00'), 'volume': 2304100.0}, {'date': Timestamp('2025-09-29 00:00:00'), 'volume': 2270600.0}, {'date': Timestamp('2025-09-22 00:00:00'), 'volume': 2209900.0}, {'date': Timestamp('2025-09-15 00:00:00'), 'volume': 1391400.0}, {'date': Timestamp('2025-08-18 00:00:00'), 'volume': 1349200.0}]"
BWMN,523831406.2325582,weekly,2026-08-10,7220335.0,0,6,6,True,1.0,"[{'date': Timestamp('2026-08-10 00:00:00'), 'volume': 7220335.0}, {'date': Timestamp('2026-03-16 00:00:00'), 'volume': 1939800.0}, {'date': Timestamp('2026-03-09 00:00:00'), 'volume': 1059500.0}, {'date': Timestamp('2025-12-15 00:00:00'), 'volume': 1005000.0}, {'date': Timestamp('2025-09-15 00:00:00'), 'volume': 925600.0}, {'date': Timestamp('2025-08-18 00:00:00'), 'volume': 880500.0}]"
LPTH,824424905.8085105,weekly,2026-08-10,21777559.0,0,9,9,False,0.4657345015782855,"[{'date': Timestamp('2026-08-10 00:00:00'), 'volume': 21777559.0}, {'date': Timestamp('2026-06-22 00:00:00'), 'volume': 21723400.0}, {'date': Timestamp('2026-05-18 00:00:00'), 'volume': 21625300.0}, {'date': Timestamp('2026-04-27 00:00:00'), 'volume': 21229500.0}, {'date': Timestamp('2026-01-10 00:00:00'), 'volume': 20549300.0}, {'date': Timestamp('2025-12-27 00:00:00'), 'volume': 13679000.0}, {'date': Timestamp('2025-10-11 00:00:00'), 'volume': 13308600.0}, {'date': Timestamp('2025-09-13 00:00:00'), 'volume': 12609500.0}, {'date': Timestamp('2025-08-23 00:00:00'), 'volume': 9879000.0}]"
JBSS,1017570583.1927242,weekly,2026-08-10,970784.0,0,6,6,True,1.0,"[{'date': Timestamp('2026-08-10 00:00:00'), 'volume': 970784.0}, {'date': Timestamp('2026-06-01 00:00:00'), 'volume': 832400.0}, {'date': Timestamp('2026-04-27 00:00:00'), 'volume': 757500.0}, {'date': Timestamp('2025-10-25 00:00:00'), 'volume': 728600.0}, {'date': Timestamp('2025-09-13 00:00:00'), 'volume': 406700.0}, {'date': Timestamp('2025-08-23 00:00:00'), 'volume': 384800.0}]"
MATV,451411734.29625,weekly,2026-08-10,4291525.0,0,5,5,False,0.2201064239005,"[{'date': Timestamp('2026-08-10 00:00:00'), 'volume': 4291525.0}, {'date': Timestamp('2026-08-03 00:00:00'), 'volume': 4285300.0}, {'date': Timestamp('2026-06-22 00:00:00'), 'volume': 3801200.0}, {'date': Timestamp('2026-03-16 00:00:00'), 'volume': 3226500.0}, {'date': Timestamp('2025-08-23 00:00:00'), 'volume': 3139300.0}]"
WTBA,459247872.6257242,weekly,2026-08-10,760434.0,0,7,7,True,1.0,"[{'date': Timestamp('2026-08-10 00:00:00'), 'volume': 760434.0}, {'date': Timestamp('2026-06-22 00:00:00'), 'volume': 708500.0}, {'date': Timestamp('2026-06-08 00:00:00'), 'volume': 351900.0}, {'date': Timestamp('2026-04-13 00:00:00'), 'volume': 337100.0}, {'date': Timestamp('2025-09-20 00:00:00'), 'volume': 315800.0}, {'date': Timestamp('2025-09-13 00:00:00'), 'volume': 231900.0}, {'date': Timestamp('2025-08-23 00:00:00'), 'volume': 108700.0}]"
SLN,472346115.0,weekly,2026-08-10,29403122.0,0,9,9,True,1.0,"[{'date': Timestamp('2026-08-10 00:00:00'), 'volume': 29403122.0}, {'date': Timestamp('2026-06-22 00:00:00'), 'volume': 5249900.0}, {'date': Timestamp('2026-04-13 00:00:00'), 'volume': 2826300.0}, {'date': Timestamp('2026-03-23 00:00:00'), 'volume': 2194400.0}, {'date': Timestamp('2025-12-01 00:00:00'), 'volume': 2191900.0}, {'date': Timestamp('2025-10-20 00:00:00'), 'volume': 1291500.0}, {'date': Timestamp('2025-10-06 00:00:00'), 'volume': 861200.0}, {'date': Timestamp('2025-09-08 00:00:00'), 'volume': 416900.0}, {'date': Timestamp('2025-08-18 00:00:00'), 'volume': 229100.0}]"
