ticker,market_cap,timeframe,hve_date,hve_volume,days_since_hve,hve_occ_1y,total_hve_count,all_hve_details,latest_date,latest_volume,latest_close,volume_ratio,data_points
HTFL,3074485529.9814177,weekly,2026-08-10,23672458.0,0,5,5,"[{'date': Timestamp('2026-08-10 00:00:00'), 'volume': 23672458.0}, {'date': Timestamp('2026-06-22 00:00:00'), 'volume': 18461200.0}, {'date': Timestamp('2026-02-02 00:00:00'), 'volume': 15686100.0}, {'date': Timestamp('2025-12-15 00:00:00'), 'volume': 6724300.0}, {'date': Timestamp('2025-08-11 00:00:00'), 'volume': 5842600.0}]",2026-08-10,23672458.0,42.08000183105469,1.0,53
BIRK,8169107575.122192,weekly,2026-08-10,39881130.0,0,1,2,"[{'date': Timestamp('2026-08-10 00:00:00'), 'volume': 39881130.0}, {'date': Timestamp('2023-10-09 00:00:00'), 'volume': 27880100.0}]",2026-08-10,39881130.0,39.34999847412109,1.0,149
BTDR,4172828921.1866975,weekly,2026-08-10,107870341.0,0,4,20,"[{'date': Timestamp('2026-08-10 00:00:00'), 'volume': 107870341.0}, {'date': Timestamp('2026-02-16 00:00:00'), 'volume': 94234800.0}, {'date': Timestamp('2025-11-10 00:00:00'), 'volume': 82684200.0}, {'date': Timestamp('2025-10-13 00:00:00'), 'volume': 73886500.0}, {'date': Timestamp('2024-12-09 00:00:00'), 'volume': 62529400.0}, {'date': Timestamp('2024-12-02 00:00:00'), 'volume': 60046000.0}, {'date': Timestamp('2024-11-18 00:00:00'), 'volume': 44083000.0}, {'date': Timestamp('2024-11-11 00:00:00'), 'volume': 40520800.0}, {'date': Timestamp('2024-08-12 00:00:00'), 'volume': 24454300.0}, {'date': Timestamp('2024-06-24 00:00:00'), 'volume': 21338900.0}, {'date': Timestamp('2023-12-25 00:00:00'), 'volume': 17262900.0}, {'date': Timestamp('2023-12-18 00:00:00'), 'volume': 9275000.0}, {'date': Timestamp('2023-12-11 00:00:00'), 'volume': 6490400.0}, {'date': Timestamp('2023-12-04 00:00:00'), 'volume': 6188900.0}, {'date': Timestamp('2023-11-27 00:00:00'), 'volume': 3914100.0}, {'date': Timestamp('2023-10-23 00:00:00'), 'volume': 3745800.0}, {'date': Timestamp('2021-11-15 00:00:00'), 'volume': 3181900.0}, {'date': Timestamp('2021-08-09 00:00:00'), 'volume': 294300.0}, {'date': Timestamp('2021-08-02 00:00:00'), 'volume': 66500.0}, {'date': Timestamp('2021-07-26 00:00:00'), 'volume': 4800.0}]",2026-08-10,107870341.0,9.130000114440918,1.0,264
RNW,2254383196.4740973,weekly,2026-08-10,40902093.0,0,2,6,"[{'date': Timestamp('2026-08-10 00:00:00'), 'volume': 40902093.0}, {'date': Timestamp('2025-12-15 00:00:00'), 'volume': 27548300.0}, {'date': Timestamp('2021-02-22 00:00:00'), 'volume': 25728000.0}, {'date': Timestamp('2021-02-15 00:00:00'), 'volume': 2706000.0}, {'date': Timestamp('2021-02-08 00:00:00'), 'volume': 1438000.0}, {'date': Timestamp('2021-02-01 00:00:00'), 'volume': 922900.0}]",2026-08-10,40902093.0,6.809999942779541,1.0,289
HUBG,2675466096.3838267,weekly,2026-08-10,14430079.0,0,2,8,"[{'date': Timestamp('2026-08-10 00:00:00'), 'volume': 14430079.0}, {'date': Timestamp('2026-01-31 00:00:00'), 'volume': 10896400.0}, {'date': Timestamp('2025-03-15 00:00:00'), 'volume': 6390700.0}, {'date': Timestamp('2020-04-25 00:00:00'), 'volume': 6246000.0}, {'date': Timestamp('2020-03-14 00:00:00'), 'volume': 4306600.0}, {'date': Timestamp('2020-02-08 00:00:00'), 'volume': 3387200.0}, {'date': Timestamp('2020-02-01 00:00:00'), 'volume': 3088800.0}, {'date': Timestamp('2020-01-04 00:00:00'), 'volume': 2280400.0}]",2026-08-10,14430079.0,40.29999923706055,1.0,346
ABCL,2253670376.6486487,weekly,2026-08-10,124039185.0,0,1,9,"[{'date': Timestamp('2026-08-10 00:00:00'), 'volume': 124039185.0}, {'date': Timestamp('2025-06-09 00:00:00'), 'volume': 58606400.0}, {'date': Timestamp('2023-06-19 00:00:00'), 'volume': 41076800.0}, {'date': Timestamp('2022-06-20 00:00:00'), 'volume': 37670700.0}, {'date': Timestamp('2021-09-13 00:00:00'), 'volume': 33237800.0}, {'date': Timestamp('2021-06-21 00:00:00'), 'volume': 16975600.0}, {'date': Timestamp('2021-06-07 00:00:00'), 'volume': 13952600.0}, {'date': Timestamp('2021-03-29 00:00:00'), 'volume': 12421500.0}, {'date': Timestamp('2020-12-07 00:00:00'), 'volume': 9249200.0}]",2026-08-10,124039185.0,11.380000114440918,1.0,297
DIOD,4784684510.915369,weekly,2026-08-10,7172905.0,0,2,7,"[{'date': Timestamp('2026-08-10 00:00:00'), 'volume': 7172905.0}, {'date': Timestamp('2026-06-22 00:00:00'), 'volume': 5432400.0}, {'date': Timestamp('2024-08-03 00:00:00'), 'volume': 5067800.0}, {'date': Timestamp('2021-03-13 00:00:00'), 'volume': 3564000.0}, {'date': Timestamp('2020-02-08 00:00:00'), 'volume': 3012600.0}, {'date': Timestamp('2020-01-25 00:00:00'), 'volume': 2239900.0}, {'date': Timestamp('2020-01-04 00:00:00'), 'volume': 1921100.0}]",2026-08-10,7172905.0,103.4800033569336,1.0,346
FA,3056790242.695704,weekly,2026-08-10,27105652.0,0,2,4,"[{'date': Timestamp('2026-08-10 00:00:00'), 'volume': 27105652.0}, {'date': Timestamp('2026-06-15 00:00:00'), 'volume': 21439500.0}, {'date': Timestamp('2021-11-08 00:00:00'), 'volume': 13805500.0}, {'date': Timestamp('2021-06-21 00:00:00'), 'volume': 10760900.0}]",2026-08-10,27105652.0,21.57999992370605,1.0,269
CLBT,3432291945.425178,weekly,2026-08-10,58292165.0,0,2,16,"[{'date': Timestamp('2026-08-10 00:00:00'), 'volume': 58292165.0}, {'date': Timestamp('2025-08-11 00:00:00'), 'volume': 22970500.0}, {'date': Timestamp('2025-02-24 00:00:00'), 'volume': 14712000.0}, {'date': Timestamp('2025-02-10 00:00:00'), 'volume': 14280500.0}, {'date': Timestamp('2024-08-12 00:00:00'), 'volume': 14209500.0}, {'date': Timestamp('2024-07-15 00:00:00'), 'volume': 10953300.0}, {'date': Timestamp('2024-06-10 00:00:00'), 'volume': 8737900.0}, {'date': Timestamp('2021-04-05 00:00:00'), 'volume': 8472400.0}, {'date': Timestamp('2021-03-01 00:00:00'), 'volume': 4110600.0}, {'date': Timestamp('2021-01-11 00:00:00'), 'volume': 2612700.0}, {'date': Timestamp('2020-12-28 00:00:00'), 'volume': 1853600.0}, {'date': Timestamp('2020-12-21 00:00:00'), 'volume': 1554400.0}, {'date': Timestamp('2020-11-30 00:00:00'), 'volume': 1528700.0}, {'date': Timestamp('2020-11-16 00:00:00'), 'volume': 448600.0}, {'date': Timestamp('2020-11-09 00:00:00'), 'volume': 139100.0}, {'date': Timestamp('2020-11-02 00:00:00'), 'volume': 6400.0}]",2026-08-10,58292165.0,11.140000343322754,1.0,302
LMAT,2185901654.7835617,weekly,2026-08-03,3975600.0,7,1,7,"[{'date': Timestamp('2026-08-03 00:00:00'), 'volume': 3975600.0}, {'date': Timestamp('2024-12-16 00:00:00'), 'volume': 2382300.0}, {'date': Timestamp('2024-02-26 00:00:00'), 'volume': 1486800.0}, {'date': Timestamp('2021-07-12 00:00:00'), 'volume': 1440000.0}, {'date': Timestamp('2021-06-21 00:00:00'), 'volume': 1402200.0}, {'date': Timestamp('2020-02-03 00:00:00'), 'volume': 1309600.0}, {'date': Timestamp('2020-01-06 00:00:00'), 'volume': 556900.0}]",2026-08-10,2548316.0,82.37999725341797,0.6409890331019217,345
