ticker,market_cap,timeframe,hvd_date,hvd_volume,days_since_hvd,hvd_count,all_hvd_details,latest_date,latest_volume,latest_close,volume_ratio,data_points
AMSF,631252289.3496703,weekly,2026-08-10,3771559.0,0,20,"[{'date': Timestamp('2026-08-10 00:00:00'), 'volume': 3771559.0}, {'date': Timestamp('2026-08-03 00:00:00'), 'volume': 1535400.0}, {'date': Timestamp('2026-07-27 00:00:00'), 'volume': 1895812.0}, {'date': Timestamp('2026-07-20 00:00:00'), 'volume': 995100.0}, {'date': Timestamp('2026-06-22 00:00:00'), 'volume': 1848100.0}, {'date': Timestamp('2026-06-08 00:00:00'), 'volume': 1184300.0}, {'date': Timestamp('2026-06-01 00:00:00'), 'volume': 1099600.0}, {'date': Timestamp('2026-05-11 00:00:00'), 'volume': 1173600.0}, {'date': Timestamp('2026-05-04 00:00:00'), 'volume': 1196100.0}, {'date': Timestamp('2026-04-27 00:00:00'), 'volume': 1288400.0}, {'date': Timestamp('2026-04-20 00:00:00'), 'volume': 1395900.0}, {'date': Timestamp('2026-03-23 00:00:00'), 'volume': 1090200.0}, {'date': Timestamp('2026-03-16 00:00:00'), 'volume': 1774600.0}, {'date': Timestamp('2026-03-02 00:00:00'), 'volume': 1106100.0}, {'date': Timestamp('2026-02-23 00:00:00'), 'volume': 1131700.0}, {'date': Timestamp('2025-12-15 00:00:00'), 'volume': 1122700.0}, {'date': Timestamp('2025-12-08 00:00:00'), 'volume': 1095200.0}, {'date': Timestamp('2025-09-15 00:00:00'), 'volume': 1176600.0}, {'date': Timestamp('2024-03-11 00:00:00'), 'volume': 1584200.0}, {'date': Timestamp('2022-12-12 00:00:00'), 'volume': 1021000.0}]",2026-08-10,3771559.0,27.64999961853028,1.0,345
SVV,1564499365.4947164,weekly,2026-08-10,21763369.0,0,20,"[{'date': Timestamp('2026-08-10 00:00:00'), 'volume': 21763369.0}, {'date': Timestamp('2026-08-03 00:00:00'), 'volume': 8338200.0}, {'date': Timestamp('2026-05-18 00:00:00'), 'volume': 6779400.0}, {'date': Timestamp('2026-05-11 00:00:00'), 'volume': 6832700.0}, {'date': Timestamp('2026-03-23 00:00:00'), 'volume': 7187700.0}, {'date': Timestamp('2026-02-16 00:00:00'), 'volume': 9140100.0}, {'date': Timestamp('2025-11-03 00:00:00'), 'volume': 10916800.0}, {'date': Timestamp('2025-10-27 00:00:00'), 'volume': 12282900.0}, {'date': Timestamp('2025-09-29 00:00:00'), 'volume': 7059600.0}, {'date': Timestamp('2025-09-22 00:00:00'), 'volume': 15396400.0}, {'date': Timestamp('2025-09-15 00:00:00'), 'volume': 13001700.0}, {'date': Timestamp('2025-09-01 00:00:00'), 'volume': 7178300.0}, {'date': Timestamp('2025-08-11 00:00:00'), 'volume': 6880100.0}, {'date': Timestamp('2025-05-12 00:00:00'), 'volume': 11687700.0}, {'date': Timestamp('2024-11-04 00:00:00'), 'volume': 7603200.0}, {'date': Timestamp('2024-07-22 00:00:00'), 'volume': 6774100.0}, {'date': Timestamp('2024-05-06 00:00:00'), 'volume': 7244500.0}, {'date': Timestamp('2023-11-06 00:00:00'), 'volume': 8475100.0}, {'date': Timestamp('2023-09-11 00:00:00'), 'volume': 6926500.0}, {'date': Timestamp('2023-06-26 00:00:00'), 'volume': 13107600.0}]",2026-08-10,21763369.0,10.65999984741211,1.0,164
JBSS,1017570583.1927242,weekly,2026-08-10,970784.0,0,20,"[{'date': Timestamp('2026-08-10 00:00:00'), 'volume': 970784.0}, {'date': Timestamp('2026-08-03 00:00:00'), 'volume': 684500.0}, {'date': Timestamp('2026-07-27 00:00:00'), 'volume': 727322.0}, {'date': Timestamp('2026-06-22 00:00:00'), 'volume': 756300.0}, {'date': Timestamp('2026-06-01 00:00:00'), 'volume': 832400.0}, {'date': Timestamp('2026-04-27 00:00:00'), 'volume': 757500.0}, {'date': Timestamp('2025-10-25 00:00:00'), 'volume': 728600.0}, {'date': Timestamp('2025-06-21 00:00:00'), 'volume': 768100.0}, {'date': Timestamp('2025-01-25 00:00:00'), 'volume': 698600.0}, {'date': Timestamp('2024-12-21 00:00:00'), 'volume': 625000.0}, {'date': Timestamp('2024-12-14 00:00:00'), 'volume': 757900.0}, {'date': Timestamp('2024-09-14 00:00:00'), 'volume': 918900.0}, {'date': Timestamp('2024-07-13 00:00:00'), 'volume': 665300.0}, {'date': Timestamp('2023-09-09 00:00:00'), 'volume': 739800.0}, {'date': Timestamp('2023-03-11 00:00:00'), 'volume': 894200.0}, {'date': Timestamp('2020-12-12 00:00:00'), 'volume': 638000.0}, {'date': Timestamp('2020-05-09 00:00:00'), 'volume': 581400.0}, {'date': Timestamp('2020-03-14 00:00:00'), 'volume': 581300.0}, {'date': Timestamp('2020-03-07 00:00:00'), 'volume': 684900.0}, {'date': Timestamp('2020-02-22 00:00:00'), 'volume': 627700.0}]",2026-08-10,970784.0,86.75,1.0,346
SLN,472346115.0,weekly,2026-08-10,29403122.0,0,20,"[{'date': Timestamp('2026-08-10 00:00:00'), 'volume': 29403122.0}, {'date': Timestamp('2026-08-03 00:00:00'), 'volume': 2076900.0}, {'date': Timestamp('2026-07-27 00:00:00'), 'volume': 4332165.0}, {'date': Timestamp('2026-07-06 00:00:00'), 'volume': 2289000.0}, {'date': Timestamp('2026-06-22 00:00:00'), 'volume': 5249900.0}, {'date': Timestamp('2026-04-20 00:00:00'), 'volume': 2473500.0}, {'date': Timestamp('2026-04-13 00:00:00'), 'volume': 2826300.0}, {'date': Timestamp('2026-03-23 00:00:00'), 'volume': 2194400.0}, {'date': Timestamp('2025-12-01 00:00:00'), 'volume': 2191900.0}, {'date': Timestamp('2025-02-10 00:00:00'), 'volume': 3149700.0}, {'date': Timestamp('2025-01-13 00:00:00'), 'volume': 2774600.0}, {'date': Timestamp('2024-12-16 00:00:00'), 'volume': 3253900.0}, {'date': Timestamp('2024-12-09 00:00:00'), 'volume': 2959400.0}, {'date': Timestamp('2024-12-02 00:00:00'), 'volume': 3750200.0}, {'date': Timestamp('2024-11-25 00:00:00'), 'volume': 2384500.0}, {'date': Timestamp('2024-11-18 00:00:00'), 'volume': 10328000.0}, {'date': Timestamp('2024-02-26 00:00:00'), 'volume': 2210200.0}, {'date': Timestamp('2024-02-05 00:00:00'), 'volume': 2833900.0}, {'date': Timestamp('2024-01-15 00:00:00'), 'volume': 2036400.0}, {'date': Timestamp('2023-08-28 00:00:00'), 'volume': 2163800.0}]",2026-08-10,29403122.0,13.720000267028809,1.0,310
GLOB,1296681984.506311,weekly,2026-08-10,19637156.0,0,20,"[{'date': Timestamp('2026-08-10 00:00:00'), 'volume': 19637156.0}, {'date': Timestamp('2026-07-27 00:00:00'), 'volume': 12273445.0}, {'date': Timestamp('2026-07-06 00:00:00'), 'volume': 11405800.0}, {'date': Timestamp('2026-06-22 00:00:00'), 'volume': 17477700.0}, {'date': Timestamp('2026-05-11 00:00:00'), 'volume': 16709400.0}, {'date': Timestamp('2026-02-23 00:00:00'), 'volume': 13131500.0}, {'date': Timestamp('2026-02-09 00:00:00'), 'volume': 8105100.0}, {'date': Timestamp('2026-02-02 00:00:00'), 'volume': 8402400.0}, {'date': Timestamp('2025-11-17 00:00:00'), 'volume': 8743900.0}, {'date': Timestamp('2025-11-10 00:00:00'), 'volume': 9851000.0}, {'date': Timestamp('2025-09-29 00:00:00'), 'volume': 8925400.0}, {'date': Timestamp('2025-09-22 00:00:00'), 'volume': 8057100.0}, {'date': Timestamp('2025-09-15 00:00:00'), 'volume': 8445300.0}, {'date': Timestamp('2025-08-18 00:00:00'), 'volume': 9248000.0}, {'date': Timestamp('2025-08-11 00:00:00'), 'volume': 15198200.0}, {'date': Timestamp('2025-08-04 00:00:00'), 'volume': 9642400.0}, {'date': Timestamp('2025-05-12 00:00:00'), 'volume': 17542300.0}, {'date': Timestamp('2025-02-24 00:00:00'), 'volume': 8260100.0}, {'date': Timestamp('2025-02-17 00:00:00'), 'volume': 8277200.0}, {'date': Timestamp('2021-11-29 00:00:00'), 'volume': 9710400.0}]",2026-08-10,19637156.0,37.380001068115234,1.0,345
WTBA,459247872.6257242,weekly,2026-08-10,760434.0,0,20,"[{'date': Timestamp('2026-08-10 00:00:00'), 'volume': 760434.0}, {'date': Timestamp('2026-08-03 00:00:00'), 'volume': 361900.0}, {'date': Timestamp('2026-07-27 00:00:00'), 'volume': 293926.0}, {'date': Timestamp('2026-06-22 00:00:00'), 'volume': 708500.0}, {'date': Timestamp('2026-06-15 00:00:00'), 'volume': 348300.0}, {'date': Timestamp('2026-06-08 00:00:00'), 'volume': 351900.0}, {'date': Timestamp('2026-04-13 00:00:00'), 'volume': 337100.0}, {'date': Timestamp('2025-09-20 00:00:00'), 'volume': 315800.0}, {'date': Timestamp('2023-12-09 00:00:00'), 'volume': 307500.0}, {'date': Timestamp('2023-06-10 00:00:00'), 'volume': 288300.0}, {'date': Timestamp('2023-03-11 00:00:00'), 'volume': 361600.0}, {'date': Timestamp('2022-09-17 00:00:00'), 'volume': 287600.0}, {'date': Timestamp('2021-06-19 00:00:00'), 'volume': 499100.0}, {'date': Timestamp('2021-01-02 00:00:00'), 'volume': 298500.0}, {'date': Timestamp('2020-12-12 00:00:00'), 'volume': 302500.0}, {'date': Timestamp('2020-11-07 00:00:00'), 'volume': 298900.0}, {'date': Timestamp('2020-06-20 00:00:00'), 'volume': 300200.0}, {'date': Timestamp('2020-04-25 00:00:00'), 'volume': 326400.0}, {'date': Timestamp('2020-03-28 00:00:00'), 'volume': 330800.0}, {'date': Timestamp('2020-03-14 00:00:00'), 'volume': 331500.0}]",2026-08-10,760434.0,29.82999992370605,1.0,346
BWMN,523831406.2325582,weekly,2026-08-10,7220335.0,0,20,"[{'date': Timestamp('2026-08-10 00:00:00'), 'volume': 7220335.0}, {'date': Timestamp('2026-07-27 00:00:00'), 'volume': 926239.0}, {'date': Timestamp('2026-06-22 00:00:00'), 'volume': 1185400.0}, {'date': Timestamp('2026-03-23 00:00:00'), 'volume': 966100.0}, {'date': Timestamp('2026-03-16 00:00:00'), 'volume': 1939800.0}, {'date': Timestamp('2026-03-09 00:00:00'), 'volume': 1059500.0}, {'date': Timestamp('2026-03-02 00:00:00'), 'volume': 889000.0}, {'date': Timestamp('2025-12-15 00:00:00'), 'volume': 1005000.0}, {'date': Timestamp('2025-09-15 00:00:00'), 'volume': 925600.0}, {'date': Timestamp('2025-08-18 00:00:00'), 'volume': 880500.0}, {'date': Timestamp('2025-08-11 00:00:00'), 'volume': 1125600.0}, {'date': Timestamp('2025-07-21 00:00:00'), 'volume': 1330600.0}, {'date': Timestamp('2025-03-17 00:00:00'), 'volume': 942400.0}, {'date': Timestamp('2025-03-10 00:00:00'), 'volume': 1154800.0}, {'date': Timestamp('2024-08-12 00:00:00'), 'volume': 1042000.0}, {'date': Timestamp('2024-08-05 00:00:00'), 'volume': 1344900.0}, {'date': Timestamp('2024-03-25 00:00:00'), 'volume': 988600.0}, {'date': Timestamp('2024-03-11 00:00:00'), 'volume': 1390400.0}, {'date': Timestamp('2023-06-19 00:00:00'), 'volume': 1742600.0}, {'date': Timestamp('2021-05-03 00:00:00'), 'volume': 2471400.0}]",2026-08-10,7220335.0,42.29999923706055,1.0,276
AVAH,1885759958.471698,weekly,2026-08-10,29901632.0,0,20,"[{'date': Timestamp('2026-08-10 00:00:00'), 'volume': 29901632.0}, {'date': Timestamp('2026-07-27 00:00:00'), 'volume': 9826581.0}, {'date': Timestamp('2026-07-13 00:00:00'), 'volume': 8632300.0}, {'date': Timestamp('2026-07-06 00:00:00'), 'volume': 12887900.0}, {'date': Timestamp('2026-06-22 00:00:00'), 'volume': 18462800.0}, {'date': Timestamp('2026-06-08 00:00:00'), 'volume': 8243500.0}, {'date': Timestamp('2026-06-01 00:00:00'), 'volume': 9274800.0}, {'date': Timestamp('2026-05-11 00:00:00'), 'volume': 13808000.0}, {'date': Timestamp('2026-03-16 00:00:00'), 'volume': 9598000.0}, {'date': Timestamp('2026-02-16 00:00:00'), 'volume': 8567500.0}, {'date': Timestamp('2026-01-12 00:00:00'), 'volume': 8326000.0}, {'date': Timestamp('2025-12-15 00:00:00'), 'volume': 9140300.0}, {'date': Timestamp('2025-10-20 00:00:00'), 'volume': 13759300.0}, {'date': Timestamp('2025-08-11 00:00:00'), 'volume': 8457300.0}, {'date': Timestamp('2025-08-04 00:00:00'), 'volume': 18075400.0}, {'date': Timestamp('2022-11-28 00:00:00'), 'volume': 8826000.0}, {'date': Timestamp('2022-03-28 00:00:00'), 'volume': 11929100.0}, {'date': Timestamp('2021-06-21 00:00:00'), 'volume': 9436800.0}, {'date': Timestamp('2021-05-03 00:00:00'), 'volume': 8512700.0}, {'date': Timestamp('2021-04-26 00:00:00'), 'volume': 14178700.0}]",2026-08-10,29901632.0,12.31999969482422,1.0,277
HZO,831342546.24,weekly,2026-08-10,13667260.0,0,20,"[{'date': Timestamp('2026-08-10 00:00:00'), 'volume': 13667260.0}, {'date': Timestamp('2026-02-23 00:00:00'), 'volume': 3317200.0}, {'date': Timestamp('2026-01-31 00:00:00'), 'volume': 4957800.0}, {'date': Timestamp('2025-07-19 00:00:00'), 'volume': 3315200.0}, {'date': Timestamp('2024-06-01 00:00:00'), 'volume': 3805600.0}, {'date': Timestamp('2024-04-20 00:00:00'), 'volume': 3315800.0}, {'date': Timestamp('2024-01-20 00:00:00'), 'volume': 3988200.0}, {'date': Timestamp('2023-04-22 00:00:00'), 'volume': 3812400.0}, {'date': Timestamp('2023-03-11 00:00:00'), 'volume': 3357900.0}, {'date': Timestamp('2023-01-28 00:00:00'), 'volume': 4362500.0}, {'date': Timestamp('2023-01-21 00:00:00'), 'volume': 3237400.0}, {'date': Timestamp('2022-04-30 00:00:00'), 'volume': 3564600.0}, {'date': Timestamp('2022-04-23 00:00:00'), 'volume': 3768300.0}, {'date': Timestamp('2022-01-22 00:00:00'), 'volume': 3317100.0}, {'date': Timestamp('2021-05-08 00:00:00'), 'volume': 4747900.0}, {'date': Timestamp('2021-04-17 00:00:00'), 'volume': 4133400.0}, {'date': Timestamp('2021-03-20 00:00:00'), 'volume': 3470800.0}, {'date': Timestamp('2021-03-06 00:00:00'), 'volume': 3478300.0}, {'date': Timestamp('2021-02-20 00:00:00'), 'volume': 3538800.0}, {'date': Timestamp('2021-01-23 00:00:00'), 'volume': 4113700.0}]",2026-08-10,13667260.0,52.02000045776367,1.0,346
VREX,433208983.0,weekly,2026-08-10,21457122.0,0,20,"[{'date': Timestamp('2026-08-10 00:00:00'), 'volume': 21457122.0}, {'date': Timestamp('2025-08-04 00:00:00'), 'volume': 3989400.0}, {'date': Timestamp('2025-04-21 00:00:00'), 'volume': 4236800.0}, {'date': Timestamp('2025-04-07 00:00:00'), 'volume': 4115400.0}, {'date': Timestamp('2025-02-03 00:00:00'), 'volume': 4055600.0}, {'date': Timestamp('2024-12-16 00:00:00'), 'volume': 4062100.0}, {'date': Timestamp('2024-11-18 00:00:00'), 'volume': 6241200.0}, {'date': Timestamp('2024-09-23 00:00:00'), 'volume': 3838400.0}, {'date': Timestamp('2024-09-16 00:00:00'), 'volume': 12562400.0}, {'date': Timestamp('2024-09-09 00:00:00'), 'volume': 4616000.0}, {'date': Timestamp('2024-06-17 00:00:00'), 'volume': 4461400.0}, {'date': Timestamp('2023-12-11 00:00:00'), 'volume': 3908700.0}, {'date': Timestamp('2023-12-04 00:00:00'), 'volume': 4960000.0}, {'date': Timestamp('2023-05-01 00:00:00'), 'volume': 4244900.0}, {'date': Timestamp('2021-11-15 00:00:00'), 'volume': 3968600.0}, {'date': Timestamp('2021-02-01 00:00:00'), 'volume': 4146200.0}, {'date': Timestamp('2020-08-10 00:00:00'), 'volume': 6207400.0}, {'date': Timestamp('2020-06-15 00:00:00'), 'volume': 3942700.0}, {'date': Timestamp('2020-06-01 00:00:00'), 'volume': 10111800.0}, {'date': Timestamp('2020-05-11 00:00:00'), 'volume': 4533100.0}]",2026-08-10,21457122.0,18.489999771118164,1.0,345
